ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002250	adaptive immune response	42/325	242/5738	2.7632372896086e-11	2.7632372896086e-11	8.57767028111132e-08	LEF1/LAT2/BCL10/GATA3/BTLA/BACH2/CD3G/IRF1/B2M/CD274/CX3CR1/EOMES/EBI3/ITK/FOXP3/CD48/JAK2/LTA/PAG1/IRF4/IL6ST/FCGR2B/PIK3CG/NOD2/KLRD1/SIPA1/PRKCB/CLEC4A/NFKB2/CD27/PDCD1LG2/JUNB/IFNG/NFKBIZ/CD40/IL6/CD79B/CAMK4/CD70/OTUD7B/KLRC1/CD86	42
BP	GO:0046649	lymphocyte activation	60/325	463/5738	3.76394784361647e-10	3.76394784361647e-10	5.84204325832894e-07	LEF1/LAT2/BCL10/CD24/GATA3/CD44/CD3G/IRF1/IGF2/B2M/CARD11/LCP1/CD274/EOMES/EBI3/ITK/FOXP3/NCR1/CD48/ITGAL/JAK2/BLK/IL2RB/PAG1/IRF4/IL6ST/FCGR2B/IL15RA/SP3/RASGRP1/PIK3CG/IL2RA/NOD2/KLRD1/BCL11B/PRKCB/CCL2/IL5/CLEC4A/CXCR5/CD27/YY1/GLI3/PDCD1LG2/JUNB/IFNG/CCR7/NFKBIZ/CD40/FLT3/MYH9/IL2RG/LCK/IL6/CD79B/CAMK4/CD70/PLCL2/KLRC1/CD86	60
BP	GO:0002764	immune response-regulating signaling pathway	38/325	244/5738	6.5065421385889e-09	6.5065421385889e-09	6.7325588655083e-06	LAT2/BCL10/CD24/GATA3/BTLA/IRAK2/MAP2K7/CD3G/IRF1/CARD11/LILRA2/ITK/FOXP3/PAK3/TLR6/BLK/PRKCH/IRF4/FCGR2B/LY96/NOD2/IRAK4/KLRD1/PRKCB/PLCG1/TLR5/CMKLR1/TLR3/BIRC3/MS4A2/CCR7/NFKBIZ/CD40/LCP2/LCK/CD79B/PLCL2/KLRC1	38
BP	GO:0050776	regulation of immune response	53/325	423/5738	1.59554108260699e-08	1.59554108260699e-08	1.02502655555519e-05	STAT2/LAT2/BCL10/CD24/GATA3/BTLA/IRAK2/MAP2K7/CD3G/IRF1/B2M/CARD11/CD274/LILRA2/ITK/FOXP3/PAK3/NCR1/CD48/JAK2/TLR6/LTA/BLK/PRKCH/IRF4/IL6ST/FCGR2B/LY96/RASGRP1/NOD2/IRAK4/KLRD1/PARP14/PRKCB/PLCG1/TLR5/CMKLR1/TLR3/BIRC3/JUNB/IFNG/MS4A2/CCR7/NFKBIZ/CD40/LCP2/LCK/IL6/CD79B/PTAFR/PLCL2/KLRC1/CD86	53
BP	GO:0042110	T cell activation	46/325	341/5738	1.6510261576423e-08	1.6510261576423e-08	1.02502655555519e-05	LEF1/BCL10/CD24/GATA3/CD44/CD3G/IRF1/IGF2/B2M/CARD11/LCP1/CD274/EOMES/EBI3/ITK/FOXP3/CD48/ITGAL/JAK2/PAG1/IRF4/IL6ST/FCGR2B/SP3/RASGRP1/PIK3CG/IL2RA/NOD2/BCL11B/CCL2/CLEC4A/CD27/GLI3/PDCD1LG2/JUNB/IFNG/CCR7/NFKBIZ/MYH9/IL2RG/LCK/IL6/CAMK4/CD70/KLRC1/CD86	46
BP	GO:0007159	leukocyte cell-cell adhesion	36/325	241/5738	5.14291164696975e-08	5.14291164696975e-08	2.66078007840593e-05	LEF1/BCL10/ETS1/CD24/GATA3/CD44/IRF1/IGF2/B2M/CARD11/CD274/CX3CR1/EBI3/FOXP3/ITGAL/JAK2/ITGB7/PAG1/IL6ST/FCGR2B/RASGRP1/IL2RA/NOD2/CCL2/CD27/GLI3/PDCD1LG2/IFNG/CCR7/NFKBIZ/IL2RG/LCK/IL6/PTAFR/CD70/CD86	36
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	30/325	182/5738	7.79884611938996e-08	7.79884611938996e-08	3.45846574527534e-05	LEF1/BCL10/ETS1/CD24/GATA3/CD44/IGF2/B2M/CARD11/CD274/EBI3/FOXP3/JAK2/IL6ST/RASGRP1/IL2RA/NOD2/CCL2/CD27/GLI3/PDCD1LG2/IFNG/CCR7/NFKBIZ/IL2RG/LCK/IL6/PTAFR/CD70/CD86	30
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	28/325	169/5738	1.93904173058157e-07	1.93904173058157e-07	7.52399218879611e-05	LAT2/BCL10/CD24/GATA3/BTLA/MAP2K7/CD3G/CARD11/LILRA2/ITK/FOXP3/PAK3/BLK/PRKCH/FCGR2B/KLRD1/PRKCB/PLCG1/CMKLR1/MS4A2/CCR7/NFKBIZ/CD40/LCP2/LCK/CD79B/PLCL2/KLRC1	28
BP	GO:0046631	alpha-beta T cell activation	22/325	114/5738	2.79559573490469e-07	2.79559573490469e-07	9.25580685465851e-05	LEF1/GATA3/CD3G/IRF1/CARD11/CD274/EOMES/EBI3/ITK/FOXP3/JAK2/IRF4/IL2RA/BCL11B/CLEC4A/GLI3/JUNB/IFNG/NFKBIZ/IL2RG/IL6/CD86	22
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	33/325	225/5738	3.0029303591593e-07	3.0029303591593e-07	9.25580685465851e-05	LEF1/BCL10/ETS1/CD24/GATA3/CD44/IRF1/IGF2/B2M/CARD11/CD274/EBI3/FOXP3/JAK2/PAG1/IL6ST/FCGR2B/RASGRP1/IL2RA/NOD2/CCL2/CD27/GLI3/PDCD1LG2/IFNG/CCR7/NFKBIZ/IL2RG/LCK/IL6/PTAFR/CD70/CD86	33
