ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0048704	embryonic skeletal system morphogenesis	13/168	73/6029	7.74656644583402e-08	7.74656644583402e-08	0.000198719815036816	SATB2/HOXB7/HOXA7/HOXB3/HOXA2/HOXA4/HOXA5/HOXB6/HOXA3/HOXB5/HOXA1/HOXB8/HOXB9	13
BP	GO:0048706	embryonic skeletal system development	13/168	95/6029	1.83849960661513e-06	1.83849960661513e-06	0.00235811765332688	SATB2/HOXB7/HOXA7/HOXB3/HOXA2/HOXA4/HOXA5/HOXB6/HOXA3/HOXB5/HOXA1/HOXB8/HOXB9	13
BP	GO:0048705	skeletal system morphogenesis	15/168	145/6029	1.03608455159258e-05	1.03608455159258e-05	0.00885943176221446	SATB2/HOXB7/HOXA7/HOXB3/HOXA2/HOXA4/HOXA5/HOXB6/HOXA3/HOXB5/ZFAND5/HOXA1/UNCX/HOXB8/HOXB9	15
BP	GO:0002274	myeloid leukocyte activation	14/168	142/6029	3.56975482400834e-05	3.56975482400834e-05	0.0204341478739922	PRKCD/TLR2/CLU/SPI1/PTPN6/NDRG1/TNIP2/TYROBP/ANXA1/LTBR/CD33/IL4R/C5AR1/PLCG2	14
BP	GO:0050776	regulation of immune response	27/168	433/6029	5.34219042225025e-05	5.34219042225025e-05	0.0204341478739922	GFI1/SPG21/TNFSF13B/PRKCD/MAP3K1/TNFSF13/TLR2/CLU/SPI1/PTPN6/TNIP2/IRAK1/SH2B2/TYROBP/BCL6/ANXA1/NLRP3/CD33/IL4R/NLRP1/TYK2/ELANE/C5AR1/TNFAIP3/PLCG2/ADCY7/CASP1	27
BP	GO:0030099	myeloid cell differentiation	19/168	249/6029	5.52027857540213e-05	5.52027857540213e-05	0.0204341478739922	HOXB7/HOXA7/FOS/HOXA5/TLR2/MITF/JAG1/SPI1/PTPN6/TYROBP/BCL6/TRIB1/LTBR/KLF2/HOXB8/ZNF385A/RASGRP4/CDKN2B/H4C4	19
BP	GO:0001817	regulation of cytokine production	26/168	410/6029	5.63326427179949e-05	5.63326427179949e-05	0.0204341478739922	HOMER3/TLR2/F3/CLU/PTPN6/IRAK1/TYROBP/TSPO/BCL6/ABCC8/ANXA1/NLRP3/CD33/KLF2/IL4R/ANXA4/RAC1/NLRP1/TYK2/ELANE/C5AR1/TNFAIP3/PLCG2/ADCY7/CASP1/TNFRSF8	26
BP	GO:0006954	inflammatory response	26/168	413/6029	6.37256971039561e-05	6.37256971039561e-05	0.0204341478739922	FOS/PRKCD/MAPK7/MGST2/TLR2/F3/CLU/HDAC4/ADGRE5/TNIP2/TYROBP/LTB4R/BCL6/ANXA1/NLRP3/IL4R/TEK/RAC1/PSTPIP1/NLRP1/ELANE/C5AR1/TNFAIP3/PLCG2/ADCY7/CASP1	26
BP	GO:0001816	cytokine production	26/168	416/6029	7.19824160027562e-05	7.19824160027562e-05	0.0205170933097914	HOMER3/TLR2/F3/CLU/PTPN6/IRAK1/TYROBP/TSPO/BCL6/ABCC8/ANXA1/NLRP3/CD33/KLF2/IL4R/ANXA4/RAC1/NLRP1/TYK2/ELANE/C5AR1/TNFAIP3/PLCG2/ADCY7/CASP1/TNFRSF8	26
BP	GO:0001818	negative regulation of cytokine production	14/168	155/6029	9.40202013146481e-05	9.40202013146481e-05	0.0211457157279308	HOMER3/PTPN6/TYROBP/TSPO/BCL6/ANXA1/NLRP3/CD33/KLF2/ANXA4/RAC1/ELANE/TNFAIP3/ADCY7	14
BP	GO:0009617	response to bacterium	20/168	282/6029	9.76160712321436e-05	9.76160712321436e-05	0.0211457157279308	GFI1/FOS/PRKCD/TLR2/SPI1/TNIP2/IRAK1/TSPO/ABCC8/TRIB1/NLRP3/TFEB/NOCT/NLRP1/ELANE/C5AR1/TNFAIP3/PLCG2/BAIAP2L1/CASP1	20
BP	GO:0045628	regulation of T-helper 2 cell differentiation	4/168	10/6029	0.000107160274616309	0.000107160274616309	0.0211457157279308	BCL6/ANXA1/NLRP3/IL4R	4
BP	GO:0070269	pyroptosis	4/168	10/6029	0.000107160274616309	0.000107160274616309	0.0211457157279308	NLRP3/NLRP1/ELANE/CASP1	4
BP	GO:0002237	response to molecule of bacterial origin	16/168	204/6029	0.000160178440395663	0.000160178440395663	0.0281743575644198	GFI1/FOS/TLR2/SPI1/TNIP2/IRAK1/TSPO/ABCC8/TRIB1/NLRP3/NOCT/ELANE/C5AR1/TNFAIP3/PLCG2/CASP1	16
BP	GO:0034134	toll-like receptor 2 signaling pathway	4/168	11/6029	0.000164745422771023	0.000164745422771023	0.0281743575644198	TLR2/TNIP2/IRAK1/TNFAIP3	4
BP	GO:0072665	protein localization to vacuole	5/168	21/6029	0.000224214027079122	0.000224214027079122	0.0359479989468302	TSG101/CLU/VPS25/TNFAIP3/GLMP	5
BP	GO:0032496	response to lipopolysaccharide	15/168	193/6029	0.000285460205251674	0.000285460205251674	0.04307532632807	GFI1/FOS/TLR2/SPI1/TNIP2/IRAK1/TSPO/ABCC8/TRIB1/NLRP3/NOCT/ELANE/TNFAIP3/PLCG2/CASP1	15
BP	GO:0032717	negative regulation of interleukin-8 production	4/168	13/6029	0.000341663893566415	0.000341663893566415	0.0486920999193774	ANXA1/CD33/ANXA4/ELANE	4
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	13/168	156/6029	0.000374348138512683	0.000374348138512683	0.0504305322140058	TNFSF13B/PRKCD/TNFSF13/CLU/JAG1/PTPN6/BCL6/ANXA1/NLRP3/IL4R/RAB27A/TYK2/TNFAIP3	13
BP	GO:0098542	defense response to other organism	24/168	411/6029	0.000393180185501071	0.000393180185501071	0.0504305322140058	PRKCD/TLR2/CLU/SPI1/PTPN6/IRAK1/TYROBP/ANXA1/NLRP3/IRF2/IL4R/TFEB/RAB27A/PSTPIP1/NLRP1/SMPD1/TANK/TYK2/ELANE/C5AR1/TNFAIP3/PLCG2/CASP1/RAB43	24
BP	GO:0009952	anterior/posterior pattern specification	14/168	179/6029	0.000428616570906627	0.000428616570906627	0.0523578237242832	HOXB7/PBX3/HOXA7/HOXB3/HOXA2/HOXA4/HOXA5/HOXB6/HOXA3/HOXB5/HOXB8/HOXB9/TAF10/MESP2	14
BP	GO:0045064	T-helper 2 cell differentiation	4/168	14/6029	0.000467989331589119	0.000467989331589119	0.0545688995733342	BCL6/ANXA1/NLRP3/IL4R	4
BP	GO:0002764	immune response-regulating signaling pathway	17/168	249/6029	0.000521521926202558	0.000521521926202558	0.0581669992748574	GFI1/SPG21/PRKCD/MAP3K1/TLR2/PTPN6/TNIP2/IRAK1/SH2B2/TYROBP/NLRP3/CD33/NLRP1/C5AR1/TNFAIP3/PLCG2/CASP1	17
