ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032501	multicellular organismal process	44/65	483/1193	4.83017711361898e-06	4.83017711361898e-06	0.002918148023086	PITX1/KLF4/NFIA/TET1/PLAG1/SOX6/GATA1/BHLHA15/KLF6/DPF3/HOXB5/GRHL1/PBX1/HOXB2/FOXJ1/E2F2/IRF8/KLF5/TEAD3/GLIS2/GTF2IRD1/HES6/IRF6/SP3/CEBPB/CEBPA/ISL2/REL/BCL6B/SIM2/IRF4/FOXD1/HOXB6/TFE3/ZNF24/MAFG/FOXO4/RORA/SOX7/TCFL5/NFIB/POU2AF1/FOXO3/MTF1	44
BP	GO:0007275	multicellular organism development	40/65	420/1193	7.76502233867082e-06	7.76502233867082e-06	0.002918148023086	PITX1/KLF4/NFIA/TET1/PLAG1/SOX6/GATA1/BHLHA15/KLF6/DPF3/HOXB5/GRHL1/PBX1/HOXB2/FOXJ1/E2F2/IRF8/KLF5/TEAD3/GLIS2/HES6/IRF6/SP3/CEBPB/CEBPA/ISL2/SIM2/IRF4/FOXD1/HOXB6/TFE3/ZNF24/MAFG/FOXO4/RORA/SOX7/NFIB/POU2AF1/FOXO3/MTF1	40
BP	GO:0030154	cell differentiation	39/65	411/1193	1.3312079817199e-05	1.3312079817199e-05	0.002918148023086	PITX1/KLF4/TET1/PLAG1/SOX6/GATA1/BHLHA15/KLF6/DPF3/HOXB5/GRHL1/HLF/PBX1/FOXJ1/IRF8/KLF5/TEAD3/GLIS2/HES6/IRF6/SP3/CEBPB/CEBPA/ISL2/BCL6B/NR1I2/SIM2/IRF4/FOXD1/TFE3/FOXD2/MAFG/FOXO4/RORA/SOX7/TCFL5/NFIB/POU2AF1/FOXO3	39
BP	GO:0048869	cellular developmental process	39/65	411/1193	1.3312079817199e-05	1.3312079817199e-05	0.002918148023086	PITX1/KLF4/TET1/PLAG1/SOX6/GATA1/BHLHA15/KLF6/DPF3/HOXB5/GRHL1/HLF/PBX1/FOXJ1/IRF8/KLF5/TEAD3/GLIS2/HES6/IRF6/SP3/CEBPB/CEBPA/ISL2/BCL6B/NR1I2/SIM2/IRF4/FOXD1/TFE3/FOXD2/MAFG/FOXO4/RORA/SOX7/TCFL5/NFIB/POU2AF1/FOXO3	39
BP	GO:0048856	anatomical structure development	42/65	467/1193	1.75148259088576e-05	1.75148259088576e-05	0.00307154736464807	PITX1/KLF4/NFIA/TET1/PLAG1/SOX6/GATA1/BHLHA15/KLF6/DPF3/HOXB5/GRHL1/HLF/PBX1/HOXB2/FOXJ1/E2F2/IRF8/KLF5/TEAD3/GLIS2/HES6/IRF6/SP3/CEBPB/CEBPA/ISL2/SIM2/IRF4/FOXD1/HOXB6/TFE3/FOXD2/ZNF24/MAFG/FOXO4/RORA/SOX7/NFIB/POU2AF1/FOXO3/MTF1	42
BP	GO:0045944	positive regulation of transcription by RNA polymerase II	43/65	492/1193	2.72931699974705e-05	2.72931699974705e-05	0.00398863343998122	PITX1/KLF4/NFIA/TET1/PLAG1/GATA1/PRDM5/BHLHA15/KLF6/ZNF91/DPF3/HOXB5/GRHL1/HLF/PBX1/HOXB2/FOXJ1/E2F2/IRF8/KLF5/TEAD3/TEF/GLIS2/IRF6/SP3/IKZF4/CEBPB/CEBPA/REL/NR1I2/IRF4/ST18/FOXD1/TFE3/FOXD2/ZNF24/MAFG/FOXO4/RORA/NFIB/POU2AF1/FOXO3/MTF1	43
BP	GO:0048731	system development	35/65	377/1193	0.000108757534803035	0.000108757534803035	0.0129206467406798	PITX1/KLF4/NFIA/PLAG1/SOX6/GATA1/BHLHA15/KLF6/DPF3/HOXB5/PBX1/HOXB2/FOXJ1/E2F2/IRF8/KLF5/TEAD3/GLIS2/HES6/SP3/CEBPB/CEBPA/ISL2/SIM2/IRF4/FOXD1/HOXB6/TFE3/ZNF24/FOXO4/RORA/NFIB/POU2AF1/FOXO3/MTF1	35
BP	GO:0048513	animal organ development	34/65	362/1193	0.000117883451655662	0.000117883451655662	0.0129206467406798	PITX1/KLF4/NFIA/PLAG1/SOX6/GATA1/BHLHA15/KLF6/DPF3/HOXB5/GRHL1/HLF/PBX1/HOXB2/FOXJ1/IRF8/KLF5/TEAD3/GLIS2/IRF6/SP3/CEBPB/CEBPA/ISL2/SIM2/IRF4/FOXD1/HOXB6/TFE3/FOXO4/RORA/NFIB/POU2AF1/FOXO3	34
BP	GO:0042592	homeostatic process	15/65	107/1193	0.000339036653517025	0.000339036653517025	0.0316631208928518	KLF4/GATA1/BHLHA15/GRHL1/GLIS2/SP3/CEBPB/CEBPA/IRF4/HOXB6/TFE3/MAFG/RORA/FOXO3/MTF1	15
BP	GO:0007399	nervous system development	22/65	198/1193	0.000361104019786426	0.000361104019786426	0.0316631208928518	PITX1/KLF4/NFIA/PLAG1/SOX6/BHLHA15/DPF3/PBX1/HOXB2/FOXJ1/TEAD3/GLIS2/HES6/CEBPB/ISL2/SIM2/FOXD1/ZNF24/RORA/NFIB/FOXO3/MTF1	22
