	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa03010	hsa03010	Ribosome	10/61	167/8586	2.26978049524221e-07	64928/63875/29074/51069/63931/51021/51116/64969/64968/9349	10
hsa00650	hsa00650	Butanoate metabolism	3/61	27/8586	0.000883956493603216	38/1892/79944	3
hsa03040	hsa03040	Spliceosome	6/61	216/8586	0.00414616164598288	151903/10084/10285/9410/6429/6431	6
hsa00280	hsa00280	Valine, leucine and isoleucine degradation	3/61	48/8586	0.0047023425898605	38/1892/64087	3
hsa03015	hsa03015	mRNA surveillance pathway	4/61	97/8586	0.0048838117959481	10978/1477/81608/65109	4
hsa01212	hsa01212	Fatty acid metabolism	3/61	57/8586	0.00760389031820182	38/1892/27349	3
hsa00310	hsa00310	Lysine degradation	3/61	63/8586	0.0100144768914255	38/1892/4297	3
hsa03083	hsa03083	Polycomb repressive complex	3/61	84/8586	0.021640099071594	1460/22823/10389	3
hsa01232	hsa01232	Nucleotide metabolism	3/61	85/8586	0.0223205887894684	4832/29922/84284	3
hsa01240	hsa01240	Biosynthesis of cofactors	4/61	153/8586	0.0230786482386643	51805/4832/29922/64802	4
hsa03008	hsa03008	Ribosome biogenesis in eukaryotes	4/61	164/8586	0.0288491146963697	1460/55127/84135/10885	4
hsa00380	hsa00380	Tryptophan metabolism	2/61	42/8586	0.0356406608019681	38/1892	2
hsa00071	hsa00071	Fatty acid degradation	2/61	43/8586	0.0372113960438584	38/1892	2
hsa00230	hsa00230	Purine metabolism	3/61	128/8586	0.0623898338013677	4832/29922/84284	3
hsa00240	hsa00240	Pyrimidine metabolism	2/61	58/8586	0.063689866980629	4832/29922	2
hsa00130	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	1/61	11/8586	0.0754750921555836	51805	1
hsa03450	hsa03450	Non-homologous end-joining	1/61	13/8586	0.0885826589214723	5591	1
hsa00730	hsa00730	Thiamine metabolism	1/61	15/8586	0.101507395460633	84284	1
hsa03018	hsa03018	RNA degradation	2/61	79/8586	0.108149025611715	3313/5073	2
hsa00983	hsa00983	Drug metabolism - other enzymes	2/61	80/8586	0.110434014234742	4832/29922	2
hsa00061	hsa00061	Fatty acid biosynthesis	1/61	18/8586	0.120557171188951	27349	1
hsa00511	hsa00511	Other glycan degradation	1/61	18/8586	0.120557171188951	4126	1
hsa00900	hsa00900	Terpenoid backbone biosynthesis	1/61	23/8586	0.151427700062996	38	1
