	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa03008	hsa03008	Ribosome biogenesis in eukaryotes	10/83	164/8586	3.59958364632714e-06	55127/23195/10199/55226/4931/10607/84135/55813/10885/84128	10
hsa03010	hsa03010	Ribosome	10/83	167/8586	4.23671514143898e-06	63875/9801/55052/51264/55173/51021/51116/64969/64968/51081	10
hsa00071	hsa00071	Fatty acid degradation	5/83	43/8586	5.39377568932158e-05	37/38/219/1892/2639	5
hsa00650	hsa00650	Butanoate metabolism	4/83	27/8586	0.000120289745132448	38/622/1892/79944	4
hsa01212	hsa01212	Fatty acid metabolism	5/83	57/8586	0.000211054491792025	37/38/1892/7923/27349	5
hsa00310	hsa00310	Lysine degradation	5/83	63/8586	0.000338604158114724	38/219/79709/1892/2639	5
hsa00380	hsa00380	Tryptophan metabolism	4/83	42/8586	0.000687175937800328	38/219/1892/2639	4
hsa00280	hsa00280	Valine, leucine and isoleucine degradation	4/83	48/8586	0.00114323396218621	38/219/4329/1892	4
hsa00410	hsa00410	beta-Alanine metabolism	3/83	31/8586	0.00322125101560762	219/4329/1892	3
hsa03013	hsa03013	Nucleocytoplasmic transport	5/83	108/8586	0.00382816634845859	8086/10526/23225/348995/79902	5
hsa03018	hsa03018	RNA degradation	4/83	79/8586	0.0070420971483617	5394/3313/5073/87178	4
hsa00061	hsa00061	Fatty acid biosynthesis	2/83	18/8586	0.012777199835671	7923/27349	2
hsa00511	hsa00511	Other glycan degradation	2/83	18/8586	0.012777199835671	2519/4125	2
hsa00510	hsa00510	N-Glycan biosynthesis	3/83	53/8586	0.0144207784662497	79053/79796/3703	3
hsa01240	hsa01240	Biosynthesis of cofactors	5/83	153/8586	0.0160541291829077	219/80308/326625/4832/64802	5
hsa00900	hsa00900	Terpenoid backbone biosynthesis	2/83	23/8586	0.0204803977552863	38/57107	2
hsa03060	hsa03060	Protein export	2/83	23/8586	0.0204803977552863	29927/11231	2
hsa00140	hsa00140	Steroid hormone biosynthesis	3/83	62/8586	0.0218871312430498	1312/51170/7923	3
hsa04141	hsa04141	Protein processing in endoplasmic reticulum	5/83	170/8586	0.0241261169054326	80267/7184/29927/11231/3703	5
hsa00640	hsa00640	Propanoate metabolism	2/83	32/8586	0.0379733376949896	4329/1892	2
hsa04142	hsa04142	Lysosome	4/83	132/8586	0.0386508404092553	1075/2519/138050/4125	4
hsa04216	hsa04216	Ferroptosis	2/83	41/8586	0.0593957349252739	2495/2512	2
hsa00513	hsa00513	Various types of N-glycan biosynthesis	2/83	42/8586	0.0619843431940277	79796/3703	2
hsa00514	hsa00514	Other types of O-glycan biosynthesis	2/83	47/8586	0.0754784397846302	79709/23509	2
hsa00620	hsa00620	Pyruvate metabolism	2/83	47/8586	0.0754784397846302	38/219	2
hsa01200	hsa01200	Carbon metabolism	3/83	115/8586	0.0998333579425732	38/4329/1892	3
hsa04978	hsa04978	Mineral absorption	2/83	60/8586	0.114204612498638	2495/2512	2
hsa00561	hsa00561	Glycerolipid metabolism	2/83	63/8586	0.123751696184672	55326/219	2
hsa00531	hsa00531	Glycosaminoglycan degradation	1/83	19/8586	0.168695652177133	138050	1
hsa00100	hsa00100	Steroid biosynthesis	1/83	20/8586	0.176749610490347	2222	1
