	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa04142	hsa04142	Lysosome	12/91	132/8586	1.18413145852808e-08	427/537/9114/51606/967/1212/1511/1522/2548/10577/5660/6448	12
hsa04145	hsa04145	Phagosome	10/91	152/8586	4.23214530791417e-06	537/9114/51606/929/11151/1536/3684/3688/3689/7277	10
hsa05135	hsa05135	Yersinia infection	9/91	137/8586	1.33373498876991e-05	382/10109/998/2776/3688/5604/5585/391/7454	9
hsa05152	hsa05152	Tuberculosis	10/91	180/8586	1.88962401894908e-05	537/9114/51606/820/929/11151/2207/3684/3689/4802	10
hsa05132	hsa05132	Salmonella infection	11/91	249/8586	5.95780781666121e-05	382/10109/55845/929/998/5604/5585/5788/391/7277/27072	11
hsa04670	hsa04670	Leukocyte transendothelial migration	7/91	115/8586	0.000206107387816299	998/1536/2771/3684/3688/3689/4318	7
hsa04015	hsa04015	Rap1 signaling pathway	9/91	210/8586	0.000364288909671363	998/2771/2776/2778/3684/3688/3689/5604/5899	9
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	6/91	97/8586	0.000547434988997223	382/10109/998/5604/5788/7454	6
hsa04810	hsa04810	Regulation of actin cytoskeleton	9/91	229/8586	0.000683930425782926	10109/55845/998/8826/3684/3688/3689/5604/7114	9
hsa05146	hsa05146	Amoebiasis	6/91	102/8586	0.000715100297963109	929/1511/2776/2778/3684/3689	6
hsa05131	hsa05131	Shigellosis	9/91	247/8586	0.0011703654945461	382/10109/824/831/929/998/3098/3688/9252	9
hsa05133	hsa05133	Pertussis	5/91	76/8586	0.00122346370748168	929/2771/3684/3688/3689	5
hsa04144	hsa04144	Endocytosis	9/91	250/8586	0.00127359815891977	382/10109/998/57132/1212/9798/11021/9135/51100	9
hsa05100	hsa05100	Bacterial invasion of epithelial cells	5/91	77/8586	0.00129762259250946	10109/998/1212/3688/391	5
hsa04071	hsa04071	Sphingolipid signaling pathway	6/91	121/8586	0.00173860778906993	427/91012/2207/2771/2776/5604	6
hsa05110	hsa05110	Vibrio cholerae infection	4/91	50/8586	0.00187434226922703	537/9114/51606/2778	4
hsa04540	hsa04540	Gap junction	5/91	88/8586	0.00234887839006116	2771/2776/2778/5604/7277	5
hsa05134	hsa05134	Legionellosis	4/91	56/8586	0.00284849733109412	929/3684/3689/81876	4
hsa04970	hsa04970	Salivary secretion	5/91	93/8586	0.00298984731178372	683/820/2776/2778/4069	5
hsa04730	hsa04730	Long-term depression	4/91	60/8586	0.00366231896502491	2771/2776/2778/5604	4
hsa04613	hsa04613	Neutrophil extracellular trap formation	7/91	191/8586	0.00404825456301232	820/1511/1536/1991/3684/3689/5604	7
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	4/91	70/8586	0.00635607463590878	537/9114/51606/998	4
hsa00500	hsa00500	Starch and sucrose metabolism	3/91	36/8586	0.006386944019217	2548/2821/3098	3
hsa05140	hsa05140	Leishmaniasis	4/91	77/8586	0.00887080826741877	1536/3684/3688/3689	4
hsa05219	hsa05219	Bladder cancer	3/91	41/8586	0.00918016478630101	5604/4318/9252	3
hsa04530	hsa04530	Tight junction	6/91	170/8586	0.00918923748828584	10109/998/3688/51762/7277/7454	6
hsa04611	hsa04611	Platelet activation	5/91	124/8586	0.0100326811397035	2207/2771/2776/2778/3688	5
hsa04915	hsa04915	Estrogen signaling pathway	5/91	137/8586	0.0149624878979588	2771/2776/2778/5604/4318	5
hsa04912	hsa04912	GnRH signaling pathway	4/91	93/8586	0.0168497458271626	998/2776/2778/5604	4
hsa05323	hsa05323	Rheumatoid arthritis	4/91	93/8586	0.0168497458271626	537/9114/51606/3689	4
hsa05130	hsa05130	Pathogenic Escherichia coli infection	6/91	198/8586	0.0183859347178281	382/10109/55845/998/3688/7277	6
hsa04961	hsa04961	Endocrine and other factor-regulated calcium reabsorption	3/91	53/8586	0.0184224797648779	1212/2776/2778	3
hsa00600	hsa00600	Sphingolipid metabolism	3/91	54/8586	0.0193595434042398	427/91012/5660	3
hsa04713	hsa04713	Circadian entrainment	4/91	97/8586	0.0193707033969988	2771/2776/2778/9252	4
hsa04072	hsa04072	Phospholipase D signaling pathway	5/91	148/8586	0.0202318553254373	382/2207/2778/5604/5899	5
hsa05205	hsa05205	Proteoglycans in cancer	6/91	205/8586	0.0214204126439447	967/998/8826/3688/5604/4318	6
hsa04916	hsa04916	Melanogenesis	4/91	101/8586	0.0221138274616374	2771/2776/2778/5604	4
