	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP2272	WP2272	Pathogenic Escherichia coli infection	8/115	55/8701	5.28991252069333e-07	60/10094/3688/4690/6093/7277/7454/10971	8
WP524	WP524	G13 signaling pathway	7/115	39/8701	6.35892077343361e-07	801/23191/10672/10788/5305/6093/7454	7
WP51	WP51	Regulation of actin cytoskeleton	12/115	151/8701	6.39091054707987e-07	60/55845/26999/10672/4478/5305/8396/79837/6093/6548/7114/7454	12
WP306	WP306	Focal adhesion	13/115	199/8701	1.99726919293776e-06	60/2316/2317/3611/3674/3688/3690/103910/29780/5908/6093/6714/7094	13
WP2572	WP2572	Primary focal segmental glomerulosclerosis (FSGS)	8/115	72/8701	4.31505082419743e-06	3611/3688/3690/3987/4627/4690/7094/10971	8
WP3888	WP3888	VEGFA-VEGFR2 signaling	18/115	432/8701	1.29413360324923e-05	226/832/1192/1465/2317/2597/3688/3690/4629/4627/4690/5908/6093/83442/6648/6714/6774/7114	18
WP185	WP185	Integrin-mediated cell adhesion	8/115	102/8701	5.69059645862116e-05	3611/3674/3688/3690/5908/6093/6714/7094	8
WP2032	WP2032	Thyroid stimulating hormone (TSH) signaling pathway	6/115	66/8701	0.000222818800260887	10672/3716/103910/5908/6714/6774	6
WP4534	WP4534	Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	5/115	47/8701	0.000364124709725861	60/3688/3690/6714/10971	5
WP2037	WP2037	Prolactin signaling pathway	6/115	76/8701	0.000481719674758017	2316/3688/3716/6714/6774/6777	6
WP286	WP286	IL-3 signaling pathway	5/115	50/8701	0.000487360166334267	3716/6714/6774/6777/10971	5
WP313	WP313	Hepatocyte growth factor receptor signaling	4/115	34/8701	0.000988949260781436	3688/5908/6714/6774	4
WP4549	WP4549	Fragile X syndrome	7/115	122/8701	0.00112462641601484	23191/26999/1785/4204/57521/6455/6714	7
WP1946	WP1946	Cori cycle	3/115	17/8701	0.00133612348354111	226/2597/6888	3
WP22	WP22	IL-9 signaling pathway	3/115	17/8701	0.00133612348354111	3716/6774/6777	3
WP2324	WP2324	AGE/RAGE pathway	5/115	66/8701	0.00173861187474184	4478/6093/6714/6774/6777	5
WP127	WP127	IL-5 signaling pathway	4/115	40/8701	0.00183376925804101	3716/6199/6774/6777	4
WP500	WP500	Glycogen synthesis and degradation	4/115	40/8701	0.00183376925804101	801/5520/5834/5836	4
WP3303	WP3303	RAC1/PAK1/p38/MMP2 pathway	5/115	68/8701	0.00198600750666009	3688/4690/6714/6774/6777	5
WP49	WP49	IL-2 signaling pathway	4/115	42/8701	0.00220086973754588	3716/6199/6774/6777	4
WP5376	WP5376	17p13.3 (YWHAE) copy number variation	3/115	21/8701	0.00251467019979692	84516/5048/10971	3
WP2038	WP2038	Microtubule cytoskeleton regulation	4/115	46/8701	0.00308142834694685	1808/6093/6714/6774	4
WP2034	WP2034	Leptin signaling pathway	5/115	76/8701	0.00323800122455747	3716/6093/6714/6774/6777	5
WP2203	WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	4/115	47/8701	0.00333420077831624	3716/6714/6774/6777	4
WP1528	WP1528	Physiological and pathological hypertrophy of the heart	3/115	24/8701	0.00371821731754448	801/5532/6774	3
WP205	WP205	IL-7 signaling pathway	3/115	25/8701	0.00418493508992331	3716/6774/6777	3
WP581	WP581	EPO receptor signaling	3/115	26/8701	0.00468568816720952	6714/6774/6777	3
WP4018	WP4018	Clear cell renal cell carcinoma pathways	5/115	86/8701	0.00550057886301007	47/226/2597/57521/6774	5
WP4298	WP4298	Acute viral myocarditis	5/115	86/8701	0.00550057886301007	60/3611/3716/6714/6774	5
WP395	WP395	IL-4 signaling pathway	4/115	54/8701	0.00550851312169698	2316/3716/6774/6777	4
WP437	WP437	EGF/EGFR signaling pathway	7/115	163/8701	0.00574547668367458	3716/4690/5037/6093/6714/6774/6777	7
WP2643	WP2643	Nanoparticle-mediated activation of receptor signaling	3/115	28/8701	0.00579201652962302	3688/6714/7094	3
WP3929	WP3929	Chemokine signaling pathway	7/115	166/8701	0.00633595567882106	5196/5473/5908/6093/6774/6777/7454	7
WP3972	WP3972	PDGFR-beta pathway	3/115	29/8701	0.00639883890878884	3716/6774/6777	3
WP4217	WP4217	Ebola virus infection in host	6/115	129/8701	0.00713082073992566	60/2316/2317/3688/3690/7251	6
WP4352	WP4352	Ciliary landscape	8/115	215/8701	0.00751663373923515	26286/801/23549/140735/10788/10982/5048/4218	8
WP5399	WP5399	NPHP1 deletion syndrome	2/115	11/8701	0.0088108697396977	2316/2317	2
WP5358	WP5358	JAK-STAT signaling in the regulation of Beta-cells	3/115	34/8701	0.00999070649689324	57521/6774/6777	3
WP4495	WP4495	IL-10 anti-inflammatory signaling pathway 	2/115	12/8701	0.0104823178530175	3716/6774	2
WP4629	WP4629	Aerobic glycolysis	2/115	12/8701	0.0104823178530175	226/2597	2
WP2374	WP2374	Oncostatin M signaling pathway	4/115	65/8701	0.0105579784867744	3716/6714/6774/6777	4
WP3680	WP3680	Physico-chemical features and toxicity-associated pathways	4/115	66/8701	0.0111269698810991	10096/4690/6714/7114	4
WP3850	WP3850	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	3/115	36/8701	0.0116957919256048	3611/3688/57521	3
WP2380	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	6/115	144/8701	0.0119214667720194	23191/1808/4690/6714/6774/6777	6
WP2526	WP2526	PDGF pathway	3/115	40/8701	0.0155802052974089	3716/6714/6774	3
WP3584	WP3584	MECP2 and associated Rett syndrome	4/115	73/8701	0.0156664112243392	1465/4155/4204/11168	4
WP5063	WP5063	FOXP3 in COVID-19	2/115	15/8701	0.0162516697298101	6774/6777	2
WP2636	WP2636	Common pathways underlying drug addiction	3/115	41/8701	0.0166514163679115	60/801/5908	3
