	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP5287	WP5287	17q12 copy number variation syndrome	6/57	101/8701	4.73658714369292e-05	26574/51755/84311/54475/9349/8148	6
WP4686	WP4686	Leucine, isoleucine and valine metabolism	3/57	24/8701	0.000489337449169491	38/1892/64087	3
WP411	WP411	mRNA processing	5/57	126/8701	0.00134850162198772	10978/1477/9410/6429/6431	5
WP391	WP391	Mitochondrial gene expression	2/57	19/8701	0.00671269147059827	51106/64216	2
WP465	WP465	Tryptophan metabolism	2/57	33/8701	0.0195490133634951	38/1892	2
WP143	WP143	Fatty acid beta-oxidation	2/57	34/8701	0.0206845055103059	38/1892	2
WP5355	WP5355	Metabolic Epileptic Disorders	3/57	91/8701	0.0215692868586201	38/1892/292	3
WP2263	WP2263	Androgen receptor network in prostate cancer	3/57	110/8701	0.035139874397804	86/1398/5591	3
WP1541	WP1541	Energy metabolism	2/57	48/8701	0.0392428301524497	51106/64216	2
WP3959	WP3959	DNA IR-double strand breaks and cellular response via ATM	2/57	55/8701	0.0501909815480376	86/5591	2
WP560	WP560	TGF-beta receptor signaling	2/57	55/8701	0.0501909815480376	860/864	2
WP4816	WP4816	TGF-beta receptor signaling in skeletal dysplasias	2/57	59/8701	0.0568847576332862	860/864	2
WP438	WP438	Non-homologous end joining	1/57	10/8701	0.0636438363579277	5591	1
WP4846	WP4846	SARS-CoV-2 and COVID-19 pathway	1/57	10/8701	0.0636438363579277	38	1
WP474	WP474	Endochondral ossification	2/57	63/8701	0.0638717609572439	860/864	2
WP4808	WP4808	Endochondral ossification with skeletal dysplasias	2/57	63/8701	0.0638717609572439	860/864	2
WP5233	WP5233	Arsenic metabolism and reactive oxygen species generation	1/57	11/8701	0.0697849364991772	28958	1
WP1425	WP1425	Bone morphogenic protein signaling and regulation	1/57	12/8701	0.0758864622321509	860	1
WP3892	WP3892	Development of pulmonary dendritic cells and macrophage subsets	1/57	13/8701	0.0819486640566152	860	1
WP4190	WP4190	Mevalonate arm of cholesterol biosynthesis pathway	1/57	13/8701	0.0819486640566152	38	1
WP5356	WP5356	Disturbed pathways in Duchenne Muscular Dystrophy	2/57	74/8701	0.0844445161237194	3313/292	2
WP4240	WP4240	Regulation of sister chromatid separation at the metaphase-anaphase transition	1/57	15/8701	0.0939560902037014	29882	1
WP5152	WP5152	Iron-sulfur cluster biogenesis	1/57	15/8701	0.0939560902037014	3313	1
WP5205	WP5205	Clock-controlled autophagy in bone metabolism	2/57	80/8701	0.0964074541775664	860/10131	2
WP2916	WP2916	Interactome of polycomb repressive complex 2 (PRC2) 	1/57	16/8701	0.0999018077789247	22823	1
WP3644	WP3644	NAD+ metabolism	1/57	16/8701	0.0999018077789247	64802	1
WP4210	WP4210	Tryptophan catabolism leading to NAD+ production	1/57	16/8701	0.0999018077789247	64802	1
WP4921	WP4921	Mitochondrial complex III assembly	1/57	16/8701	0.0999018077789247	90624	1
WP4022	WP4022	Pyrimidine metabolism	2/57	84/8701	0.10463735259128	4832/29922	2
WP3859	WP3859	TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	1/57	17/8701	0.105809187969667	860	1
WP3640	WP3640	Imatinib and chronic myeloid leukemia	1/57	20/8701	0.12330372478723	4839	1
WP4884	WP4884	Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex	1/57	21/8701	0.12906016847887	55922	1
WP357	WP357	Fatty acid biosynthesis	1/57	22/8701	0.134779473824112	1892	1
WP3645	WP3645	NAD+ biosynthetic pathways	1/57	22/8701	0.134779473824112	64802	1
WP3668	WP3668	Hypothesized pathways in pathogenesis of cardiovascular disease	1/57	25/8701	0.15171690597527	860	1
WP4521	WP4521	Glycosylation and related congenital defects	1/57	25/8701	0.15171690597527	79796	1
WP4532	WP4532	Intraflagellar transport proteins binding to dynein	1/57	27/8701	0.162827111560118	8655	1
WP2361	WP2361	Gastric cancer network 1	1/57	28/8701	0.168328478246891	86	1
WP5351	WP5351	Kleefstra syndrome	1/57	29/8701	0.173794323599125	86	1
WP4787	WP4787	Osteoblast differentiation and related diseases	2/57	119/8701	0.183051800086068	5591/860	2
WP4204	WP4204	Tumor suppressor activity of SMARCB1	1/57	31/8701	0.184620350037844	86	1
WP4752	WP4752	Base excision repair	1/57	31/8701	0.184620350037844	4350	1
WP179	WP179	Cell cycle	2/57	120/8701	0.185413741010056	29882/5591	2
WP4946	WP4946	DNA repair pathways, full network	2/57	120/8701	0.185413741010056	4350/5591	2
WP2839	WP2839	Hair follicle development: organogenesis - part 2 of 3	1/57	32/8701	0.189980977494343	860	1
WP313	WP313	Hepatocyte growth factor receptor signaling	1/57	34/8701	0.200598566399587	1398	1
WP3971	WP3971	OSX and miRNAs in tooth development	1/57	34/8701	0.200598566399587	860	1
WP4922	WP4922	Mitochondrial complex IV assembly	1/57	34/8701	0.200598566399587	28958	1
WP5202	WP5202	Alstrom syndrome	1/57	34/8701	0.200598566399587	6811	1
WP5406	WP5406	13q12.12 copy number variation	1/57	34/8701	0.200598566399587	4285	1
WP4657	WP4657	22q11.2 copy number variation syndrome	2/57	130/8701	0.209259757851741	8479/64976	2
WP4844	WP4844	Influence of laminopathies on Wnt signaling	1/57	37/8701	0.216269060120398	860	1
WP2332	WP2332	Interleukin-11 signaling pathway	1/57	44/8701	0.251669350989431	860	1
WP314	WP314	Fas ligand pathway and stress induction of heat shock proteins	1/57	44/8701	0.251669350989431	5591	1
WP5085	WP5085	Vasopressin-regulated water reabsorption	1/57	44/8701	0.251669350989431	8655	1
WP3878	WP3878	ATM signaling in development and disease 	1/57	45/8701	0.256596559837023	5591	1
WP4312	WP4312	Rett syndrome causing genes	1/57	48/8701	0.271187735888168	1398	1
WP5373	WP5373	Role of hypoxia, angiogenesis, and FGF pathway in OA chondrocyte hypertrophy	1/57	50/8701	0.280758487756216	860	1
WP3286	WP3286	Copper homeostasis	1/57	53/8701	0.294883530943371	22823	1
WP5144	WP5144	NRP1-triggered signaling pathways in pancreatic cancer 	1/57	54/8701	0.299531037735256	1105	1
WP585	WP585	Interferon type I signaling pathways	1/57	54/8701	0.299531037735256	1398	1
WP4879	WP4879	Overlap between signal transduction pathways contributing to LMNA laminopathies	1/57	57/8701	0.313293732712272	860	1
WP5153	WP5153	N-glycan biosynthesis	1/57	57/8701	0.313293732712272	79796	1
WP5316	WP5316	Primary ovarian insufficiency	2/57	174/8701	0.316190529701329	26284/56945	2
WP2023	WP2023	Cell differentiation - expanded index	1/57	59/8701	0.322320907945384	860	1
WP304	WP304	Kit receptor signaling pathway	1/57	59/8701	0.322320907945384	1398	1
WP4205	WP4205	MET in type 1 papillary renal cell carcinoma	1/57	59/8701	0.322320907945384	1398	1
WP3865	WP3865	Novel intracellular components of RIG-I-like receptor pathway	1/57	60/8701	0.326790672843222	10521	1
WP3945	WP3945	TYROBP causal network in microglia	1/57	62/8701	0.33564348500038	864	1
WP3624	WP3624	Lung fibrosis	1/57	64/8701	0.34438189720755	5073	1
WP2369	WP2369	Histone modifications	1/57	65/8701	0.348708657872036	4297	1
WP3651	WP3651	Pathways affected in adenoid cystic carcinoma	1/57	65/8701	0.348708657872036	5591	1
WP3303	WP3303	RAC1/PAK1/p38/MMP2 pathway	1/57	68/8701	0.361521312720643	1398	1
WP707	WP707	DNA damage response	1/57	69/8701	0.365736913922418	5591	1
WP2359	WP2359	Parkin-ubiquitin proteasomal system pathway	1/57	71/8701	0.374086244610131	3313	1
WP4906	WP4906	3q29 copy number variation syndrome	1/57	71/8701	0.374086244610131	8655	1
WP3594	WP3594	Circadian rhythm genes	2/57	201/8701	0.380743210189878	4297/5591	2
WP4949	WP4949	16p11.2 proximal deletion syndrome	1/57	76/8701	0.394490043242155	8479	1
WP4352	WP4352	Ciliary landscape	2/57	215/8701	0.413280233839815	8655/1892	2
WP4016	WP4016	DNA IR-damage and cellular response via ATR	1/57	81/8701	0.414240004355648	5591	1
WP4018	WP4018	Clear cell renal cell carcinoma pathways	1/57	86/8701	0.43335671777095	8242	1
WP2840	WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	1/57	87/8701	0.437105837572117	864	1
WP477	WP477	Cytoplasmic ribosomal proteins	1/57	88/8701	0.440830584177456	9349	1
WP2446	WP2446	Retinoblastoma gene in cancer	1/57	90/8701	0.448207579384017	5591	1
WP4336	WP4336	ncRNAs involved in Wnt signaling in hepatocellular carcinoma	1/57	90/8701	0.448207579384017	1460	1
WP69	WP69	T-cell receptor signaling pathway	1/57	90/8701	0.448207579384017	1398	1
WP138	WP138	Androgen receptor signaling pathway	1/57	91/8701	0.451860136343152	860	1
WP231	WP231	TNF-alpha signaling pathway	1/57	92/8701	0.45548893683426	10131	1
WP673	WP673	ErbB signaling pathway	1/57	92/8701	0.45548893683426	1398	1
WP5323	WP5323	Fatty Acids and Lipoproteins Transport in Hepatocytes	3/57	382/8701	0.460101261793606	38/1892/27349	3
WP23	WP23	B cell receptor signaling pathway	1/57	97/8701	0.473281871091121	1398	1
WP1530	WP1530	miRNA regulation of DNA damage response	1/57	98/8701	0.476771286868411	5591	1
WP4258	WP4258	lncRNA in canonical Wnt signaling and colorectal cancer	1/57	99/8701	0.480237988791984	1460	1
WP185	WP185	Integrin-mediated cell adhesion	1/57	102/8701	0.490503259179465	1398	1
WP4536	WP4536	Genes related to primary cilium development (based on CRISPR)	1/57	103/8701	0.493880548890684	8655	1
WP111	WP111	Electron transport chain: OXPHOS system in mitochondria	1/57	105/8701	0.500569278730842	292	1
WP4321	WP4321	Thermogenesis	1/57	108/8701	0.510439847199021	86	1
WP5124	WP5124	Alzheimer's disease	2/57	263/8701	0.517960097814689	1460/292	2
WP5380	WP5380	5q35 copy number variation	1/57	111/8701	0.520118693167642	51491	1
WP5345	WP5345	1p36 copy number variation syndrome	1/57	112/8701	0.523303004516821	55174	1
WP428	WP428	Wnt signaling	1/57	115/8701	0.532731899944052	1460	1
WP4659	WP4659	Gastrin signaling pathway	1/57	115/8701	0.532731899944052	1398	1
WP5322	WP5322	CKAP4 signaling pathway map	1/57	116/8701	0.535833959308505	7818	1
WP3888	WP3888	VEGFA-VEGFR2 signaling	3/57	432/8701	0.543294296248532	1398/54505/9325	3
WP3915	WP3915	Angiopoietin-like protein 8 regulatory pathway	1/57	132/8701	0.582801234315666	1398	1
WP4630	WP4630	Measles virus infection	1/57	136/8701	0.593793501989118	1460	1
WP2853	WP2853	Endoderm differentiation	1/57	145/8701	0.617496287883603	22823	1
WP4673	WP4673	Male infertility	1/57	145/8701	0.617496287883603	8812	1
WP51	WP51	Regulation of actin cytoskeleton	1/57	151/8701	0.632537635097655	1398	1
WP2059	WP2059	Alzheimer's disease and miRNA effects	2/57	328/8701	0.639212700679875	1460/292	2
WP2857	WP2857	Mesodermal commitment pathway	1/57	154/8701	0.639838844594848	22823	1
WP4262	WP4262	Breast cancer pathway	1/57	155/8701	0.642240761742162	1460	1
WP481	WP481	Insulin signaling	1/57	160/8701	0.654016275736309	1398	1
WP706	WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	1/57	160/8701	0.654016275736309	864	1
WP437	WP437	EGF/EGFR signaling pathway	1/57	163/8701	0.660897916559846	1398	1
WP3929	WP3929	Chemokine signaling pathway	1/57	166/8701	0.667645035386506	1398	1
WP4803	WP4803	Ciliopathies	1/57	184/8701	0.705444105336788	29922	1
WP306	WP306	Focal adhesion	1/57	199/8701	0.733690082364572	1398	1
WP5094	WP5094	Orexin receptor pathway	1/57	201/8701	0.737249166717418	860	1
WP5115	WP5115	Network map of SARS-CoV-2 signaling pathway	1/57	218/8701	0.765673821619924	55922	1
WP382	WP382	MAPK signaling pathway	1/57	247/8701	0.807350658269976	1398	1
WP4754	WP4754	IL-18 signaling pathway	1/57	273/8701	0.838466122064536	860	1
WP5413	WP5413	IL-24 Signaling pathway	1/57	291/8701	0.857057777612319	10591	1
WP5087	WP5087	Pleural mesothelioma	1/57	440/8701	0.948577291649106	1460	1
