	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
GO:0004888	GO:0004888	transmembrane signaling receptor activity	5/64	32/3928	0.000140624415902739	CD14/IGF2R/ITGAL/PTPRC/SORL1	5
GO:0005525	GO:0005525	GTP binding	9/64	140/3928	0.000371741234645941	ARF6/CDC42/EHD4/GIMAP4/GNAS/RAB22A/RAB8B/RABL3/RALB	9
GO:0019001	GO:0019001	guanyl nucleotide binding	9/64	143/3928	0.000435330903797114	ARF6/CDC42/EHD4/GIMAP4/GNAS/RAB22A/RAB8B/RABL3/RALB	9
GO:0032561	GO:0032561	guanyl ribonucleotide binding	9/64	143/3928	0.000435330903797114	ARF6/CDC42/EHD4/GIMAP4/GNAS/RAB22A/RAB8B/RABL3/RALB	9
GO:0001530	GO:0001530	lipopolysaccharide binding	3/64	12/3928	0.000817398630997486	BPI/CAMP/CD14	3
GO:0038024	GO:0038024	cargo receptor activity	3/64	13/3928	0.00105029853334085	APOBR/ITGAM/SORL1	3
GO:0044877	GO:0044877	protein-containing complex binding	16/64	455/3928	0.00197857205791393	AAK1/ALOX5AP/ARPC2/CORO1A/COTL1/CTSS/GNAS/HMGN4/IGF2R/IST1/ITGAL/ITGAM/MYO1F/PLS3/PTPRC/SORL1	16
GO:0003924	GO:0003924	GTPase activity	7/64	114/3928	0.00228188462421418	ARF6/CDC42/GNAS/RAB22A/RAB8B/RABL3/RALB	7
GO:0038023	GO:0038023	signaling receptor activity	5/64	61/3928	0.00288927769110388	CD14/IGF2R/ITGAL/PTPRC/SORL1	5
GO:0060089	GO:0060089	molecular transducer activity	5/64	61/3928	0.00288927769110388	CD14/IGF2R/ITGAL/PTPRC/SORL1	5
GO:0019003	GO:0019003	GDP binding	4/64	39/3928	0.00343809219388543	ARF6/RAB22A/RAB8B/RALB	4
GO:0003925	GO:0003925	G protein activity	3/64	22/3928	0.00509364710654166	ARF6/CDC42/RALB	3
GO:0051015	GO:0051015	actin filament binding	5/64	75/3928	0.00703998655546356	ARPC2/CORO1A/COTL1/MYO1F/PLS3	5
GO:0043394	GO:0043394	proteoglycan binding	2/64	11/3928	0.0130759472543393	CTSS/PTPRC	2
GO:0003779	GO:0003779	actin binding	6/64	128/3928	0.017008700442726	ARPC2/CORO1A/COTL1/MYO1F/PLS3/TMSB4X	6
GO:0005244	GO:0005244	voltage-gated monoatomic ion channel activity	2/64	13/3928	0.0181599039691289	CYBB/HVCN1	2
GO:0022832	GO:0022832	voltage-gated channel activity	2/64	13/3928	0.0181599039691289	CYBB/HVCN1	2
GO:0005539	GO:0005539	glycosaminoglycan binding	3/64	37/3928	0.0216166049869637	ELANE/HK1/PTPRC	3
