	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP143	WP143	Fatty acid beta-oxidation	4/78	34/8701	0.00022596387362385	37/38/1892/2639	4
WP5037	WP5037	Riboflavin and CoQ disorders	3/78	14/8701	0.000234964023668069	2110/80308/57107	3
WP5172	WP5172	Iron metabolism disorders	3/78	17/8701	0.000430517748046234	617/2495/2512	3
WP4686	WP4686	Leucine, isoleucine and valine metabolism	3/78	24/8701	0.00122485881563226	38/4329/1892	3
WP3998	WP3998	Prader-Willi and Angelman syndrome	5/78	111/8701	0.00311112953349742	8086/23225/348995/79902/5108	5
WP465	WP465	Tryptophan metabolism	3/78	33/8701	0.00311612184307898	38/1892/2639	3
WP5345	WP5345	1p36 copy number variation syndrome	5/78	112/8701	0.00323402615143012	55210/55174/55052/26155/11079	5
WP4190	WP4190	Mevalonate arm of cholesterol biosynthesis pathway	2/78	13/8701	0.00580465507204897	38/2222	2
WP4705	WP4705	Pathways of nucleic acid metabolism and innate immune sensing	2/78	16/8701	0.0087763130398095	10535/8635	2
WP5153	WP5153	N-glycan biosynthesis	3/78	57/8701	0.0143350964776638	79053/79796/3703	3
WP4288	WP4288	MTHFR deficiency	2/78	24/8701	0.0192742846686901	1312/1788	2
WP5276	WP5276	Estrogen metabolism	2/78	24/8701	0.0192742846686901	1312/7923	2
WP4313	WP4313	Ferroptosis	3/78	65/8701	0.0203395942353236	2222/2495/2512	3
WP4521	WP4521	Glycosylation and related congenital defects	2/78	25/8701	0.0208300529091874	79053/79796	2
WP5183	WP5183	SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction	2/78	27/8701	0.0240924642081731	28976/617	2
WP5038	WP5038	Mitochondrial immune response to SARS-CoV-2	2/78	33/8701	0.0350158110781007	28976/617	2
WP5355	WP5355	Metabolic Epileptic Disorders	3/78	91/8701	0.0480133706492059	38/1892/2639	3
WP5323	WP5323	Fatty Acids and Lipoproteins Transport in Hepatocytes	7/78	382/8701	0.0545893046326324	215/38/1892/2222/27349/54940/9522	7
WP5329	WP5329	Cholesterol biosynthesis pathway in hepatocytes	3/78	111/8701	0.0773716795122016	2222/51170/7923	3
WP4220	WP4220	Neurotransmitter disorders	1/78	10/8701	0.0861564679086975	1312	1
WP4846	WP4846	SARS-CoV-2 and COVID-19 pathway	1/78	10/8701	0.0861564679086975	38	1
WP4324	WP4324	Mitochondrial complex I assembly model OXPHOS system	2/78	56/8701	0.0896289432745089	28976/4713	2
WP4788	WP4788	Autosomal recessive osteopetrosis pathways	1/78	11/8701	0.0943580322284677	1186	1
WP5120	WP5120	Inclusion body myositis	1/78	11/8701	0.0943580322284677	23385	1
WP5233	WP5233	Arsenic metabolism and reactive oxygen species generation	1/78	11/8701	0.0943580322284677	28958	1
WP2007	WP2007	Iron metabolism in placenta	1/78	12/8701	0.102486924459328	2495	1
WP2513	WP2513	Nanoparticle triggered regulated necrosis	1/78	12/8701	0.102486924459328	2512	1
WP2436	WP2436	Dopamine metabolism	1/78	13/8701	0.110543780241601	1312	1
WP4271	WP4271	Vitamin B12 disorders	1/78	13/8701	0.110543780241601	326625	1
WP4657	WP4657	22q11.2 copy number variation syndrome	3/78	130/8701	0.110942471801032	1312/64976/1104	3
WP197	WP197	Cholesterol biosynthesis pathway	1/78	15/8701	0.126443897632283	2222	1
WP4156	WP4156	Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine	1/78	15/8701	0.126443897632283	1312	1
WP5152	WP5152	Iron-sulfur cluster biogenesis	1/78	15/8701	0.126443897632283	3313	1
WP550	WP550	Biogenic amine synthesis	1/78	15/8701	0.126443897632283	1312	1
WP2291	WP2291	Deregulation of Rab and Rab effector genes in bladder cancer	1/78	16/8701	0.134288403271782	84958	1
WP3644	WP3644	NAD+ metabolism	1/78	16/8701	0.134288403271782	64802	1
WP4210	WP4210	Tryptophan catabolism leading to NAD+ production	1/78	16/8701	0.134288403271782	64802	1
WP4921	WP4921	Mitochondrial complex III assembly	1/78	16/8701	0.134288403271782	617	1
WP368	WP368	Mitochondrial long chain fatty acid beta-oxidation	1/78	17/8701	0.142063360617182	37	1
WP4815	WP4815	Glycosaminoglycan degradation	1/78	17/8701	0.142063360617182	138050	1
WP4656	WP4656	Joubert syndrome	2/78	76/8701	0.148332049917259	402/5108	2
WP4936	WP4936	Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins	1/78	18/8701	0.149769378336189	8673	1
WP5193	WP5193	Cholesterol synthesis disorders	1/78	18/8701	0.149769378336189	2222	1
WP697	WP697	Estrogen metabolism	1/78	18/8701	0.149769378336189	1312	1
WP5123	WP5123	Mitochondrial fatty acid oxidation disorders	1/78	19/8701	0.1574070598391	37	1
WP4225	WP4225	Pyrimidine metabolism and related diseases	1/78	20/8701	0.164977003323614	4329	1
WP5331	WP5331	Autophagy in pancreatic ductal adenocarcinoma	1/78	20/8701	0.164977003323614	10526	1
WP3657	WP3657	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	1/78	21/8701	0.172479801819266	1788	1
