	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
GO:0003779	GO:0003779	actin binding	32/199	128/3928	6.95027968892604e-15	ACTR3/ADD1/ADD3/ALDOA/ARPC3/CAPZA1/CAPZB/CNN2/CORO1C/CYFIP1/EVL/FLNA/FLNB/GBP1/IQGAP2/ITGB1/LASP1/MARCKSL1/MSN/MYH11/MYH9/MYO9B/PARVB/SPTAN1/SPTBN1/TLN1/TMSB4X/TPM1/TPM4/WAS/WDR1/WIPF1	32
GO:0008092	GO:0008092	cytoskeletal protein binding	46/199	283/3928	1.86910814026185e-13	ACTB/ACTR3/ADD1/ADD3/ALDOA/ARPC3/CALM1/CAPZA1/CAPZB/CNN2/CORO1C/CSRP1/CYFIP1/DNM2/DYRK1A/EML2/EVL/FLNA/FLNB/GAPDH/GBP1/HOOK3/IQGAP2/ITGB1/KIF13B/LASP1/MAP4/MAPRE2/MARCKSL1/MSN/MYH11/MYH9/MYO9B/PAFAH1B1/PARVB/RAB8A/ROCK1/SPTAN1/SPTBN1/TLN1/TMSB4X/TPM1/TPM4/WAS/WDR1/WIPF1	46
GO:0051015	GO:0051015	actin filament binding	22/199	75/3928	4.94364927566477e-12	ACTR3/ADD1/ADD3/ARPC3/CAPZA1/CAPZB/CORO1C/CYFIP1/FLNA/FLNB/IQGAP2/LASP1/MARCKSL1/MYH11/MYH9/MYO9B/SPTAN1/SPTBN1/TLN1/TPM1/TPM4/WDR1	22
GO:0005516	GO:0005516	calmodulin binding	13/199	43/3928	9.35550883049243e-08	ADD1/ADD3/CNN2/IQGAP2/MARCKSL1/MBP/MYH11/MYH9/MYO9B/PPP3CB/SLC9A1/SPTAN1/SPTBN1	13
GO:0050839	GO:0050839	cell adhesion molecule binding	28/199	228/3928	7.35855565298698e-06	ADD1/ALDOA/CAPZA1/CAPZB/CLIC1/CNN2/F11R/FERMT3/FLNA/FLNB/GLOD4/ITGA2B/ITGB1/ITGB3/LASP1/MSN/MYH9/NCK1/SH3GL1/SH3GLB1/SH3GLB2/SPTAN1/SPTBN1/SRC/STK24/TES/TLN1/UNC45A	28
GO:0045296	GO:0045296	cadherin binding	24/199	188/3928	1.83021466066837e-05	ADD1/ALDOA/CAPZA1/CAPZB/CLIC1/CNN2/F11R/FLNA/FLNB/GLOD4/ITGB1/LASP1/MYH9/NCK1/SH3GL1/SH3GLB1/SH3GLB2/SPTAN1/SPTBN1/SRC/STK24/TES/TLN1/UNC45A	24
GO:0005200	GO:0005200	structural constituent of cytoskeleton	10/199	43/3928	3.92543192834486e-05	ACTB/ACTR3/ADD3/ARPC3/MSN/SPTAN1/SPTBN1/TLN1/TPM1/TUBA4A	10
GO:0071889	GO:0071889	14-3-3 protein binding	5/199	12/3928	0.000187809601653521	KIF13B/RBM7/RPTOR/TBC1D22A/YWHAQ	5
GO:0005178	GO:0005178	integrin binding	8/199	34/3928	0.000218846119732722	F11R/FERMT3/ITGA2B/ITGB1/ITGB3/MYH9/SRC/TLN1	8
GO:0019901	GO:0019901	protein kinase binding	22/199	201/3928	0.000417113515475917	ACTB/CALM1/DNM2/FLNA/ILK/ITGB1/ITGB3/KIF13B/LIMS1/MAPRE2/MSN/NCK1/OXSR1/PDCD10/PEBP1/RAB8A/RPTOR/SRC/STAT3/STK39/TUBA4A/WAS	22
GO:0044877	GO:0044877	protein-containing complex binding	39/199	455/3928	0.000513491037253965	ACTB/ACTR3/ADD1/ADD3/APOL2/ARPC3/BRK1/CAPZA1/CAPZB/CORO1C/CYFIP1/DNM2/F11R/FERMT3/FLNA/FLNB/GBP1/GNA13/IQGAP2/ITGA2B/ITGB1/ITGB3/LASP1/MARCKSL1/MYH11/MYH9/MYO9B/PAFAH1B1/RAP1B/RPTOR/SERPINH1/SPTAN1/SPTBN1/SRC/TLN1/TPM1/TPM4/TSG101/WDR1	39
GO:0019900	GO:0019900	kinase binding	23/199	223/3928	0.000723707797943323	ACTB/CALM1/DNM2/FLNA/ILK/ITGB1/ITGB3/KIF13B/LIMS1/MAPRE2/MOB1B/MSN/NCK1/OXSR1/PDCD10/PEBP1/RAB8A/RPTOR/SRC/STAT3/STK39/TUBA4A/WAS	23
GO:0008307	GO:0008307	structural constituent of muscle	4/199	10/3928	0.00105473536020405	CSRP1/MYH11/TPM1/TPM4	4
GO:0003774	GO:0003774	cytoskeletal motor activity	5/199	20/3928	0.00263575187794438	DYNLL2/KIF13B/MYH11/MYH9/MYO9B	5
