	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa04810	hsa04810	Regulation of actin cytoskeleton	22/109	229/8586	6.77397024923964e-14	60/10096/10094/55845/23191/26999/10672/10788/3674/3688/3690/4478/4629/4627/103910/5305/8396/79837/6093/6548/6714/7114	22
hsa05130	hsa05130	Pathogenic Escherichia coli infection	17/109	198/8586	3.7650064066167e-10	60/10096/10094/55845/23191/26999/9267/2597/10672/3688/4629/4627/4690/6093/6714/7277/7456	17
hsa04814	hsa04814	Motor proteins	16/109	193/8586	2.17900322488794e-09	60/10121/10120/829/832/84516/140735/84376/23303/4629/4627/103910/4650/7168/7171/7277	16
hsa04530	hsa04530	Tight junction	15/109	170/8586	3.06436213441123e-09	60/10096/10094/50848/3688/4478/4629/4627/103910/5520/4218/6093/6714/7277/7454	15
hsa05132	hsa05132	Salmonella infection	17/109	249/8586	1.26739410093797e-08	60/10121/10120/10096/10094/55845/23191/26999/9267/84516/1785/140735/2316/2317/2597/103910/7277	17
hsa04611	hsa04611	Platelet activation	11/109	124/8586	4.23395043550472e-07	60/83706/10672/3674/3688/3690/103910/5908/6093/6714/7094	11
hsa04144	hsa04144	Endocytosis	15/109	250/8586	5.31293525218724e-07	23527/10096/26286/10094/829/832/9267/1785/4218/6455/51100/56904/6714/7251/7456	15
hsa04510	hsa04510	Focal adhesion	13/109	203/8586	1.56320350541479e-06	60/2316/2317/3611/3674/3688/3690/103910/29780/5908/6093/6714/7094	13
hsa05131	hsa05131	Shigellosis	13/109	247/8586	1.35159943411749e-05	60/10096/10094/9267/23048/3611/3688/103910/6093/6199/57521/6714/7094	13
hsa05100	hsa05100	Bacterial invasion of epithelial cells	7/109	77/8586	5.07082887092032e-05	60/10096/10094/1785/3611/3688/6714	7
hsa05205	hsa05205	Proteoglycans in cancer	11/109	205/8586	5.44991587720488e-05	60/2316/2317/3688/3690/4478/6093/6199/6548/6714/6774	11
hsa05135	hsa05135	Yersinia infection	9/109	137/8586	5.69371775593204e-05	60/10096/10094/3688/6093/8935/6714/7454/7456	9
hsa04520	hsa04520	Adherens junction	7/109	93/8586	0.00016915756080649	60/103910/11235/5908/6093/6714/7454	7
hsa00030	hsa00030	Pentose phosphate pathway	4/109	30/8586	0.000522269539628477	226/51071/5634/6888	4
hsa04670	hsa04670	Leukocyte transendothelial migration	7/109	115/8586	0.000622686017663172	60/50848/3688/4478/103910/5908/6093	7
hsa05410	hsa05410	Hypertrophic cardiomyopathy	6/109	90/8586	0.000956562150389803	60/3674/3688/3690/7168/7171	6
hsa05414	hsa05414	Dilated cardiomyopathy	6/109	96/8586	0.00133958036826934	60/3674/3688/3690/7168/7171	6
hsa04015	hsa04015	Rap1 signaling pathway	9/109	210/8586	0.00135738362244816	60/801/51466/3674/3688/3690/5908/6714/7094	9
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	6/109	97/8586	0.00141339582793039	10096/10094/1785/65108/6199/7454	6
hsa04360	hsa04360	Axon guidance	8/109	182/8586	0.00214607541163449	1808/3611/3688/103910/4690/5532/6093/6714	8
hsa05163	hsa05163	Human cytomegalovirus infection	9/109	225/8586	0.00218342021992995	801/10672/3690/3716/5532/6093/6199/6714/6774	9
hsa01230	hsa01230	Biosynthesis of amino acids	5/109	75/8586	0.00256412596169652	226/2597/2752/5634/6888	5
hsa04062	hsa04062	Chemokine signaling pathway	8/109	192/8586	0.00299105640849228	5196/5473/5908/6093/6714/6774/6777/7454	8
hsa01200	hsa01200	Carbon metabolism	6/109	115/8586	0.00334972282827125	128/226/2597/4200/5634/6888	6
hsa04070	hsa04070	Phosphatidylinositol signaling system	5/109	97/8586	0.00768895970100704	801/3612/5305/8396/79837	5
hsa05418	hsa05418	Fluid shear stress and atherosclerosis	6/109	139/8586	0.00837762056826917	60/801/3674/3690/4259/6714	6
hsa00500	hsa00500	Starch and sucrose metabolism	3/109	36/8586	0.0104837571876454	2548/5834/5836	3
hsa00562	hsa00562	Inositol phosphate metabolism	4/109	73/8586	0.0136818228009756	3612/5305/8396/79837	4
hsa04217	hsa04217	Necroptosis	6/109	159/8586	0.0155461125542373	2752/3716/5834/5836/6774/6777	6
hsa05412	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	4/109	77/8586	0.0163707997233641	60/3674/3688/3690	4
hsa01521	hsa01521	EGFR tyrosine kinase inhibitor resistance	4/109	79/8586	0.0178311340495872	3716/6199/6714/6774	4
hsa00620	hsa00620	Pyruvate metabolism	3/109	47/8586	0.0215392284030681	128/2739/4200	3
hsa04012	hsa04012	ErbB signaling pathway	4/109	85/8586	0.0226895221106402	4690/6199/6714/6777	4
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	4/109	89/8586	0.0263359169314634	3716/5532/6199/6774	4
hsa04270	hsa04270	Vascular smooth muscle contraction	5/109	134/8586	0.0276284177105189	801/10672/4629/4627/6093	5
hsa04910	hsa04910	Insulin signaling pathway	5/109	137/8586	0.0300161519437041	801/5834/5836/6199/57521	5
hsa05162	hsa05162	Measles	5/109	138/8586	0.030840155907977	3716/4478/4940/6774/6777	5
hsa04213	hsa04213	Longevity regulating pathway - multiple species	3/109	61/8586	0.0421260317301781	6199/57521/6648	3
hsa04145	hsa04145	Phagosome	5/109	152/8586	0.0438852792284746	60/51606/3688/3690/7277	5
hsa04261	hsa04261	Adrenergic signaling in cardiomyocytes	5/109	154/8586	0.0459826081319449	801/5520/6548/7168/7171	5
hsa04921	hsa04921	Oxytocin signaling pathway	5/109	154/8586	0.0459826081319449	60/801/5532/6093/6714	5
hsa04922	hsa04922	Glucagon signaling pathway	4/109	107/8586	0.0469165807942532	801/5532/5834/5836	4
hsa04659	hsa04659	Th17 cell differentiation	4/109	108/8586	0.048262456373536	3716/5532/6774/6777	4
