	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
GO:0003735	GO:0003735	structural constituent of ribosome	19/147	126/3928	1.26350736254432e-07	DAP3/MRPL14/MRPL17/MRPL18/MRPL2/MRPL37/MRPL57/MRPS14/MRPS16/MRPS18B/MRPS2/MRPS22/MRPS23/MRPS34/MRPS5/MRPS6/RPL23/RPL7L1/SRBD1	19
GO:0019843	GO:0019843	rRNA binding	9/147	45/3928	3.15447864052078e-05	DDX28/ERAL1/FASTKD2/MRPL18/MRPS27/MRPS6/PTCD3/RPF2/RPL23	9
GO:0003724	GO:0003724	RNA helicase activity	9/147	46/3928	3.79810342340912e-05	DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40	9
GO:0008186	GO:0008186	ATP-dependent activity, acting on RNA	9/147	46/3928	3.79810342340912e-05	DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40	9
GO:0140098	GO:0140098	catalytic activity, acting on RNA	16/147	157/3928	0.000204501267713575	DBR1/DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40/FARS2/NOP2/PARN/TFB1M/TFB2M/TRMT10C	16
GO:0004386	GO:0004386	helicase activity	10/147	83/3928	0.000923427636079801	CHD1/DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40	10
GO:0005198	GO:0005198	structural molecule activity	19/147	246/3928	0.00177392570202364	DAP3/MRPL14/MRPL17/MRPL18/MRPL2/MRPL37/MRPL57/MRPS14/MRPS16/MRPS18B/MRPS2/MRPS22/MRPS23/MRPS34/MRPS5/MRPS6/RPL23/RPL7L1/SRBD1	19
GO:0030515	GO:0030515	snoRNA binding	5/147	26/3928	0.00238652799414016	HEATR1/NOLC1/NOP14/PRKDC/WDR3	5
GO:0140640	GO:0140640	catalytic activity, acting on a nucleic acid	18/147	238/3928	0.00296697717094995	CHD1/DBR1/DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40/FARS2/MPG/NOP2/PARN/TFB1M/TFB2M/TRMT10C	18
GO:0016887	GO:0016887	ATP hydrolysis activity	14/147	166/3928	0.00328619418276169	CHD1/CLPX/DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40/HSPA9/NTPCR/TRAP1	14
GO:0008757	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	6/147	42/3928	0.00426983383179173	COQ3/KMT2A/NOP2/TFB1M/TFB2M/TRMT10C	6
GO:0004222	GO:0004222	metalloendopeptidase activity	4/147	19/3928	0.00470433212775912	MIPEP/PITRM1/PMPCA/PMPCB	4
GO:0008173	GO:0008173	RNA methyltransferase activity	4/147	20/3928	0.00571182348363353	NOP2/TFB1M/TFB2M/TRMT10C	4
GO:0043024	GO:0043024	ribosomal small subunit binding	3/147	11/3928	0.00679185232862085	DHX29/ERAL1/PTCD3	3
GO:0008168	GO:0008168	methyltransferase activity	6/147	50/3928	0.0101236364573564	COQ3/KMT2A/NOP2/TFB1M/TFB2M/TRMT10C	6
GO:0000981	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	8/147	82/3928	0.0108690146331038	NKRF/RREB1/RUNX2/RUNX3/ZGPAT/ZNF451/ZNF579/ZNF629	8
GO:0003700	GO:0003700	DNA-binding transcription factor activity	8/147	86/3928	0.0142758743262241	NKRF/RREB1/RUNX2/RUNX3/ZGPAT/ZNF451/ZNF579/ZNF629	8
GO:0140110	GO:0140110	transcription regulator activity	17/147	258/3928	0.014916875595148	ACTL6A/BRD7/DDX17/NKRF/PQBP1/RCOR1/RREB1/RUNX2/RUNX3/TAF15/TFB1M/TFB2M/TRIP4/ZGPAT/ZNF451/ZNF579/ZNF629	17
GO:0016741	GO:0016741	transferase activity, transferring one-carbon groups	6/147	55/3928	0.0158572768674076	COQ3/KMT2A/NOP2/TFB1M/TFB2M/TRMT10C	6
GO:0043021	GO:0043021	ribonucleoprotein complex binding	8/147	95/3928	0.0246914673782439	DDX17/DHX29/ERAL1/GTPBP6/MRPS27/NOLC1/PQBP1/PTCD3	8
GO:0043565	GO:0043565	sequence-specific DNA binding	14/147	212/3928	0.0258743226884155	BRD7/CENPC/CHTOP/GTF3C5/KMT2A/MTF2/NKRF/RREB1/RUNX2/RUNX3/ZGPAT/ZNF451/ZNF579/ZNF629	14
GO:0032559	GO:0032559	adenyl ribonucleotide binding	27/147	498/3928	0.0276743929721412	ACAT1/CDK12/CHD1/CLP1/CLPX/DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40/FARS2/HSPA9/MCCC2/NME3/NME7/NMNAT1/NOLC1/NTPCR/PDK2/PRKDC/RUNX2/RUNX3/TRAP1	27
GO:0019205	GO:0019205	nucleobase-containing compound kinase activity	3/147	18/3928	0.0277352310173093	CLP1/NME3/NME7	3
GO:0140657	GO:0140657	ATP-dependent activity	15/147	238/3928	0.0310244022620829	CHD1/CLPX/DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40/DYNLL1/HSPA9/NTPCR/TRAP1	15
GO:0005524	GO:0005524	ATP binding	26/147	485/3928	0.034668953638405	CDK12/CHD1/CLP1/CLPX/DDX10/DDX17/DDX28/DDX31/DDX39A/DDX49/DDX51/DHX29/DHX40/FARS2/HSPA9/MCCC2/NME3/NME7/NMNAT1/NOLC1/NTPCR/PDK2/PRKDC/RUNX2/RUNX3/TRAP1	26
GO:0008170	GO:0008170	N-methyltransferase activity	3/147	22/3928	0.0469725029984581	KMT2A/TFB1M/TFB2M	3
GO:0003690	GO:0003690	double-stranded DNA binding	13/147	211/3928	0.0504058501830287	BRD7/CENPC/GTF3C5/MTF2/NKRF/PQBP1/PRKDC/RREB1/RUNX2/RUNX3/ZGPAT/ZNF579/ZNF629	13
GO:1990837	GO:1990837	sequence-specific double-stranded DNA binding	11/147	171/3928	0.0536726174051905	BRD7/CENPC/GTF3C5/MTF2/NKRF/RREB1/RUNX2/RUNX3/ZGPAT/ZNF579/ZNF629	11
GO:0000976	GO:0000976	transcription cis-regulatory region binding	10/147	155/3928	0.0631963620465183	BRD7/GTF3C5/MTF2/NKRF/RREB1/RUNX2/RUNX3/ZGPAT/ZNF579/ZNF629	10
GO:0140662	GO:0140662	ATP-dependent protein folding chaperone	3/147	25/3928	0.0647194766408125	CLPX/HSPA9/TRAP1	3
GO:0044183	GO:0044183	protein folding chaperone	4/147	41/3928	0.0653776924484205	CLPX/HSPA9/LYRM7/TRAP1	4
GO:0001067	GO:0001067	transcription regulatory region nucleic acid binding	10/147	156/3928	0.0654378700057	BRD7/GTF3C5/MTF2/NKRF/RREB1/RUNX2/RUNX3/ZGPAT/ZNF579/ZNF629	10
GO:0016799	GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	2/147	12/3928	0.0718120787738713	DNPH1/MPG	2
GO:0001216	GO:0001216	DNA-binding transcription activator activity	4/147	43/3928	0.0752992320069957	NKRF/RREB1/RUNX2/ZNF629	4
GO:0001228	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4/147	43/3928	0.0752992320069957	NKRF/RREB1/RUNX2/ZNF629	4
GO:0008237	GO:0008237	metallopeptidase activity	4/147	45/3928	0.085936412273083	MIPEP/PITRM1/PMPCA/PMPCB	4
GO:0003677	GO:0003677	DNA binding	24/147	483/3928	0.0860002840436237	ACTL6A/BRD7/CENPC/CHD1/CHTOP/GTF3C5/KDM5C/KMT2A/MPG/MTF2/NKRF/PQBP1/PRKDC/RREB1/RUNX2/RUNX3/SARNP/SSRP1/TAF15/TFB1M/ZGPAT/ZNF451/ZNF579/ZNF629	24
GO:0000987	GO:0000987	cis-regulatory region sequence-specific DNA binding	7/147	103/3928	0.0893571622129986	GTF3C5/NKRF/RREB1/RUNX2/RUNX3/ZGPAT/ZNF629	7
GO:0016776	GO:0016776	phosphotransferase activity, phosphate group as acceptor	2/147	14/3928	0.0943502404733135	NME3/NME7	2
GO:0000049	GO:0000049	tRNA binding	3/147	30/3928	0.0999906588941895	FARS2/MRPS27/TRMT10C	3
