	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa04144	hsa04144	Endocytosis	8/39	251/8219	1.83169838596079e-05	382/10109/998/27243/30844/3482/9798/57403	8
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	5/39	97/8219	8.6492131529674e-05	382/10109/998/3055/5788	5
hsa05132	hsa05132	Salmonella infection	7/39	249/8219	0.000144430506350877	382/10109/929/998/5585/5788/23339	7
hsa05152	hsa05152	Tuberculosis	6/39	180/8219	0.000181601824874932	820/929/1051/11151/1520/3684	6
hsa04145	hsa04145	Phagosome	5/39	152/8219	0.00070215510121984	929/11151/1520/1536/3684	5
hsa04613	hsa04613	Neutrophil extracellular trap formation	5/39	190/8219	0.00190462636967231	820/1536/1991/3683/3684	5
hsa04670	hsa04670	Leukocyte transendothelial migration	4/39	114/8219	0.00198618385058598	998/1536/3683/3684	4
hsa04015	hsa04015	Rap1 signaling pathway	5/39	210/8219	0.00294690266259832	998/2778/3683/3684/5899	5
hsa05135	hsa05135	Yersinia infection	4/39	137/8219	0.00386634215712631	382/10109/998/5585	4
hsa04810	hsa04810	Regulation of actin cytoskeleton	5/39	229/8219	0.00427280281782522	10109/998/3683/3684/7114	5
hsa05131	hsa05131	Shigellosis	5/39	247/8219	0.00588105351277798	382/10109/929/998/3098	5
hsa04530	hsa04530	Tight junction	4/39	169/8219	0.00810123214453373	10109/998/140465/51762	4
hsa04970	hsa04970	Salivary secretion	3/39	92/8219	0.0092719112883059	820/2778/4069	3
hsa05150	hsa05150	Staphylococcus aureus infection	3/39	96/8219	0.0104128925160473	820/3683/3684	3
hsa05146	hsa05146	Amoebiasis	3/39	102/8219	0.012271658322799	929/2778/3684	3
hsa05202	hsa05202	Transcriptional misregulation in cancer	4/39	193/8219	0.0127626522568127	929/1051/1991/3684	4
hsa05130	hsa05130	Pathogenic Escherichia coli infection	4/39	197/8219	0.0136768973077234	382/10109/998/4542	4
hsa04142	hsa04142	Lysosome	3/39	132/8219	0.024296918371588	967/1520/3482	3
hsa04014	hsa04014	Ras signaling pathway	4/39	236/8219	0.0248243583822509	382/998/5899/64926	4
hsa05134	hsa05134	Legionellosis	2/39	57/8219	0.0297201236557577	929/3684	2
hsa04072	hsa04072	Phospholipase D signaling pathway	3/39	148/8219	0.0326031110395399	382/2778/5899	3
hsa04514	hsa04514	Cell adhesion molecules	3/39	157/8219	0.037851997214659	3683/3684/5788	3
hsa05221	hsa05221	Acute myeloid leukemia	2/39	67/8219	0.0399742320204802	929/3684	2
hsa04918	hsa04918	Thyroid hormone synthesis	2/39	75/8219	0.0490029654074386	2778/2936	2
hsa05133	hsa05133	Pertussis	2/39	76/8219	0.0501795847409306	929/3684	2
hsa05212	hsa05212	Pancreatic cancer	2/39	76/8219	0.0501795847409306	998/5899	2
hsa05100	hsa05100	Bacterial invasion of epithelial cells	2/39	77/8219	0.0513664747488946	10109/998	2
hsa05140	hsa05140	Leishmaniasis	2/39	77/8219	0.0513664747488946	1536/3684	2
hsa04621	hsa04621	NOD-like receptor signaling pathway	3/39	186/8219	0.0575152929460629	820/1536/5585	3
hsa04912	hsa04912	GnRH signaling pathway	2/39	93/8219	0.0716595225780977	998/2778	2
hsa04640	hsa04640	Hematopoietic cell lineage	2/39	99/8219	0.0798458151427787	929/3684	2
hsa05417	hsa05417	Lipid and atherosclerosis	3/39	215/8219	0.0811457556851975	929/998/1536	3
hsa04933	hsa04933	AGE-RAGE signaling pathway in diabetic complications	2/39	100/8219	0.081237928313487	998/1536	2
hsa04660	hsa04660	T cell receptor signaling pathway	2/39	104/8219	0.0868819251303144	998/5788	2
hsa04066	hsa04066	HIF-1 signaling pathway	2/39	109/8219	0.0940995710923526	1536/3098	2
hsa01200	hsa01200	Carbon metabolism	2/39	115/8219	0.102983653543184	3098/4967	2
hsa04270	hsa04270	Vascular smooth muscle contraction	2/39	134/8219	0.132509345497745	2778/140465	2
hsa00020	hsa00020	Citrate cycle (TCA cycle)	1/39	30/8219	0.133198120327254	4967	1
hsa00052	hsa00052	Galactose metabolism	1/39	31/8219	0.137326252371123	3098	1
hsa00051	hsa00051	Fructose and mannose metabolism	1/39	33/8219	0.145525127828492	3098	1
hsa00500	hsa00500	Starch and sucrose metabolism	1/39	36/8219	0.157681262492692	3098	1
hsa01250	hsa01250	Biosynthesis of nucleotide sugars	1/39	37/8219	0.161695735273186	3098	1
