	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP5269	WP5269	Genetic causes of porto-sinusoidal vascular disease	3/42	37/8701	0.000724984280127105	998/1536/285203	3
WP3937	WP3937	Microglia pathogen phagocytosis pathway	3/42	40/8701	0.000912634507019474	1536/3055/3684	3
WP5323	WP5323	Fatty Acids and Lipoproteins Transport in Hepatocytes	7/42	382/8701	0.00212095168773006	22848/55911/998/30844/57403/79890/6653	7
WP2272	WP2272	Pathogenic Escherichia coli infection	3/42	55/8701	0.00230468312860555	10109/929/998	3
WP5122	WP5122	Prostaglandin and leukotriene metabolism in senescence 	2/42	31/8701	0.00968040549408051	241/2778	2
WP408	WP408	Oxidative stress response	2/42	33/8701	0.0109252581277413	1536/2936	2
WP5321	WP5321	Prostaglandin and leukotriene metabolism in senescence 	2/42	34/8701	0.0115728376089984	241/2778	2
WP4223	WP4223	Ras signaling	4/42	184/8701	0.0115809634467622	382/998/5899/64926	4
WP185	WP185	Integrin-mediated cell adhesion	3/42	102/8701	0.0128967837443233	998/3683/3684	3
WP524	WP524	G13 signaling pathway	2/42	39/8701	0.015055580077625	998/5585	2
WP4136	WP4136	Fibrin complement receptor 3 signaling pathway	2/42	43/8701	0.0181257655401655	929/3684	2
WP585	WP585	Interferon type I signaling pathways	2/42	54/8701	0.0277835985221099	1973/5788	2
WP51	WP51	Regulation of actin cytoskeleton	3/42	151/8701	0.0359293077499093	929/998/7114	3
WP4754	WP4754	IL-18 signaling pathway	4/42	273/8701	0.0417428007944395	382/1051/5585/7114	4
WP437	WP437	EGF/EGFR signaling pathway	3/42	163/8701	0.0435091924005486	382/998/5899	3
WP5356	WP5356	Disturbed pathways in Duchenne Muscular Dystrophy	2/42	74/8701	0.0493758821521263	1536/1991	2
WP5413	WP5413	IL-24 Signaling pathway	4/42	291/8701	0.0507337625286653	929/1973/3684/5788	4
WP5049	WP5049	Glycolysis in senescence	1/42	11/8701	0.0518633061104955	3098	1
WP5394	WP5394	UDP-derived sugars synthesis in fibroblasts	1/42	11/8701	0.0518633061104955	3098	1
WP3888	WP3888	VEGFA-VEGFR2 signaling	5/42	432/8701	0.055446873715314	382/998/1536/7114/23339	5
WP2290	WP2290	RalA downstream regulated genes	1/42	12/8701	0.0564457849532295	998	1
WP4629	WP4629	Aerobic glycolysis	1/42	12/8701	0.0564457849532295	3098	1
WP2877	WP2877	Vitamin D receptor pathway	3/42	187/8701	0.0608705043187761	820/929/3684	3
WP4211	WP4211	Transcriptional cascade regulating adipogenesis	1/42	13/8701	0.0610066408666792	1051	1
WP5171	WP5171	Leukotriene metabolic pathway	1/42	13/8701	0.0610066408666792	241	1
WP5314	WP5314	Lactate shuttle in glial cells	1/42	13/8701	0.0610066408666792	3098	1
WP15	WP15	Selenium micronutrient network	2/42	86/8701	0.0644563270223734	241/2936	2
WP5178	WP5178	Disorders of fructose metabolism	1/42	14/8701	0.065545973403926	3098	1
WP4263	WP4263	Pancreatic adenocarcinoma pathway	2/42	89/8701	0.0684427873278258	998/5899	2
WP3	WP3	Transcriptional activation by NRF2 in response to phytochemicals	1/42	15/8701	0.070063881671111	1051	1
WP3925	WP3925	Amino acid metabolism	2/42	91/8701	0.0711452107697012	2936/4967	2
WP2453	WP2453	TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	1/42	16/8701	0.0745604643293899	4967	1
WP1946	WP1946	Cori cycle	1/42	17/8701	0.0790358195968819	3098	1
WP4493	WP4493	Cells and molecules involved in local acute inflammatory response 	1/42	17/8701	0.0790358195968819	3683	1
WP5372	WP5372	Involvement of δ-secretase in neurodegenerative diseases	1/42	17/8701	0.0790358195968819	1051	1
WP692	WP692	Sulfation biotransformation reaction	1/42	17/8701	0.0790358195968819	2936	1
WP23	WP23	B cell receptor signaling pathway	2/42	97/8701	0.0794576361351262	998/5788	2
WP4540	WP4540	Hippo signaling regulation pathways	2/42	98/8701	0.080871814777244	998/2778	2
WP1992	WP1992	Genes targeted by miRNAs in adipocytes	1/42	18/8701	0.0834900452506047	7114	1
WP4936	WP4936	Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins	1/42	18/8701	0.0834900452506047	23339	1
