name	IDH2_vs_IDH1_diff	IDH2_vs_IDH1_p.val
A0A096LPI6	-0.458621074538737	0.127482230435412
A0A0A6YYC8	0.150817145932791	0.720739326251836
A1BG	-0.782920628418445	0.345755510605795
A2M	-0.186179279778482	0.83054728646523
AAAS	-0.197064327987292	0.512216658932051
AAK1	0.550109242663382	0.124120707307856
AAMDC	-0.339858848146289	0.327716718005543
AARS	0.213197351156751	0.484103168566487
AARS2	-0.482716829712142	0.139916426084127
AASDHPPT	-0.170525548654858	0.627557563861101
AATF	-1.14580763955644	0.00629933844957253
ABCB10	-0.271406059945473	0.615744562924638
ABCB7	-0.152858262690941	0.613707432238502
ABCC1	-0.365124989671607	0.181885633045726
ABCC4	-0.248272312196377	0.599908804625428
ABCD1	0.159016767146742	0.775145845807192
ABCD3	-0.123873746447142	0.698012331902703
ABCE1	0.00899855269343419	0.972241075219539
ABCF1	-0.161563123893906	0.425336450034538
ABCF2	-0.139085935156857	0.66167184043233
ABCF3	-0.101684152096524	0.690708153247629
ABHD10	0.120661431364148	0.724922604278421
ABHD11	-0.0051895801613675	0.990451140828883
ABHD12	0.0910920225058476	0.72059732892882
ABHD14B	0.0203942977717766	0.951091015910074
ABHD16A	0.280867391423161	0.393311843573712
ABHD17B	-0.253330833133326	0.578809961117251
ABI1	0.0651977075148089	0.826805676196139
ABR	0.10158144594957	0.79743537021977
ABT1	-0.507793513513562	0.109274726470428
ACAA1	0.905233773855016	0.0186751974379103
ACAA2	0.421029937754284	0.187911880132329
ACACA	-0.511575967623269	0.122919422586211
ACAD8	-0.0653655066880034	0.84394764909687
ACAD9	-0.31055762599113	0.247858060572749
ACADM	-0.530024431722286	0.042910791692298
ACADS	-0.707116965485497	0.0573083381852439
ACADSB	-0.454455636106989	0.148010739211277
ACADVL	-0.231789052999741	0.36137146584094
ACAP1	-0.0718572908731829	0.800195920613206
ACAP2	0.426808618390691	0.130874872551456
ACAT1	-0.786462959992068	0.0088053873396789
ACAT2	0.0132960664211943	0.959552569716898
ACBD3	0.0807345026087276	0.668429727631341
ACIN1	-0.286475009647553	0.200920496021581
ACLY	0.110756471161395	0.591452404833184
ACO1	0.31903302998284	0.343609935639198
ACO2	-0.338717659194003	0.189374526896301
ACOT1	-0.431377582060353	0.255291602105117
ACOT13	-0.375702949935995	0.228140661940659
ACOT7	0.273385300142063	0.49956435350155
ACOT8	0.284215388539781	0.381318112213788
ACOT9	-0.0894060444262124	0.800340828169163
ACOX1	0.155551636932774	0.599622626871805
ACOX3	0.266566500949775	0.384609410446806
ACP1	0.0852812247298509	0.718059268664251
ACP2	0.566228434399871	0.21631173052171
ACPP	0.636090132815553	0.289580271801101
ACSF2	-0.809957935730584	0.138992495608645
ACSF3	-0.357138041000898	0.214988277890193
ACSL1	0.58427320024791	0.259905865188664
ACSL3	0.0543216761500105	0.854840592187856
ACSL4	-0.230822619071741	0.455111668792056
ACSL5	0.16714300458867	0.594949771571098
ACSS1	-0.603090323191037	0.0903837584864467
ACSS2	-0.522735053018916	0.286463126367553
ACTB	0.357547233969356	0.234242243711566
ACTBL2	-0.170615520027251	0.925014317917108
ACTC1	0.375517975821829	0.244183672922952
ACTL6A	-0.678242626487979	0.00667003842915131
ACTN1	0.35028712880019	0.463747271332551
ACTN4	0.196527954581025	0.391665942967856
ACTR10	-1.17063817381247	0.0193421491108959
ACTR1A	0.205022766256008	0.414889390485728
ACTR1B	0.0129228549540628	0.953230956019293
ACTR2	0.850743439784761	0.0685677684236529
ACTR3	0.50120831577463	0.100496240811271
ACTR8	-0.704397295745721	0.040835171814017
ACY1	-0.283847758928463	0.493980654626469
ACYP1	-0.301898192507007	0.27259383360883
ACYP2	-0.343107510899721	0.366201546323103
ADA	-0.31730608966901	0.565014745157769
ADAM10	0.363622096462656	0.19997730022271
ADAR	-0.017370048292296	0.936924087100167
ADCK3	-0.581679011290156	0.11020130452857
ADD1	0.464860215342377	0.106697919228488
ADD3	0.414977402684237	0.143034959786731
ADH5	-0.0199109949330669	0.945356608203213
ADK	-0.310873473155436	0.256507966197315
ADNP	-0.33946287988238	0.321033538763438
ADPGK	0.0671875103000694	0.874038856743513
ADPRH	-0.673116171911573	0.18468711329905
ADPRHL2	-0.130510315384637	0.516353392921732
ADRBK1	-0.016390046160943	0.960105693728089
