name	mIDH_vs_wtIDH_diff	mIDH_vs_wtIDH_p.val
HDGFRP3	2.14183877980534	0.000132070552772322
MACROD1	1.99210524481312	0.00042242883378936
EMSY	1.85891845564062	0.0697244081131159
CHCHD2P9	1.67490524590956	0.00318045601200175
GLUL	1.60116881562008	1.26944112075564e-05
GP9	1.4559622364428	0.0498875320253176
INTS12	1.43015099362841	0.00159794926429039
SDSL	1.42074929461021	0.000338516738096318
CD59	1.41121520552083	0.0100709661748576
ICAM2	1.37392614898693	0.00647566925305627
SLC25A4	1.37161532979067	0.000672630651306034
PTMS	1.33942063646473	0.000696542431746697
BDH2	1.27306694551612	0.00138633586135862
SDPR	1.24225185237096	0.0542324255495287
P4HA1	1.2294388542974	3.47901302440687e-06
PHYKPL	1.2113441327652	0.0307771099102733
ENO2	1.18273041109613	0.00209617776796757
PHGDH	1.1774306268163	0.00431617798180502
SNCA	1.17382442571011	0.0128570936989751
CA2	1.15486220270009	0.0218823427236452
ATHL1	1.15057174845454	8.76852332023918e-05
AK4	1.14546000736113	0.0149883991442811
ABLIM1	1.02285067278293	0.00493359635135737
MAP7	1.01971721142009	0.00171887179088274
NPR3	0.992327140772087	0.0176458422584379
STK24	0.978070179252022	0.0047298823182785
SH3BGRL3	0.966001670416645	0.000637102573625822
BCAT1	0.965774968835053	0.0240836095664935
CMPK2	0.954664412308158	0.0110029520753413
RIPK4	0.953018705175683	0.0206931894822596
DPYSL3	0.934033735980737	0.0890352383193454
BCL11A	0.92895344426319	0.0192091618833329
MBP	0.925513597105699	0.00636174545366283
PGPEP1	0.920789492690485	0.0204492543008252
ADAP1	0.917807703377996	0.0232015609932225
ACSS2	0.917041082840939	0.0132713054952709
IL4I1	0.915892348909001	0.0232759114147977
ANKRD28	0.910684863162352	0.0975256845131897
GBP2	0.910073218529348	0.00385932771160057
APOBEC3F	0.905199630606177	0.0115840595758037
SPR	0.903622872887503	0.0227283462500577
EPM2AIP1	0.900885195949279	0.00543870960342105
ALDH5A1	0.887111455837523	0.00412117938724838
TNS3	0.875800066925468	0.00600404281246495
LBH	0.874552331820528	0.0301881474632157
