ID	Description	setSize	enrichmentScore	NES	pvalue	core_enrichment_SYMBOL	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa00071	Fatty acid degradation	3	0.987692307692308	1.87579332219511	1.1386122328169e-05	ACAA1,ACAT1	1.1386122328169e-05	0.00198957505944848	7	tags=100%, list=2%, signal=99%	30/38/217
hsa05131	Shigellosis	9	0.78776429719632	2.26315030841083	3.02825221108913e-05	CD14,ARF6,CAST,CDC42,CRK	3.02825221108913e-05	0.00264573614231998	61	tags=89%, list=19%, signal=74%	10097/382/824/837/831/929/998/1398
hsa01100	Metabolic pathways	34	0.513315894267515	2.20173701409393	0.00022060947865401	ALOX5,ACAA1,ATP6V0D1,AMPD2,AGPAT5,ACAT1,ALG9	0.00022060947865401	0.0128495345461634	29	tags=29%, list=9%, signal=30%	30/38/55326/217/79796/240/271/9114/645/683
hsa00280	Valine, leucine and isoleucine degradation	5	0.842542403102007	1.93821777312509	0.000398167436127986	ACAA1,ACAT1	0.000398167436127986	0.0173936301045383	7	tags=60%, list=2%, signal=60%	30/38/217
hsa05132	Salmonella infection	9	0.718483249550519	2.06411434688699	0.000639298390437297	CD14,ARF6,CDC42,ACTR10	0.000639298390437297	0.0176213977197117	42	tags=67%, list=13%, signal=60%	55860/10097/382/837/929/998
hsa00380	Tryptophan metabolism	2	0.984662576687117	1.63682944242326	0.000806762787167526	ACAT1	0.000806762787167526	0.0176213977197117	7	tags=100%, list=2%, signal=98%	38/217
hsa00561	Glycerolipid metabolism	2	0.984662576687117	1.63682944242326	0.000806762787167526	AGPAT5	0.000806762787167526	0.0176213977197117	7	tags=100%, list=2%, signal=98%	55326/217
hsa00620	Pyruvate metabolism	2	0.984662576687117	1.63682944242326	0.000806762787167526	ACAT1	0.000806762787167526	0.0176213977197117	7	tags=100%, list=2%, signal=98%	38/217
hsa00310	Lysine degradation	3	0.88934686856847	1.68901884137744	0.00269698377068221	ACAT1	0.00269698377068221	0.0514706570543634	7	tags=67%, list=2%, signal=66%	38/217
hsa04144	Endocytosis	5	0.783171119540334	1.8016377308758	0.00304506703251587	ARF6,CHMP1B,CDC42	0.00304506703251587	0.0514706570543634	49	tags=80%, list=15%, signal=69%	10097/382/998/57132
hsa03010	Ribosome	13	-0.520634920634921	-2.00346463741214	0.00324017088083191	MRPL16,MRPL17,RPL23,MRPS7,MRPS16,RPL19,MRPS10,MRPS2,MRPS14,MRPS5	0.00324017088083191	0.0514706570543634	165	tags=100%, list=50%, signal=52%	54948/63875/51264/55173/63931/51021/51116/64969/51081/64965/6143/9349
hsa01212	Fatty acid metabolism	4	0.835518510572622	1.78747115164974	0.004031281517046	ACAA1,ACAT1	0.004031281517046	0.058701116827161	3	tags=50%, list=1%, signal=50%	30/38
hsa05130	Pathogenic Escherichia coli infection	5	0.760888502206803	1.75037791915762	0.00517864654972736	ARF6,CDC42	0.00517864654972736	0.0696077188060519	42	tags=80%, list=13%, signal=71%	10097/382/837/998
hsa04141	Protein processing in endoplasmic reticulum	7	0.637310139712441	1.65186132012106	0.0179578705527248	BAG2,DNAJC5,DNAJB12	0.0179578705527248	0.210720407483522	92	tags=86%, list=28%, signal=63%	9532/824/10970/54788/80331/27248
hsa05100	Bacterial invasion of epithelial cells	3	0.821538461538462	1.56023930537724	0.0180889506424108	CDC42,CRK	0.0180889506424108	0.210720407483522	61	tags=100%, list=19%, signal=82%	10097/998/1398
hsa05152	Tuberculosis	8	0.614087804435342	1.66952466442297	0.0203038486182685	CAMP,CD14,ATP6V0D1	0.0203038486182685	0.221739399383722	58	tags=62%, list=18%, signal=53%	9114/820/929/972/11151
hsa05135	Yersinia infection	6	0.669634165538408	1.63965316329765	0.0218598483777105	ARF6,CDC42,CRK	0.0218598483777105	0.224689463201235	61	tags=67%, list=19%, signal=55%	10097/382/998/1398
hsa04936	Alcoholic liver disease	2	0.892638036809816	1.48385472817809	0.0235996327376775	CD14	0.0235996327376775	0.229095849968097	37	tags=100%, list=11%, signal=89%	217/929
hsa04664	Fc epsilon RI signaling pathway	4	0.760702624466642	1.62741337147213	0.0268763121836942	ALOX5,ALOX5AP	0.0268763121836942	0.247172732548102	10	tags=50%, list=3%, signal=49%	240/241
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	2	0.877300613496933	1.45835894247056	0.030184489210638	ATP6V0D1,CDC42	0.030184489210638	0.263717116261363	42	tags=100%, list=13%, signal=88%	9114/998
hsa00650	Butanoate metabolism	2	0.835774482399664	1.38932900712091	0.0573613766730402	ACAT1	0.0573613766730402	0.455597537211706	3	tags=50%, list=1%, signal=50%	38
hsa01040	Biosynthesis of unsaturated fatty acids	2	0.834826658860581	1.38775341614008	0.0573613766730402	ACAA1	0.0573613766730402	0.455597537211706	2	tags=50%, list=1%, signal=50%	30
hsa00630	Glyoxylate and dicarboxylate metabolism	2	0.822898755207261	1.36792536097845	0.0650095602294455	ACAT1	0.0650095602294455	0.493894141788922	3	tags=50%, list=1%, signal=50%	38
hsa04217	Necroptosis	4	0.675925925925926	1.44604587206176	0.0778761061946903	CYBB,CHMP1B	0.0778761061946903	0.544942016057092	109	tags=100%, list=33%, signal=68%	824/57132/1536/2752
hsa04072	Phospholipase D signaling pathway	5	0.640854692692377	1.47424740973731	0.0779661016949153	ARF6,AGPAT5	0.0779661016949153	0.544942016057092	19	tags=40%, list=6%, signal=38%	55326/382
hsa04510	Focal adhesion	6	0.598902918779015	1.46646201137998	0.0912162162162162	CDC42,CRK	0.0912162162162162	0.597050713343724	61	tags=67%, list=19%, signal=55%	824/998/1280/1398
hsa04666	Fc gamma R-mediated phagocytosis	9	0.500375548602292	1.43751764477123	0.0939393939393939	ARF6,CDC42,CRK	0.0939393939393939	0.597050713343724	61	tags=44%, list=19%, signal=37%	10097/382/998/1398
hsa05012	Parkinson disease	4	-0.614027445119114	-1.45646715478335	0.0956719817767654	TRAP1	0.0956719817767654	0.597050713343724	68	tags=100%, list=21%, signal=80%	6263/10131/7277
