ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006954	inflammatory response	63/345	413/6032	1.36407321762912e-13	1.36407321762912e-13	4.17406404594511e-10	AZU1/PRKCD/FOS/MAPK7/MGST2/TLR2/KLF4/NOD2/PTAFR/PYCARD/TLR4/C3AR1/F3/CLU/HDAC4/CCL24/FCGR1A/LGALS1/PPARG/JUN/ADGRE5/P2RX7/TNIP2/GPS2/CEBPB/CXCR4/TYROBP/LTB4R/IFNGR2/IL17RA/ITGAM/ANXA1/NLRP3/CARD9/NFKBIA/BCL6/IL4R/GPSM3/TEK/RAC1/PSTPIP1/NLRP1/IKBKG/IRF5/IFNGR1/ELF3/ELANE/PER1/CCL26/C5AR1/TNFAIP3/IL21/PLCG2/PTPN2/ADCY7/TLR8/PSEN1/CASP1/TYRO3/ZFP36/NLRP12/IRF3/NDFIP1	63
BP	GO:0001816	cytokine production	58/345	416/6032	6.82882557762417e-11	6.82882557762417e-11	9.01311203846828e-08	AZU1/HOMER3/TLR2/KLF4/NOD2/PTAFR/PYCARD/TLR4/CD4/C3AR1/F3/CLU/PTPN6/P2RX7/CEBPB/RIPK3/IRAK1/EREG/TYROBP/TSPO/LILRB2/KLF2/IL17RA/ABCC8/ANXA1/NLRP3/AKIRIN2/CARD9/BCL6/CD33/PTPN22/IL4R/GPSM3/ANXA4/RAC1/NLRP1/TYK2/IRF5/IFNGR1/ELANE/PER1/ZBTB7B/C5AR1/TNFAIP3/IL21/PLCG2/BST2/ADCY7/TLR8/IQGAP1/PSEN1/CASP1/ZFP36/NFATC2IP/NLRP12/TNFRSF8/IRF3/NDFIP1	58
BP	GO:0001817	regulation of cytokine production	57/345	410/6032	1.15247723360838e-10	1.15247723360838e-10	9.01311203846828e-08	AZU1/HOMER3/TLR2/KLF4/NOD2/PTAFR/PYCARD/TLR4/CD4/C3AR1/F3/CLU/PTPN6/P2RX7/CEBPB/RIPK3/IRAK1/EREG/TYROBP/TSPO/LILRB2/KLF2/IL17RA/ABCC8/ANXA1/NLRP3/AKIRIN2/CARD9/BCL6/CD33/PTPN22/IL4R/GPSM3/ANXA4/RAC1/NLRP1/TYK2/IRF5/IFNGR1/ELANE/PER1/ZBTB7B/C5AR1/TNFAIP3/IL21/PLCG2/BST2/ADCY7/TLR8/IQGAP1/PSEN1/CASP1/ZFP36/NLRP12/TNFRSF8/IRF3/NDFIP1	57
BP	GO:0050776	regulation of immune response	59/345	433/6032	1.17818458019193e-10	1.17818458019193e-10	9.01311203846828e-08	GFI1/SPG21/TNFSF13B/PRKCD/MAP3K1/TNFSF13/TLR2/NOD2/PTAFR/PYCARD/TLR4/CD4/C3AR1/CLU/FCGR1A/PPARG/SPI1/PTPN6/P2RX7/TNIP2/GPS2/RIPK3/IRAK1/SH2B2/EREG/TYROBP/LILRB2/ITGAM/ANXA1/NLRP3/AKIRIN2/CARD9/NFKBIA/BCL6/CD33/PTPN22/PRAM1/IL4R/CRK/NLRP1/IKBKG/TYK2/ELANE/ZBTB7B/C5AR1/TNFAIP3/IL21/PLCG2/PTPN2/ADCY7/TLR8/BAX/HLX/PSEN1/CASP1/TYRO3/CTSH/IRF3/NDFIP1	59
BP	GO:0098542	defense response to other organism	56/345	411/6032	3.81038101220781e-10	3.81038101220781e-10	2.33195317947118e-07	AZU1/PRKCD/TLR2/NOD2/PYCARD/TLR4/CD4/CLU/CCL24/BATF2/FCGR1A/PPARG/SPI1/PTPN6/P2RX7/CEBPB/RIPK3/IRAK1/EREG/TYROBP/IFNGR2/IL17RA/ITGAM/ANXA1/NLRP3/AKIRIN2/CARD9/IRF2/PTPN22/IL4R/CRK/TFEB/RAB27A/PSTPIP1/NLRP1/SMPD1/TANK/IKBKG/TYK2/IRF5/IFNGR1/ELANE/CCL26/C5AR1/TNFAIP3/IL21/PLCG2/BST2/PTPN2/ELF4/TLR8/ITGAX/CASP1/TYRO3/RAB43/IRF3	56
BP	GO:0030099	myeloid cell differentiation	40/345	249/6032	1.3835148805721e-09	1.3835148805721e-09	7.05592589091772e-07	HOXA7/HOXB7/ZBTB16/FOS/HOXA5/TLR2/TLR4/CD4/MITF/JAG1/BATF2/PPARG/HOXB8/JUN/SPI1/ACVR1B/PTPN6/PDE1B/RASSF2/CEBPB/TYROBP/KLF2/TRIB1/LTBR/NFKBIA/BCL6/ZNF385A/RASGRP4/NKX2-3/CDKN2B/PRDX3/THRA/PTPN2/HOXA9/WASF2/MEIS1/PSEN1/ZFP36/NDFIP1/H4C4	40
BP	GO:0050727	regulation of inflammatory response	33/345	191/6032	6.60115433495002e-09	6.60115433495002e-09	2.88564746642101e-06	PRKCD/MAPK7/MGST2/TLR2/KLF4/NOD2/PYCARD/TLR4/CCL24/FCGR1A/LGALS1/PPARG/GPS2/CEBPB/IL17RA/ANXA1/NLRP3/NFKBIA/BCL6/GPSM3/TEK/NLRP1/ELANE/TNFAIP3/IL21/PLCG2/PTPN2/CASP1/TYRO3/ZFP36/NLRP12/IRF3/NDFIP1	33
BP	GO:0032101	regulation of response to external stimulus	58/345	481/6032	1.99130559360297e-08	1.99130559360297e-08	7.61674389553136e-06	ARTN/AZU1/PRKCD/MAPK7/MGST2/TLR2/USF1/KLF4/NOD2/PYCARD/TLR4/C3AR1/F3/CCL24/FCGR1A/LGALS1/PPARG/SPI1/PTPN6/GPS2/CEBPB/CXCR4/EREG/TYROBP/IL17RA/ABCC8/ANXA1/TRIB1/NLRP3/AKIRIN2/CARD9/NFKBIA/BCL6/PTPN22/CRK/GPSM3/TEK/RAC1/NLRP1/RXRA/IGF1R/ELANE/CCL26/VDR/C5AR1/TNFAIP3/IL21/PLCG2/PTPN2/DUSP1/TLR8/BAX/CASP1/TYRO3/ZFP36/NLRP12/IRF3/NDFIP1	58
BP	GO:0001819	positive regulation of cytokine production	40/345	287/6032	8.7921454151703e-08	8.7921454151703e-08	2.9893294411579e-05	AZU1/TLR2/NOD2/PTAFR/PYCARD/TLR4/CD4/C3AR1/F3/CLU/P2RX7/CEBPB/IRAK1/EREG/TYROBP/LILRB2/IL17RA/ABCC8/ANXA1/NLRP3/AKIRIN2/CARD9/PTPN22/IL4R/GPSM3/NLRP1/TYK2/IRF5/IFNGR1/ELANE/ZBTB7B/C5AR1/IL21/PLCG2/TLR8/PSEN1/CASP1/NLRP12/TNFRSF8/IRF3	40
BP	GO:0045087	innate immune response	44/345	335/6032	1.1140653382036e-07	1.1140653382036e-07	3.38323277882824e-05	TLR2/NOD2/PYCARD/TLR4/CLU/CCL24/FCGR1A/PPARG/SPI1/PTPN6/IRAK1/EREG/TYROBP/IFNGR2/IL17RA/ITGAM/ANXA1/NLRP3/AKIRIN2/CARD9/PTPN22/CRK/TFEB/RAB27A/PSTPIP1/NLRP1/SMPD1/TANK/IKBKG/TYK2/IRF5/IFNGR1/CCL26/TNFAIP3/IL21/PLCG2/BST2/PTPN2/ELF4/TLR8/CASP1/TYRO3/RAB43/IRF3	44
