ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0046649	lymphocyte activation	62/329	463/5740	7.42241932303685e-11	7.42241932303685e-11	2.31813875067898e-07	LEF1/LAT2/BCL10/CD24/GATA3/FOXP3/KLF6/CD44/IRF4/IRF1/CD3G/IGF2/B2M/GLI3/CARD11/LCP1/CD274/MAFB/EBI3/ITK/NCR1/CD48/ITGAL/JAK2/BLK/IL2RB/PAG1/EOMES/IL6ST/FCGR2B/IL15RA/RASGRP1/PIK3CG/IL2RA/NOD2/SP3/KLRD1/BCL11B/PRKCB/CCL2/IL5/CLEC4A/CXCR5/CD27/PDCD1LG2/IFNG/YY1/CCR7/NFKBIZ/CD40/FLT3/MYH9/IL2RG/LCK/IL6/CD79B/CAMK4/CD70/PLCL2/IRF8/KLRC1/CD86	62
BP	GO:0002250	adaptive immune response	41/329	242/5740	1.56365614657032e-10	1.56365614657032e-10	2.44177251940744e-07	LEF1/LAT2/BCL10/GATA3/FOXP3/BTLA/BACH2/IRF4/IRF1/CD3G/B2M/CD274/CX3CR1/EBI3/ITK/CD48/JAK2/LTA/PAG1/EOMES/IL6ST/FCGR2B/PIK3CG/NOD2/KLRD1/SIPA1/PRKCB/CLEC4A/CD27/PDCD1LG2/IFNG/NFKBIZ/CD40/NFKB2/IL6/CD79B/CAMK4/CD70/OTUD7B/KLRC1/CD86	41
BP	GO:0002764	immune response-regulating signaling pathway	38/329	244/5740	9.09160051929681e-09	9.09160051929681e-09	9.46483464587847e-06	LAT2/BCL10/CD24/GATA3/FOXP3/BTLA/IRF4/IRAK2/MAP2K7/IRF1/CD3G/CARD11/LILRA2/ITK/PAK3/TLR6/BLK/PRKCH/FCGR2B/LY96/NOD2/IRAK4/KLRD1/PRKCB/PLCG1/TLR5/CMKLR1/TLR3/BIRC3/MS4A2/CCR7/NFKBIZ/CD40/LCP2/LCK/CD79B/PLCL2/KLRC1	38
BP	GO:0042110	T cell activation	46/329	341/5740	2.4100044573034e-08	2.4100044573034e-08	1.88170611179452e-05	LEF1/BCL10/CD24/GATA3/FOXP3/CD44/IRF4/IRF1/CD3G/IGF2/B2M/GLI3/CARD11/LCP1/CD274/MAFB/EBI3/ITK/CD48/ITGAL/JAK2/PAG1/EOMES/IL6ST/FCGR2B/RASGRP1/PIK3CG/IL2RA/NOD2/SP3/BCL11B/CCL2/CLEC4A/CD27/PDCD1LG2/IFNG/CCR7/NFKBIZ/MYH9/IL2RG/LCK/IL6/CAMK4/CD70/KLRC1/CD86	46
BP	GO:0050776	regulation of immune response	52/329	423/5740	6.40622172880822e-08	6.40622172880822e-08	3.64579444653285e-05	STAT2/LAT2/BCL10/CD24/GATA3/FOXP3/BTLA/IRF4/IRAK2/MAP2K7/IRF1/CD3G/B2M/CARD11/CD274/LILRA2/ITK/PAK3/NCR1/CD48/JAK2/TLR6/LTA/BLK/PRKCH/IL6ST/FCGR2B/LY96/RASGRP1/NOD2/IRAK4/KLRD1/PARP14/PRKCB/PLCG1/TLR5/CMKLR1/TLR3/BIRC3/IFNG/MS4A2/CCR7/NFKBIZ/CD40/LCP2/LCK/IL6/CD79B/PTAFR/PLCL2/KLRC1/CD86	52
BP	GO:0007159	leukocyte cell-cell adhesion	36/329	241/5740	7.00405404288415e-08	7.00405404288415e-08	3.64579444653285e-05	LEF1/BCL10/ETS1/CD24/GATA3/FOXP3/CD44/IRF1/IGF2/B2M/GLI3/CARD11/CD274/CX3CR1/EBI3/ITGAL/JAK2/ITGB7/PAG1/IL6ST/FCGR2B/RASGRP1/IL2RA/NOD2/CCL2/CD27/PDCD1LG2/IFNG/CCR7/NFKBIZ/IL2RG/LCK/IL6/PTAFR/CD70/CD86	36
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	30/329	182/5740	1.0195600862595e-07	1.0195600862595e-07	4.54892447508563e-05	LEF1/BCL10/ETS1/CD24/GATA3/FOXP3/CD44/IGF2/B2M/GLI3/CARD11/CD274/EBI3/JAK2/IL6ST/RASGRP1/IL2RA/NOD2/CCL2/CD27/PDCD1LG2/IFNG/CCR7/NFKBIZ/IL2RG/LCK/IL6/PTAFR/CD70/CD86	30
BP	GO:0071345	cellular response to cytokine stimulus	53/329	453/5740	2.45663071367002e-07	2.45663071367002e-07	8.63962156131728e-05	RAB20/TRIM25/LEF1/CCR8/IFNAR1/STAT2/TLE4/CD24/GATA3/CCR3/CD44/CHUK/MAP3K5/IRAK2/MAP2K7/IRF1/GPR35/CX3CR1/EBI3/LILRA2/PDGFB/STAT5A/JAK2/MAPK3/IL2RB/IL10RB/ASAH2/HCLS1/IL6ST/MX1/IL15RA/IL2RA/IRAK4/PDE2A/PARP14/SIGIRR/CCL2/IL5/CXCR5/FASLG/CMKLR1/IFITM1/TLR3/BIRC3/IFNG/YY1/CCR7/CD40/FLT3/IL2RG/IL6/CD70/IRF8	53
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	28/329	169/5740	2.48967860968193e-07	2.48967860968193e-07	8.63962156131728e-05	LAT2/BCL10/CD24/GATA3/FOXP3/BTLA/MAP2K7/CD3G/CARD11/LILRA2/ITK/PAK3/BLK/PRKCH/FCGR2B/KLRD1/PRKCB/PLCG1/CMKLR1/MS4A2/CCR7/NFKBIZ/CD40/LCP2/LCK/CD79B/PLCL2/KLRC1	28
BP	GO:0002237	response to molecule of bacterial origin	31/329	201/5740	2.92625138851709e-07	2.92625138851709e-07	9.1391451260318e-05	NOS3/IFNAR1/BCL10/CD24/FOXP3/IRAK2/MAP2K7/B2M/CD274/CX3CR1/LILRA2/JAK2/TLR6/LTA/MAPK3/PTGIR/PRKCA/PTGER1/FCGR2B/CPS1/LY96/NOD2/SIGIRR/CCL2/FASLG/PDCD1LG2/CCR7/IL6/PTAFR/IRF8/CD86	31
