"id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"eigenvalue"	"Page_Rank"	"degree"	"closeness"	"betweenness"	"size"	"nes"	"pval"	"pval.fdr"	"TF"
"A4GALT"	-3.15431307498188	-0.773389773361049	-2.74791875432876	0.00895689651368532	0.117922889145516	-2.65258306394844	-4.03473038849386	-8.84767126356658	2	0	4475.0742069092	0	0	1	1	"Gene"
"AAK1"	-0.00199304316251592	6.44968152352371	-0.00886713624922272	0.992969281759937	0.996400762651577	-5.93190024664311	-11.4881766289729	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"AASDHPPT"	0.429824113379718	4.5582624424955	2.84896956435803	0.00690107658657838	0.10772822141849	-2.42997752373959	-39.6219611580128	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ABCB1"	-0.581810649848919	-4.08942899377495	-0.823784508741222	0.414953867082985	0.643594232257557	-5.61103880226848	-12.9547855267411	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ABCC3"	-1.91877195231165	1.54789944731777	-2.47852764339416	0.0175157840094821	0.154217044384861	-3.2194276945983	-40.1834530698806	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ABHD12"	0.109360407377984	5.2892994109665	0.71039238234236	0.481588215466492	0.697856838297413	-5.69275121025783	-15.9284931997915	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ABHD5"	-0.788803664630654	5.05053783763346	-3.11791506291794	0.00337137286349693	0.0847470590392758	-1.81346469014707	-39.6332648859576	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ABHD8"	0.182388027610369	2.09963822733101	0.69553504546832	0.490747141084905	0.704508465513434	-5.70258794481949	-13.8478536221193	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ABLIM3"	-2.13180089934595	-0.0899112719219932	-2.68564535174868	0.0104927545801711	0.125930474059118	-2.78713689088458	-39.9890027109918	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ABO"	0.395355417646365	1.97060968085669	0.359375570302577	0.721207123792603	0.858869417682633	-5.87041926737817	-7.92127539159783	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ACAD10"	0.479517391392688	5.00237405355027	3.44022430046398	0.00137452224308569	0.0627933190427029	-1.03359951245265	-40.1169667793787	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ACBD6"	0.417411189934823	5.15572625405417	2.57252314618465	0.0139192072814815	0.142062811840485	-3.02621742029888	-39.4041354986589	-8.84767126356658	1	0	0	0	0	1	1	"Gene"
"ACHE"	-3.70953364698442	-0.164958450306941	-3.59220004832655	0.000888762659418409	0.0558737423191045	-0.652351656113761	-3.05127786027223	-8.84767126356658	5	0	12592.2566556285	0	0	1	1	"Gene"
