nodeLabel	flow_class_1	flow_class_2	distance
ALDH7A1	0.198882298532513	0.34471330954219	0.0899
SLC2A3	0.267710038418813	0.399242594420057	0.079
SLC6A11	0.295353721861125	0.425381222069271	0.0776
KLHL30	0.193417006639428	0.314944491752026	0.073
FAM43B	0.206362635073903	0.327531604951177	0.0726
RBM47	0.293301652786748	0.415227826296788	0.0719
FAM41C	0.2114563223221	0.330412818160192	0.071
TMSB15A	0.272456466813513	0.392034319874292	0.0706
SQLE	0.230858945368499	0.346116886345694	0.0681
MTFMT	0.265415275332075	0.378596667745185	0.0662
KRTAP5-6	0.192198353856058	0.303427444529871	0.0658
C5orf46	0.179085990415131	0.289717837116328	0.0656
GLRX	0.325664108915673	0.438127075709329	0.0649
PCP4	0.185050670060057	0.294857936631559	0.0649
IGSF10	0.272289747153211	0.382891716394688	0.0643
LRRC3	0.27108551339694	0.38044945290539	0.0634
CYP2D6	0.223696295081541	0.329973878368567	0.0619
VCX3A	0.185834971463135	0.291053894720229	0.0617
CSN3	0.213562501677263	0.318712620057576	0.0613
FGL1	0.274795599876635	0.381111686002105	0.0612
C3orf36	0.23987895496221	0.34530570393316	0.0611
KIF1A	0.274905015675529	0.380879445071272	0.061
PHLDB3	0.301089167911954	0.407551406230991	0.061
EFCAB3	0.276394118695364	0.381479254830512	0.0604
ALPI	0.237578120521361	0.341865923363631	0.0603
HEATR6	0.26954958873341	0.374368525124487	0.0603
FNDC4	0.268227810821947	0.372592507511243	0.06
SNORA41	0.197939421874455	0.300373333095602	0.0596
NECAB1	0.337202514501446	0.442278795165052	0.0595
RBMY1J	0.207316096320637	0.309648624845605	0.0594
DUSP13	0.263741769079878	0.366527901832477	0.0589
KCNIP4	0.29888926181447	0.402145189571593	0.0588
DEFB110	0.255390437573851	0.357377273427104	0.0585
HULC	0.259994779214521	0.362104361688004	0.0585
KLK9	0.242501230883646	0.344166423859035	0.0584
MAGEB3	0.195256517069351	0.294081662621938	0.0571
TRIM62	0.326448729996687	0.427885071759277	0.0571
HRK	0.24653920910443	0.346120784344287	0.0569
INSC	0.282378558370677	0.382087900486515	0.0565
PARG	0.300271053268301	0.399836044940846	0.0562
HTN1	0.264889028555108	0.362892154688207	0.0556
OTOS	0.259659966278251	0.357646798464908	0.0556
PRAMEF5	0.219390573769803	0.315700259806341	0.055
AGTRAP	0.316915454244982	0.414660742779221	0.0547
GYPC	0.247598552238451	0.344056949128932	0.0547
B3GALNT1	0.300783750111194	0.396799255505202	0.0537
IYD	0.246103946512491	0.341059051654597	0.0537
TTTY6B	0.27997643973016	0.375615403104027	0.0537
FUT9	0.265108753757063	0.360294510829377	0.0536
POTED	0.284303322365516	0.379870370367559	0.0536
BEND6	0.34609035443563	0.442788068950001	0.0535
SNORD116-29	0.172951773947561	0.265602404034104	0.053
MOGAT3	0.274021611463977	0.368391023309525	0.0529
PIGP	0.267929885232031	0.361854182683963	0.0527
UMPS	0.297244253377251	0.390949877440159	0.0521
PLS1	0.349479923818741	0.443828620979524	0.0519
MAGEA1	0.293632182708376	0.386816400485252	0.0518
LOC284379	0.28541725379125	0.37815757492479	0.0516
SLC5A2	0.227175694216275	0.318704683911626	0.0515
C7orf31	0.285597045850606	0.378107024242396	0.0514
LRRC58	0.287188239903246	0.378347420241772	0.0505
FDXACB1	0.19113510555484	0.280409466081311	0.0504
KRTAP3-2	0.255200694212743	0.345378401722983	0.0502
FAM107A	0.301614416530584	0.391986717088109	0.0497
TMEM104	0.270854062784619	0.360524114634383	0.0496
PPA2	0.35061499626074	0.441576430875143	0.0495
PHYH	0.293641814349447	0.383429734883476	0.0494
CCNJL	0.360403163930248	0.45134634778938	0.0493
CFHR3	0.286100280251899	0.375289069925909	0.0491
CCDC74A	0.290468240010537	0.379558976184266	0.049
PRAMEF8	0.267413450595932	0.356158643770668	0.049
DCAF4L1	0.312005983884883	0.401230503951542	0.0488
CRYGA	0.270178165574627	0.358515625905386	0.0487
MT1B	0.248254272692515	0.335798208597988	0.0485
TTTY22	0.324738204523681	0.413665431369552	0.0484
TEX11	0.258775727737235	0.346286577152987	0.0483
CLRN2	0.293959692319459	0.382005412293088	0.0482
RECK	0.297130004712446	0.385321183611578	0.0482
YPEL1	0.338911588709124	0.427814795203354	0.0482
SNORD86	0.265471787200196	0.352850257497304	0.0481
ASTN1	0.314545207082707	0.402297226146517	0.0477
SNORA19	0.260132608936017	0.346820759349604	0.0477
SNORD115-3	0.243611457840351	0.32963927123884	0.0475
NELL1	0.25543313685263	0.341467143699489	0.0473
PABPC1L2B	0.281133857127053	0.367610619229846	0.0473
APOH	0.278222492189274	0.364557305790022	0.0472
TSPAN15	0.294762925314972	0.381007506753652	0.0469
PABPC4L	0.338256507720095	0.425116910550697	0.0468
PIGN	0.297959638394513	0.384042093955795	0.0468
TMOD4	0.330149523528905	0.416573354573609	0.0466
ANKS4B	0.256824450612456	0.341175191137995	0.0461
C21orf58	0.334406857791139	0.41971361442418	0.0457
HSPA12A	0.258434007344858	0.34175359884726	0.0454
KRTAP1-1	0.28563749320759	0.369382927392924	0.0453
GLYAT	0.319477512317617	0.403781453818445	0.0452
KCTD11	0.273428840515838	0.356867649596368	0.0452
TMEM214	0.333564680919577	0.417858925374438	0.045
CDKN2AIPNL	0.268137696877514	0.350966360918464	0.0449
HDC	0.279151357203945	0.362251662181072	0.0449
TRIM58	0.292884659207958	0.376255946878632	0.0449
