nodeLabel	Cluster_IDH2_R_25k	Cluster_IDH2_NR_25k	distance
MAR10033	0	0.569515869279357	0.4067
MAR00012	0	0.541869781931408	0.3872
CNOT6	0	0.530304649934649	0.3791
SPOCK1	0.0420047917260499	0.530973781704107	0.3498
ZNF91	0	0.482316684486339	0.3452
OR52D1	0	0.4796749979058	0.3434
VENTX	0.0317312703895719	0.510719724226904	0.3428
B4GALT1	0	0.478640188179835	0.3426
PFN1	0.0659344913571569	0.543788789007062	0.3418
CR1	0	0.474115901002123	0.3394
SNF8	0	0.472809428339281	0.3385
HTR1F	0	0.472627748366691	0.3384
SERTAD1	0	0.472380993853227	0.3382
MAP2K1	0.0349191589892786	0.504518832624844	0.3361
TAS2R19	0	0.469030789662721	0.3358
RAB32	0	0.468023201936711	0.3351
TPM4	0	0.466812327285052	0.3343
POU2AF1	0	0.463798787636861	0.3322
IMPDH1	0	0.46222016599705	0.331
SOCS4	0	0.461451998378676	0.3305
GNRHR2	0	0.461240094089653	0.3304
RCAN1	0.0309819304814124	0.487028001655948	0.3266
TSC22D3	0	0.454763809490779	0.3258
BAALC	0	0.454619270558726	0.3257
RXFP2	0.0443490308509827	0.497549740370163	0.3245
CDX2	0	0.448984043341944	0.3217
CXCR2	0.0410234046794755	0.489666986528565	0.3213
CTSH	0	0.447987028178995	0.321
ARHGEF12	0	0.445084314213205	0.319
OSTF1	0	0.445029496913977	0.3189
OR6K2	0	0.444233735631899	0.3184
GRM5	0	0.442727181806359	0.3173
SSTR2	0	0.442540316092045	0.3172
GPR160	0.0341945942840275	0.475137128465652	0.3159
HEY1	0	0.440448737587332	0.3157
GABRQ	0	0.440317783028606	0.3156
INPP5D	0.0341792767852865	0.474399205032443	0.3154
CD1D	0	0.439439499119783	0.315
HSFX1	0	0.439026941225575	0.3147
LDLRAP1	0	0.438370308490834	0.3142
ZNF776	0	0.437332375744279	0.3135
PTPRO	0	0.436949407274242	0.3132
TAF3	0	0.43242202031545	0.31
OCEL1	0	0.431015604985612	0.309
ZNF677	0.0323967896374242	0.461987277729014	0.3079
OR52N1	0	0.429076040194315	0.3077
CDC42SE1	0	0.428738617584682	0.3074
LRP5	0.0440290275277742	0.472790360157681	0.3073
KCNH8	0	0.426028563055142	0.3055
RAB40B	0.0347428639431939	0.460516054219446	0.3052
PLCB4	0	0.424340528866076	0.3043
BRF2	0.0355742391755608	0.459488654532828	0.3039
VGLL1	0	0.422372894410933	0.3029
ITGA9	0	0.422068737790081	0.3027
CDS1	0.030633890381601	0.452749082287229	0.3026
CD101	0	0.42177398468221	0.3025
SOX14	0	0.421582486331801	0.3024
GDF6	0	0.421505643997101	0.3023
CARD14	0	0.421397948319258	0.3022
IGF2R	0	0.420142562138707	0.3014
ADRB1	0	0.419301280663478	0.3008
ZNF548	0	0.41531920393828	0.298
