tf	confidence	target	mor
AR	A	ABCE1	1
AR	A	ACAD10	1
AR	A	ACP3	1
AR	A	AHSG	1
AR	A	AKR1B1	1
AR	A	AKR1C3	-1
AR	A	AKT1	1
AR	A	ALPG	1
AR	A	ANAPC10	1
AR	A	AP2M1	1
AR	A	APPBP2	1
AR	A	ATF6	1
AR	A	ATM	1
AR	A	ATP2B4	1
AR	A	BABAM2	1
AR	A	BANF1	1
AR	A	BTD	1
AR	A	C1orf21	1
AR	A	CCNG2	1
AR	A	CD4	1
AR	A	CDC6	1
AR	A	CDH2	1
AR	A	CDKL5	1
AR	A	CDKN1A	1
AR	A	CITED2	1
AR	A	COASY	1
AR	A	CPT2	1
AR	A	CRISP1	1
AR	A	CYCS	1
AR	A	DBI	1
AR	A	DDC	1
AR	A	DDT	1
AR	A	DHX15	1
AR	A	EEF1AKMT3	1
AR	A	EGFR	1
AR	A	EIF3I	1
AR	A	ELF3	1
AR	A	ERBB3	1
AR	A	ESRRA	1
AR	A	EYA2	1
AR	A	FAM13A	1
AR	A	FAM174B	1
AR	A	FKBP5	1
AR	A	FOXA1	1
AR	A	FXYD3	1
AR	A	GLRX	1
AR	A	GNL1	1
AR	A	GRB10	1
AR	A	GTF2F1	1
AR	A	H2BC21	1
AR	A	HES1	1
AR	A	HK2	1
AR	A	HLA-E	1
AR	A	HNRNPA1	1
AR	A	HSD17B11	1
AR	A	IFI35	1
AR	A	IGF1R	1
AR	A	IGFBP3	1
AR	A	IGHG1	1
AR	A	IL1R1	1
AR	A	JUN	1
AR	A	KCNH2	1
AR	A	KIAA1217	-1
AR	A	KLF5	1
AR	A	KLK2	1
AR	A	KLK3	1
AR	A	KLK4	1
AR	A	KRT18	1
AR	A	KRT8	1
AR	A	LIFR	1
AR	A	LOC440157	1
AR	A	MED1	1
AR	A	MMP13	1
AR	A	MRPS27	1
AR	A	MT2A	1
AR	A	MUC1	-1
AR	A	MYC	1
AR	A	NCOA2	-1
AR	A	NDRG1	1
AR	A	NKX3-1	1
AR	A	NLGN4X	1
AR	A	NME7	1
AR	A	NPAT	1
AR	A	NPEPPS	1
AR	A	NUP214	1
AR	A	ORM1	1
AR	A	ORM2	1
AR	A	PEX6	1
AR	A	PGC	1
AR	A	PIGR	1
AR	A	PIN1	1
AR	A	PMAIP1	1
AR	A	PMEPA1	1
AR	A	PNPLA4	1
AR	A	PNRC1	1
AR	A	PPP2R5D	1
AR	A	PRAME	1
AR	A	PRKCD	1
AR	A	PRPS1	1
AR	A	PTGS2	-1
AR	A	PTPN9	1
AR	A	PTPRM	1
AR	A	QSOX1	1
AR	A	RBMX	1
AR	A	RBPMS	1
AR	A	RELA	-1
AR	A	RNASE4	1
AR	A	SCAP	1
AR	A	SCNN1A	1
AR	A	SDF2	1
AR	A	SERPINB5	-1
AR	A	SERPINI1	1
AR	A	SLC25A11	1
AR	A	SMARCA2	1
AR	A	SMS	1
AR	A	SNAI2	1
AR	A	SORD	1
AR	A	SOX4	1
AR	A	SPDEF	1
AR	A	STK39	1
AR	A	STXBP2	1
AR	A	SUOX	1
AR	A	SUSD6	1
AR	A	TESK1	1
AR	A	THRA	1
AR	A	TMPRSS2	1
AR	A	TNFRSF1A	1
AR	A	TRPS1	1
AR	A	UBC	1
AR	A	UBE2D3	1
AR	A	UGT2B15	1
AR	A	VAPA	1
AR	A	VEGFA	1
AR	A	XPA	1
AR	A	ZBTB16	1
AR	A	ZCCHC9	1
AR	A	ZFHX4	1
AR	A	ZNF559	1
ARNTL	A	AVP	1
ARNTL	A	BHLHE40	1
ARNTL	A	CRY1	1
ARNTL	A	CRY2	1
ARNTL	A	DBP	1
ARNTL	A	NR1D1	1
ARNTL	A	NR1D2	1
ARNTL	A	PER1	1
ARNTL	A	PER2	1
ARNTL	A	PER3	1
ATF1	A	BCL2	1
ATF1	A	CCNA1	-1
ATF1	A	CFTR	1
ATF1	A	CGA	1
ATF1	A	CIITA	1
ATF1	A	CYP11B1	1
ATF1	A	CYP11B2	1
ATF1	A	ERBB2	1
ATF1	A	FLT1	1
ATF1	A	IL10	1
ATF1	A	LDHA	1
ATF1	A	MAP1LC3B	1
ATF1	A	NTS	1
ATF1	A	PCSK1	1
ATF1	A	PLAUR	1
ATF1	A	SLC20A1	1
ATF1	A	TGFB2	1
ATF1	A	TH	1
ATF1	A	TOP2A	1
ATF1	A	UGT8	1
ATF2	A	APOC3	1
ATF2	A	ATF3	1
ATF2	A	CCND1	1
ATF2	A	CDKN1A	1
ATF2	A	CYP11B1	1
ATF2	A	CYP11B2	1
ATF2	A	DUSP1	1
ATF2	A	FN1	1
ATF2	A	FOS	1
ATF2	A	IFNB1	1
ATF2	A	IFNG	1
ATF2	A	IMPDH2	1
ATF2	A	INS	1
ATF2	A	JUN	1
ATF2	A	MMP2	1
ATF2	A	NOS3	-1
ATF2	A	NR4A2	1
ATF2	A	PCK1	1
ATF2	A	PCK2	1
ATF2	A	PLAT	1
ATF2	A	PTGS2	1
ATF2	A	RB1	1
ATF2	A	TGFB2	-1
ATF2	A	TNF	1
ATF4	A	ASNS	1
ATF4	A	ATF3	1
ATF4	A	CEBPB	1
ATF4	A	CHAC1	1
ATF4	A	CXCL8	1
ATF4	A	DDIT3	1
ATF4	A	DDIT4	1
ATF4	A	DDR2	1
ATF4	A	DISC1	1
ATF4	A	FGF21	1
ATF4	A	HRK	1
ATF4	A	MCL1	1
ATF4	A	NUPR1	1
ATF4	A	PTGS2	1
ATF4	A	TRIB3	1
ATF4	A	VEGFA	1
ATF6	A	ATP2A2	1
ATF6	A	CALR	1
ATF6	A	DDIT3	1
ATF6	A	DNAJC3	1
ATF6	A	HSP90B1	1
ATF6	A	HSPA5	1
ATF6	A	RTN3	1
ATF6	A	SEL1L	1
ATF6	A	SRF	1
ATF6	A	XBP1	1
BACH1	B	HMOX1	-1
BACH1	B	AFG3L1P	1
BACH1	B	ALDOA	1
BACH1	B	ASAP1	1
BACH1	B	BICDL1	1
BACH1	B	CDK6	1
BACH1	B	CLIP4	1
BACH1	B	DPH6	1
BACH1	B	GCLC	1
BACH1	B	IFRD1	1
BACH1	B	KCTD20	1
BACH1	B	LBR	1
BACH1	B	MAFG	1
BACH1	B	MAPT	1
BACH1	B	ME1	1
BACH1	B	MSANTD3	1
BACH1	B	NQO2	1
BACH1	B	PHLDA2	1
BACH1	B	PIK3CD	1
BACH1	B	PSAP	1
BACH1	B	RFFL	1
BACH1	B	SLC48A1	1
BACH1	B	SLC7A11	1
BACH1	B	SLX4IP	1
BACH1	B	SMARCA4	1
BACH1	B	SQSTM1	1
BACH1	B	SSC4D	1
BACH1	B	SYNJ2	1
BACH1	B	TNFAIP2	1
BACH1	B	TRIM56	1
CDX2	A	ABCB1	1
CDX2	A	AXIN2	1
CDX2	A	CDH17	1
CDX2	A	CFTR	1
CDX2	A	DSC2	1
CDX2	A	GUCY2C	1
CDX2	A	KLF4	1
CDX2	A	LCT	1
CDX2	A	MEP1A	1
CDX2	A	MUC2	1
CDX2	A	REG4	1
CDX2	A	SI	1
CDX2	A	SLC15A1	1
CDX2	A	SLC9A2	1
CDX2	A	SLC9A3	1
CDX2	A	UGT1A10	1
CDX2	A	UGT1A8	1
CEBPA	A	ABCB1	1
CEBPA	A	ABCC1	1
CEBPA	A	ACACA	1
CEBPA	A	ACACB	1
CEBPA	A	ACE	1
CEBPA	A	ADH1B	1
CEBPA	A	AEBP1	1
CEBPA	A	AFP	1
CEBPA	A	AGT	1
CEBPA	A	AGXT	1
CEBPA	A	ALB	1
CEBPA	A	ALOX5AP	1
CEBPA	A	APBB1IP	1
CEBPA	A	APOA1	1
CEBPA	A	APOB	1
CEBPA	A	APOC3	1
CEBPA	A	BCL2	1
CEBPA	A	C8orf76	1
CEBPA	A	CCNB1	1
CEBPA	A	CCND1	1
CEBPA	A	CCNE1	1
CEBPA	A	CDH13	1
CEBPA	A	CDK2	1
CEBPA	A	CDKN1A	1
CEBPA	A	CES1	1
CEBPA	A	CETP	1
CEBPA	A	CFTR	1
CEBPA	A	COMT	1
CEBPA	A	CPS1	1
CEBPA	A	CREB1	1
CEBPA	A	CRMP1	1
CEBPA	A	CSF1	1
CEBPA	A	CSF3R	1
CEBPA	A	CSN2	1
CEBPA	A	CSRP1	1
CEBPA	A	CXCL8	1
CEBPA	A	CXCR2	1
CEBPA	A	CYP3A4	1
CEBPA	A	CYP3A7	1
CEBPA	A	DEFA3	1
CEBPA	A	E2F2	1
CEBPA	A	E2F3	1
CEBPA	A	EDN1	1
CEBPA	A	EHHADH	1
CEBPA	A	ELANE	1
CEBPA	A	ELN	1
CEBPA	A	ENPP3	1
CEBPA	A	EPO	1
CEBPA	A	EPX	1
CEBPA	A	F3	1
CEBPA	A	F9	1
CEBPA	A	FAS	1
CEBPA	A	FASN	1
CEBPA	A	FGA	1
CEBPA	A	FGL2	1
CEBPA	A	FN1	1
CEBPA	A	FOXA2	1
CEBPA	A	GADD45A	1
CEBPA	A	GAPDH	1
CEBPA	A	GDNF	1
CEBPA	A	GLS2	1
CEBPA	A	GPX4	1
CEBPA	A	GSK3A	1
CEBPA	A	GSK3B	1
CEBPA	A	GUCY2C	1
CEBPA	A	HAMP	1
CEBPA	A	HMGB1	1
CEBPA	A	HNF4A	1
CEBPA	A	HOMER3	1
CEBPA	A	HP	1
CEBPA	A	HPX	1
CEBPA	A	HSD17B11	1
CEBPA	A	HSPA4	1
CEBPA	A	ICAM1	1
CEBPA	A	ID1	1
CEBPA	A	IGF1	1
CEBPA	A	IGF2	1
CEBPA	A	IGFBP1	1
CEBPA	A	IL10	1
CEBPA	A	IL12B	1
CEBPA	A	IL1A	1
CEBPA	A	IL3	1
CEBPA	A	IL4	1
CEBPA	A	IL5	1
CEBPA	A	IL6	1
CEBPA	A	INSR	1
CEBPA	A	IRS1	1
CEBPA	A	ITGA2	1
CEBPA	A	ITGAL	1
CEBPA	A	ITGAX	1
CEBPA	A	ITGB2	1
CEBPA	A	KAT7	1
CEBPA	A	KCNH8	1
CEBPA	A	KCNMA1	1
CEBPA	A	LBP	1
CEBPA	A	LDLR	1
CEBPA	A	LEP	1
CEBPA	A	LIPC	1
CEBPA	A	LTF	1
CEBPA	A	MAD1L1	1
CEBPA	A	MAT2A	1
CEBPA	A	MME	1
CEBPA	A	MMP11	1
CEBPA	A	MSR1	1
CEBPA	A	MYBL1	1
CEBPA	A	MYC	-1
CEBPA	A	NFYA	1
CEBPA	A	NFYC	1
CEBPA	A	NR5A1	1
CEBPA	A	PCK1	1
CEBPA	A	PCK2	1
CEBPA	A	PCNA	1
CEBPA	A	PER2	1
CEBPA	A	PPARG	1
CEBPA	A	PTGS2	1
