tf	target	mor	likelihood	weight_corr
CD86	TLR8	0.999894624617814	0.999998386726514	0.992952607663303
HDAC2	NUFIP1	0.998468848990062	0.993306976388166	0.990394799429817
TOP2A	CENPI	0.999991577387366	0.999933133088594	0.989963903476045
NDC80	DEPDC1	0.999999992302126	0.999988646994117	0.989377583543106
DEPDC1	NDC80	0.999999992302126	0.99998864704039	0.989377583543106
CAND1	IPO7	0.999376645813897	0.999745102423614	0.988808327307582
IPO7	CAND1	0.999999546352875	0.999637475837799	0.988808327307582
RPS3	RPS6	0.999999746653255	0.999859966088249	0.987628329013793
RPS6	RPS3	0.999999746653255	0.999859965510832	0.987628329013793
FOXM1	NDC80	0.999974555157641	0.999839742568229	0.986955158718348
LZTFL1	CEP290	0.999966182944834	0.999615281338912	0.986774335487337
CEP290	LZTFL1	0.999008472495679	0.999604165626559	0.986774335487337
TOP2A	BUB1B	0.999999693431472	0.999996457491338	0.986128538585772
TCF19	ZWINT	0.999997543483319	0.999994680213826	0.985864156915563
SMARCAD1	ZMYM4	0.994119745799597	0.975496609494157	0.985788404948208
TOP2A	PRC1	0.999995974146957	0.999937026103857	0.985717299053613
TOP2A	DEPDC1	0.999999279651776	0.999998524706659	0.985259512864878
DEPDC1	TOP2A	0.99999999370752	0.999997675099291	0.985259512864878
KLF1	ACSL6	0.999926773836344	0.999459658617911	0.983313623563831
FOXM1	TOP2A	0.999930181474963	0.999823314575842	0.982871060238415
TOP2A	FOXM1	0.999930181474963	0.999823314575842	0.982871060238415
FOXM1	PRC1	0.999990456105426	0.99998161401853	0.982765355454314
CENPF	CENPI	0.999207745672233	0.999906974151933	0.982562605395037
CENPI	CENPF	0.999999236963546	0.999833786574167	0.982562605395037
LRPPRC	SUPT16H	0.998949541364739	0.999900383495964	0.981432625004329
SUPT16H	LRPPRC	0.99894894466923	0.999900383495964	0.981432625004329
HLTF	MSH6	0.999894270882925	0.999634830362848	0.981416839723027
MSH6	HLTF	0.999994221038385	0.999504394875032	0.981416839723027
FOXM1	BUB1B	0.999982147952729	0.999983994686652	0.981396165731424
CENPF	BUB1B	0.999922987508376	1	0.981063817012794
CENPF	NDC80	0.999895093811235	0.999998386911674	0.980840378705045
NDC80	BUB1B	0.999999998553669	0.99999767505199	0.980822198824143
BUB1B	NDC80	0.999999998553669	0.99999767504253	0.980822198824143
CAMTA2	MSH2	-0.998671525744948	0.999692919948046	0.980794896296097
MSH2	CAMTA2	-0.999994387775479	0.999541124568313	0.980794896296097
CENPF	KIF2C	0.999656336866024	0.999896223361573	0.980794552826482
MYBBP1A	PRMT1	0.997709172458582	0.991787049721134	0.980094390770465
PRMT1	MYBBP1A	0.999988042897902	0.999870069876747	0.980094390770465
CENPF	DEPDC1	0.999902289247426	0.999999193917769	0.980019820316409
DEPDC1	CENPF	0.999999992430854	0.999993310795368	0.980019820316409
CDH1	ACSL6	0.998625743834451	0.999493569668892	0.97991694276264
NOLC1	PAICS	0.999990798822743	0.999984886416359	0.979844814255358
TOP2A	CENPF	0.999999793572561	0.999999410077586	0.979808556647815
CENPF	TOP2A	0.99995842287393	1	0.979808556647815
POU2F2	NACC2	0.999892480626382	0.999857946833524	0.979775363235889
NACC2	POU2F2	0.997923813039179	0.999845073883053	0.979775363235889
CD86	CLEC4A	0.99990937969603	0.999999193974665	0.979486401446368
CLEC4A	CD86	0.999999993601731	0.999994766070956	0.979486401446368
TOP2A	NDC80	0.999999749807331	0.999998524809551	0.979246068948288
NDC80	TOP2A	0.999999998538216	0.999997820662431	0.979246068948288
LRPPRC	KDM1A	0.995116135843803	0.998028424671409	0.978677499771673
PRDX2	TNXB	0.999970080853819	0.99777121050163	0.978663387664409
TNXB	PRDX2	0.999970080853819	0.99777121050163	0.978663387664409
CENPF	RACGAP1	0.999856010294038	0.999988683413698	0.978287742633122
POU2F2	IL10RA	0.999992048138635	0.999956236735199	0.978266418179258
BUB1B	PRC1	0.999999973359529	0.999911268684694	0.977761137488613
ZWINT	CHAF1B	0.99999972894028	0.999941918395302	0.976846258946763
MCM6	CHEK1	0.99987821227365	1	0.976679815696231
CHEK1	MCM6	0.999999985676466	0.999996512071105	0.976679815696231
TOP2B	LRPPRC	0.999080999308214	0.986717997444084	0.976645497005627
CENPI	RACGAP1	0.999999137039975	0.99939674908599	0.976111905325024
RACGAP1	CENPI	0.999999137039975	0.99939674908599	0.976111905325024
CENPF	CCNB2	0.999846985078616	0.99999191898602	0.976082880766875
CAMTA2	IL17RA	0.994404785095491	0.998304159805201	0.976002064429049
PRDX2	HMBS	0.999992305652568	0.999391030971732	0.975651919905797
CD86	CCR1	0.999822938371573	0.999996771348644	0.975374210004737
PARP1	GABPB1	0.994386746998576	0.990239556829073	0.974937402213132
HMGN1	RAD17	0.934686593786255	0.905986989886383	0.974487534692957
IFNG	CD247	0.992856688182271	0.974516140592175	0.974458196128477
SMARCAD1	ZNF569	0.998634505183363	0.999476433495866	0.974327663968547
CENPK	MCM8	0.998067923842694	0.998812688475927	0.97366533609043
MCM8	CENPK	0.998067923842694	0.998812677342266	0.97366533609043
NOLC1	ATIC	0.999940274844806	0.999781843293835	0.973620801659816
ATIC	NOLC1	0.999997324473812	0.999663534259767	0.973620801659816
SUZ12	NAA15	0.997312282418178	0.999215559702154	0.973548481703475
NAA15	SUZ12	0.998028036344185	0.999589802979585	0.973548481703475
TRIP13	SPC25	0.999116600440927	0.999827599861153	0.973432661008277
NPM1	SET	0.999980893986105	0.995751022271152	0.973419404693354
SET	NPM1	0.999943835078562	0.976782066088697	0.973419404693354
NACC2	NFKB2	0.996369060731096	0.99430168385744	0.973319012175463
LBH	EOMES	0.997326897731202	0.997081039345642	0.973079548539884
ANK1	KEL	0.999999999099683	0.99999985483043	0.972751104292511
KEL	ANK1	0.999999999099683	0.99999985483043	0.972751104292511
SMARCAD1	CHMP1A	-0.997882204075243	0.99877006304591	0.97268615697328
MAFB	LILRB2	0.999999378873022	0.999996162082546	0.972498864738604
TADA2B	TLR8	0.994582256662191	0.997058972106613	0.972406374562346
KLF4	CD86	0.9999863735914	0.999647870346634	0.972273258477024
CD86	KLF4	0.99944068772745	0.999641427679932	0.972273258477024
FANCD2	CENPI	0.999999556714271	0.99979949383637	0.972135206850737
CENPI	FANCD2	0.999999556714271	0.99979949383637	0.972135206850737
ERN1	RASSF5	0.997354271964004	0.93546733857797	0.971755961963725
RASSF5	ERN1	0.99734955533323	0.93546733857797	0.971755961963725
GNG12	DCLK1	0.999999841623077	0.999967305108483	0.971743756076126
DCLK1	GNG12	0.999999841623077	0.999967305108483	0.971743756076126
ZBTB7B	LILRB2	0.999902574631026	0.999862828450074	0.971727985719565
MTF2	ZBTB8A	0.999667013497721	0.999202317715699	0.971692545912342
ZBTB8A	MTF2	0.999667013497721	0.999202317715699	0.971692545912342
POU2F2	CD86	0.999987046863367	0.999941527411292	0.971526378159539
CD86	POU2F2	0.999458173733702	0.999931611789915	0.971526378159539
CDCA7L	CDCA7	0.715677791634926	0.897665144636656	0.971434596601856
CDCA7	CDCA7L	0.715677791634926	0.897665144636656	0.971434596601856
ZNF524	SUZ12	-0.999623148208537	0.999510746975813	0.971413536321094
TFDP2	TADA2B	-0.999943268786159	0.999070573089242	0.971345087197968
TADA2B	TFDP2	-0.998645812360597	0.998991768004782	0.971345087197968
CCNA2	CDCA2	0.999999998476417	0.999997675288475	0.971343758929692
ABL2	ZNF131	0.999342305960876	0.949590695004924	0.971175170013686
SMARCAD1	DOK2	-0.992260451093771	0.993620858285353	0.97105150326349
CENPF	KIF11	0.999916478133553	0.999997579343645	0.971037030517962
ERCC8	CBX5	0.98462549717156	0.966029587414023	0.970914880948142
CBX5	ERCC8	0.98462549717156	0.966029587414023	0.970914880948142
CHMP1A	ZNF524	0.999532141433879	0.999981384717571	0.970824119223393
PPARD	SMARCC1	-0.999161911530696	0.992692888556696	0.9707871807115
SMARCC1	PPARD	-0.992464812693	0.991880640574451	0.9707871807115
NFKBIZ	MAML2	0.976949194500457	0.954857800685573	0.970645397618302
MED21	ATP2C1	0.999324995999511	0.999760269806807	0.970634181913519
HNRNPAB	ASAP3	-0.482480476252937	0.93181326410516	0.970470786167323
DVL2	GPSM1	0.999989954728676	0.996526439450417	0.970263559295693
GPSM1	DVL2	0.999990063661027	0.992530388781083	0.970263559295693
MSH2	HLTF	0.999999779271651	0.999884463761694	0.970166493174108
HMBOX1	MYSM1	0.999896223623454	0.999570221532302	0.970166467402856
BUB1B	MELK	0.999999971839721	0.999976527481493	0.970099866335287
JDP2	ADAP2	0.971699064225506	0.985578037200991	0.969946618513386
RANBP1	MRPL12	0.999994688401615	0.996352164723645	0.969926102073614
SMARCAD1	ITPK1	-0.999150045011614	0.999933258410557	0.969874302258493
AIFM1	NUP93	0.999975658898428	0.998624347745239	0.969865342797982
NUP93	AIFM1	0.999975658898428	0.998624347745239	0.969865342797982
KLF4	CLEC4A	0.999904196482579	0.999559012340765	0.969839485371066
EHMT1	GNA15	0.855899154041339	0.983513776270128	0.969660862148879
NDC80	NUSAP1	0.999999996763652	0.999996948172666	0.969642227984375
RPL6	RPS6	0.99976201419148	0.999999193654518	0.969624557897714
RPS6	RPL6	0.999999945264175	0.999990978515821	0.969624557897714
TADA2B	CD14	0.989610052331733	0.989514450079239	0.969486095280797
KLF1	ANK1	0.999999713550136	0.999999410142706	0.969459772995966
ANK1	KLF1	0.999999998237819	0.999999854822758	0.969459772995966
RUVBL2	NUP93	0.682771687433864	0.985191418196837	0.969457187649788
NUP93	RUVBL2	0.953703270999259	0.989054742643993	0.969457187649788
HTATIP2	KLF4	0.970755024966345	0.978133191083892	0.969396149037791
FOXM1	GTSE1	0.999998425992255	0.999996752869384	0.969286661291118
MED15	PRKCI	-0.996165818933725	0.998645149179208	0.969069826245978
CAND1	ZNF524	-0.999183617101695	0.999887168228856	0.969043824044611
SUPT16H	HSPD1	0.996928513892896	0.997539575212045	0.968989380634672
FOXM1	CCNA2	0.999995513629146	0.999965513540113	0.968957655348568
ING5	PATZ1	0.951642422321191	0.972825234344374	0.968935559749977
FOXM1	CDCA8	0.999999105534664	0.999998229555898	0.968841562506385
BUB1B	KIF11	0.999999998228561	0.999992145417553	0.968702932447657
PILRA	CD14	0.999999639679488	0.999852089242168	0.968611251894492
CD14	PILRA	0.999999639679488	0.999852088631972	0.968611251894492
U2AF1	ZNF613	-0.952531420644774	0.972460662589923	0.968528768456738
MCM7	CRTC3	-0.240550387681544	0.782647191854773	0.968520389762621
CEP290	GSK3A	-0.999501766137398	0.999869888619811	0.968400680062892
HNRNPAB	ERN1	-0.988896075875208	0.856155585595642	0.968183793639115
CCNT1	SF3B1	0.99498441606965	0.997419133106454	0.968122753764102
SF3B1	CCNT1	0.999964579425408	0.997688107938131	0.968122753764102
IL10RB	LCP1	0.999997167776017	0.999942947821656	0.968054402975622
LCP1	IL10RB	0.999997167776017	0.999942947821656	0.968054402975622
NRBF2	IGSF6	0.991275592695492	0.994459497506712	0.968026886728935
CAND1	ALG10	0.997136974774867	0.999550867166987	0.968014077527197
TCF19	CHAF1B	0.999994471885888	0.999992309211072	0.967907030333244
CHAF1B	TCF19	0.999439804687972	0.999934090482459	0.967907030333244
ESF1	NAA15	0.997703071305601	0.999400289916767	0.967824348019743
NAA15	ESF1	0.997703071305601	0.99940029542282	0.967824348019743
BRAP	PPIL4	0.997241899855649	0.969388397802227	0.967715403892696
HTATIP2	KDM5B	-0.988601526916804	0.994613930816761	0.967516360681845
MCM8	BRCA1	0.99941173811557	0.999934084611383	0.967481140817286
SMARCAD1	ALG10	0.998193243333988	0.998954266356311	0.967379036428763
CHEK1	BRIP1	0.999999659487417	0.999869478141743	0.967350629311831
BRIP1	CHEK1	0.999999742849827	0.999793234575225	0.967350629311831
TFDP2	IL10RB	-0.99928566410181	0.999139365675573	0.967308968525117
IL10RB	TFDP2	-0.999926005012674	0.999021085379385	0.967308968525117
IL16	PIGU	-0.982776377979908	0.98518706748898	0.967304749664701
HSPE1	EEF1E1	0.999983322007879	0.993526545700202	0.967299460179114
EEF1E1	HSPE1	0.999983322007879	0.993526545700202	0.967299460179114
BCL11B	ITK	0.999999799634684	0.999999410176973	0.96728042369829
ARHGEF7	LGALS3BP	-0.0056744001548385	0.44855007475452	0.967249991296006
ZBTB7B	TFDP2	-0.999880916744955	0.998635981632759	0.967224313169265
TFDP2	ZBTB7B	-0.999880916744955	0.998635981632759	0.967224313169265
KLF1	SOX6	0.999993824549056	0.999982210741358	0.967221476116584
SOX6	KLF1	0.999993824549056	0.999982210741358	0.967221476116584
ZNF385A	TYROBP	0.999968278092917	0.99996282403186	0.967166040662133
LEF1	BCL11B	0.999997098876995	0.999995570013237	0.96708332546799
BCL11B	LEF1	0.999997098876995	0.999995570013237	0.96708332546799
MSH6	MSH2	0.999998935849102	0.999739462096615	0.966923004782455
MSH2	MSH6	0.999998935849102	0.999739462096615	0.966923004782455
TADA2B	ZBTB7B	0.999250414917192	0.999758539832341	0.966921541132705
CENPF	NUF2	0.999909909326205	0.999997579685681	0.966695506421261
RPS27A	RPL29	0.999978426744661	0.991233913282123	0.966502089404003
BRPF1	DDAH2	0.990170883502562	0.966015725112477	0.966394024551194
PHB2	PSMC3	0.775513059320974	0.883248868642841	0.96638728458822
BUB1B	NUF2	0.999999998811119	0.999998401961224	0.966354843270839
MCM6	PLK4	0.999580300990795	0.999930790916284	0.966354743392141
NRBF2	CLEC4A	0.938736987288743	0.978584809523871	0.966264959333903
NRBF2	CCR1	0.991633981728355	0.998713887963775	0.966050313600164
HABP4	CBX7	0.998595428378944	0.999481567761639	0.966034485451418
CBX7	HABP4	0.997964010792792	0.997688715895231	0.966034485451418
ZNF711	TCEAL6	0.824865489620179	0.850767483000952	0.965893514919484
TCEAL6	ZNF711	0.62230285088342	0.815678780552916	0.965893514919484
CENPF	CDCA8	0.999366666285926	0.999835958407604	0.965866465581655
