	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa01200	hsa01200	Carbon metabolism	6/67	115/8586	0.000259957299866191	48/128/2098/26227/5634/6888	6
hsa01230	hsa01230	Biosynthesis of amino acids	5/67	75/8586	0.000281539663918709	48/2752/26227/5634/6888	5
hsa00030	hsa00030	Pentose phosphate pathway	3/67	30/8586	0.00158607060788065	51071/5634/6888	3
hsa00250	hsa00250	Alanine, aspartate and glutamate metabolism	3/67	37/8586	0.00291956175521947	7915/2752/5471	3
hsa03082	hsa03082	ATP-dependent chromatin remodeling	4/67	117/8586	0.0129870522938481	57492/5977/9112/6599	4
hsa04917	hsa04917	Prolactin signaling pathway	3/67	70/8586	0.0171406660391864	6714/6774/6777	3
hsa00230	hsa00230	Purine metabolism	4/67	128/8586	0.0175388755149503	100/271/5471/5634	4
hsa05130	hsa05130	Pathogenic Escherichia coli infection	5/67	198/8586	0.0188778295553728	55845/54205/4690/5781/6714	5
hsa05205	hsa05205	Proteoglycans in cancer	5/67	205/8586	0.021585867346611	5500/5781/6548/6714/6774	5
hsa00630	hsa00630	Glyoxylate and dicarboxylate metabolism	2/67	30/8586	0.0226723540115298	48/2752	2
hsa03018	hsa03018	RNA degradation	3/67	79/8586	0.0235688491766891	25904/170506/80153	3
hsa04120	hsa04120	Ubiquitin mediated proteolysis	4/67	142/8586	0.0246250836550612	8454/7328/51465/63893	4
hsa05417	hsa05417	Lipid and atherosclerosis	5/67	215/8586	0.0258778688484583	839/54205/6648/6714/6774	5
hsa04012	hsa04012	ErbB signaling pathway	3/67	85/8586	0.0284866453015333	4690/6714/6777	3
hsa03020	hsa03020	RNA polymerase	2/67	34/8586	0.028663154223346	51082/10623	2
hsa00350	hsa00350	Tyrosine metabolism	2/67	36/8586	0.0318702986509968	128/81889	2
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/67	89/8586	0.0320454157896577	5781/6774/7535	3
hsa04810	hsa04810	Regulation of actin cytoskeleton	5/67	229/8586	0.0327566324392998	55845/8396/5500/6548/6714	5
hsa05340	hsa05340	Primary immunodeficiency	2/67	38/8586	0.0352119802191504	100/7535	2
hsa04217	hsa04217	Necroptosis	4/67	159/8586	0.0352754862080286	2752/5481/6774/6777	4
hsa05161	hsa05161	Hepatitis B	4/67	162/8586	0.037393725356681	54205/6714/6774/6777	4
hsa05131	hsa05131	Shigellosis	5/67	247/8586	0.0431523434992051	8454/54205/3611/5481/6714	5
hsa00620	hsa00620	Pyruvate metabolism	2/67	47/8586	0.0517877410214771	128/2739	2
hsa04659	hsa04659	Th17 cell differentiation	3/67	108/8586	0.0519500797377403	6774/6777/7535	3
hsa04931	hsa04931	Insulin resistance	3/67	108/8586	0.0519500797377403	5500/5781/6774	3
hsa04360	hsa04360	Axon guidance	4/67	182/8586	0.0533649436017985	3611/4690/5781/6714	4
hsa00270	hsa00270	Cysteine and methionine metabolism	2/67	52/8586	0.0619796068768281	58478/26227	2
hsa04660	hsa04660	T cell receptor signaling pathway	3/67	121/8586	0.0683031974167715	4690/5781/7535	3
hsa03250	hsa03250	Viral life cycle - HIV-1	2/67	63/8586	0.0864949990168392	7469/11168	2
hsa05162	hsa05162	Measles	3/67	138/8586	0.0927566597258903	54205/6774/6777	3
hsa05221	hsa05221	Acute myeloid leukemia	2/67	67/8586	0.0960288730527892	6774/6777	2
hsa04920	hsa04920	Adipocytokine signaling pathway	2/67	69/8586	0.100904657894136	5781/6774	2
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	2/67	70/8586	0.103368304713399	5781/6714	2
hsa05223	hsa05223	Non-small cell lung cancer	2/67	72/8586	0.108345083468335	6774/6777	2
hsa04623	hsa04623	Cytosolic DNA-sensing pathway	2/67	75/8586	0.115928045603163	51082/10623	2
hsa05220	hsa05220	Chronic myeloid leukemia	2/67	76/8586	0.118485567901925	5781/6777	2
hsa05100	hsa05100	Bacterial invasion of epithelial cells	2/67	77/8586	0.1210573954958	3611/6714	2
hsa00910	hsa00910	Nitrogen metabolism	1/67	17/8586	0.124800003242545	2752	1
hsa01521	hsa01521	EGFR tyrosine kinase inhibitor resistance	2/67	79/8586	0.126242491014553	6714/6774	2
hsa00511	hsa00511	Other glycan degradation	1/67	18/8586	0.131643088758095	4123	1
hsa04146	hsa04146	Peroxisome	2/67	83/8586	0.136768377482373	10654/6648	2
hsa04630	hsa04630	JAK-STAT signaling pathway	3/67	166/8586	0.139569391773507	5781/6774/6777	3
hsa01232	hsa01232	Nucleotide metabolism	2/67	85/8586	0.14210358203437	100/271	2
hsa04727	hsa04727	GABAergic synapse	2/67	89/8586	0.152905084665885	2752/6714	2
hsa00220	hsa00220	Arginine biosynthesis	1/67	22/8586	0.158492286922461	2752	1
hsa04658	hsa04658	Th1 and Th2 cell differentiation	2/67	92/8586	0.161110786758859	6777/7535	2
hsa00900	hsa00900	Terpenoid backbone biosynthesis	1/67	23/8586	0.165075777905202	10654	1
hsa04977	hsa04977	Vitamin digestion and absorption	1/67	24/8586	0.171608526110311	4363	1
hsa03015	hsa03015	mRNA surveillance pathway	2/67	97/8586	0.174961584281523	5500/29101	2
hsa04750	hsa04750	Inflammatory mediator regulation of TRP channels	2/67	98/8586	0.177755292684375	5500/6714	2
hsa04933	hsa04933	AGE-RAGE signaling pathway in diabetic complications	2/67	100/8586	0.183363993156211	6774/6777	2
hsa04062	hsa04062	Chemokine signaling pathway	3/67	192/8586	0.188749006388087	6714/6774/6777	3
hsa00650	hsa00650	Butanoate metabolism	1/67	27/8586	0.190906151913286	7915	1
hsa05167	hsa05167	Kaposi sarcoma-associated herpesvirus infection	3/67	194/8586	0.192709271324065	54205/6714/6774	3
hsa04625	hsa04625	C-type lectin receptor signaling pathway	2/67	104/8586	0.194658918624197	5781/6714	2
hsa03013	hsa03013	Nucleocytoplasmic transport	2/67	108/8586	0.20604325131268	6613/84321	2
hsa00020	hsa00020	Citrate cycle (TCA cycle)	1/67	30/8586	0.209760789100751	48	1
hsa01523	hsa01523	Antifolate resistance	1/67	30/8586	0.209760789100751	4363	1
hsa04510	hsa04510	Focal adhesion	3/67	203/8586	0.210785777449966	3611/5500/6714	3
hsa05203	hsa05203	Viral carcinogenesis	3/67	204/8586	0.212818213987636	6714/6774/6777	3
hsa05145	hsa05145	Toxoplasmosis	2/67	111/8586	0.214630542020153	54205/6774	2
hsa04215	hsa04215	Apoptosis - multiple species	1/67	32/8586	0.2220893990769	54205	1
hsa01210	hsa01210	2-Oxocarboxylic acid metabolism	1/67	33/8586	0.228182456156845	48	1
hsa05207	hsa05207	Chemical carcinogenesis - receptor activation	3/67	212/8586	0.229230365908287	6714/6774/6777	3
hsa04710	hsa04710	Circadian rhythm	1/67	34/8586	0.234228495609375	8454	1
hsa03040	hsa03040	Spliceosome	3/67	216/8586	0.237528936663101	10450/55119/84321	3
hsa04935	hsa04935	Growth hormone synthesis, secretion and action	2/67	120/8586	0.24057744581385	6774/6777	2
hsa04919	hsa04919	Thyroid hormone signaling pathway	2/67	121/8586	0.243472811333128	6548/6714	2
hsa00040	hsa00040	Pentose and glucuronate interconversions	1/67	36/8586	0.246180948398959	51084	1
hsa04611	hsa04611	Platelet activation	2/67	124/8586	0.252168373476539	5500/6714	2
hsa05208	hsa05208	Chemical carcinogenesis - reactive oxygen species	3/67	223/8586	0.252178517200995	5781/6648/6714	3
hsa05163	hsa05163	Human cytomegalovirus infection	3/67	225/8586	0.256390494218344	54205/6714/6774	3
hsa00260	hsa00260	Glycine, serine and threonine metabolism	1/67	40/8586	0.269537188201989	26227	1
hsa04714	hsa04714	Thermogenesis	3/67	232/8586	0.271210783428024	57492/51780/6599	3
hsa04068	hsa04068	FoxO signaling pathway	2/67	131/8586	0.272488537188342	6648/6774	2
hsa04114	hsa04114	Oocyte meiosis	2/67	131/8586	0.272488537188342	8454/5500	2
hsa05219	hsa05219	Bladder cancer	1/67	41/8586	0.275263961942975	6714	1
hsa04650	hsa04650	Natural killer cell mediated cytotoxicity	2/67	132/8586	0.275392206497936	5781/7535	2
hsa00071	hsa00071	Fatty acid degradation	1/67	43/8586	0.28658514830745	128	1
hsa00860	hsa00860	Porphyrin metabolism	1/67	43/8586	0.28658514830745	124454	1
hsa04210	hsa04210	Apoptosis	2/67	136/8586	0.28700190071318	839/54205	2
hsa04910	hsa04910	Insulin signaling pathway	2/67	137/8586	0.289902251582398	5500/5573	2
hsa05135	hsa05135	Yersinia infection	2/67	137/8586	0.289902251582398	6714/7535	2
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	1/67	44/8586	0.29218023142385	84516	1
hsa05418	hsa05418	Fluid shear stress and atherosclerosis	2/67	139/8586	0.295699343745061	6714/6613	2
hsa02010	hsa02010	ABC transporters	1/67	45/8586	0.297732083975313	4363	1
hsa05132	hsa05132	Salmonella infection	3/67	249/8586	0.307569925474654	55845/54205/84516	3
hsa00280	hsa00280	Valine, leucine and isoleucine degradation	1/67	48/8586	0.314131535927752	27034	1
hsa00330	hsa00330	Arginine and proline metabolism	1/67	50/8586	0.324854317335324	5033	1
hsa01240	hsa01240	Biosynthesis of cofactors	2/67	153/8586	0.336050477549863	124454/57026	2
hsa04261	hsa04261	Adrenergic signaling in cardiomyocytes	2/67	154/8586	0.338911558235982	5500/6548	2
hsa04921	hsa04921	Oxytocin signaling pathway	2/67	154/8586	0.338911558235982	5500/6714	2
hsa04218	hsa04218	Cellular senescence	2/67	156/8586	0.344623102195264	5481/5500	2
hsa05160	hsa05160	Hepatitis C	2/67	158/8586	0.350319708325943	54205/6774	2
hsa04340	hsa04340	Hedgehog signaling pathway	1/67	56/8586	0.356041598981972	8454	1
hsa05134	hsa05134	Legionellosis	1/67	56/8586	0.356041598981972	54205	1
hsa00480	hsa00480	Glutathione metabolism	1/67	57/8586	0.361099654417869	9588	1
hsa05213	hsa05213	Endometrial cancer	1/67	58/8586	0.366118569080081	3611	1
hsa04370	hsa04370	VEGF signaling pathway	1/67	59/8586	0.371098641297674	6714	1
hsa05416	hsa05416	Viral myocarditis	1/67	60/8586	0.376040167160587	54205	1
hsa05225	hsa05225	Hepatocellular carcinoma	2/67	168/8586	0.378547898029511	57492/6599	2
hsa04213	hsa04213	Longevity regulating pathway - multiple species	1/67	61/8586	0.380943440536172	6648	1
hsa04141	hsa04141	Protein processing in endoplasmic reticulum	2/67	170/8586	0.384136831338195	8454/51465	2
hsa04310	hsa04310	Wnt signaling pathway	2/67	174/8586	0.395251950371404	27101/8454	2
hsa05321	hsa05321	Inflammatory bowel disease	1/67	65/8586	0.400179809638307	6774	1
hsa00970	hsa00970	Aminoacyl-tRNA biosynthesis	1/67	66/8586	0.404896151940177	124454	1
