	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP3303	WP3303	RAC1/PAK1/p38/MMP2 pathway	5/88	68/8701	0.000596148768002797	4690/5781/6714/6774/6777	5
WP2037	WP2037	Prolactin signaling pathway	5/88	76/8701	0.00099179539555998	5781/6714/6774/6777/7535	5
WP2203	WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	4/88	47/8701	0.00125061495655349	5781/6714/6774/6777	4
WP3888	WP3888	VEGFA-VEGFR2 signaling	12/88	432/8701	0.00127659451329543	54205/170506/6624/55692/4690/7001/9588/5781/5954/6648/6714/6774	12
WP4585	WP4585	Cancer immunotherapy by PD-1 blockade	3/88	23/8701	0.00152937222874757	5781/6774/7535	3
WP286	WP286	IL-3 signaling pathway	4/88	50/8701	0.00157801281147113	5781/6714/6774/6777	4
WP4298	WP4298	Acute viral myocarditis	5/88	86/8701	0.00172766213684066	839/54205/3611/6714/6774	5
WP581	WP581	EPO receptor signaling	3/88	26/8701	0.00219667897036082	6714/6774/6777	3
WP304	WP304	Kit receptor signaling pathway	4/88	59/8701	0.0029107432030094	5781/6714/6774/6777	4
WP4204	WP4204	Tumor suppressor activity of SMARCB1	3/88	31/8701	0.00366196719631781	57492/5977/6599	3
WP5362	WP5362	TAR syndrome	4/88	63/8701	0.00369478446518873	9112/10623/6774/6613	4
WP5312	WP5312	Metabolic pathways of fibroblasts	3/88	32/8701	0.00401151884229235	5033/26227/871	3
WP2374	WP2374	Oncostatin M signaling pathway	4/88	65/8701	0.00413584461362384	5781/6714/6774/6777	4
WP3594	WP3594	Circadian rhythm genes	7/88	201/8701	0.00413588210335001	100/8454/50865/56339/9112/5500/55269	7
WP2324	WP2324	AGE/RAGE pathway	4/88	66/8701	0.00436917324461149	54205/6714/6774/6777	4
WP313	WP313	Hepatocyte growth factor receptor signaling	3/88	34/8701	0.0047698825859052	5781/6714/6774	3
WP2572	WP2572	Primary focal segmental glomerulosclerosis (FSGS)	4/88	72/8701	0.00595765957532001	977/3611/4288/4690	4
WP437	WP437	EGF/EGFR signaling pathway	6/88	163/8701	0.00603072351848332	4690/5037/5781/6714/6774/6777	6
