	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP5287	WP5287	17q12 copy number variation syndrome	6/58	101/8701	5.23391163966268e-05	26574/51755/84311/54475/9349/8148	6
WP4686	WP4686	Leucine, isoleucine and valine metabolism	3/58	24/8701	0.000515095759259627	38/1892/64087	3
WP411	WP411	mRNA processing	5/58	126/8701	0.00145884017083208	10978/1477/9410/6429/6431	5
WP391	WP391	Mitochondrial gene expression	2/58	19/8701	0.0069434121855657	51106/64216	2
WP465	WP465	Tryptophan metabolism	2/58	33/8701	0.0201996675532588	38/1892	2
WP143	WP143	Fatty acid beta-oxidation	2/58	34/8701	0.0213713592827893	38/1892	2
WP5355	WP5355	Metabolic Epileptic Disorders	3/58	91/8701	0.0225773649234152	38/1892/292	3
WP4844	WP4844	Influence of laminopathies on Wnt signaling	2/58	37/8701	0.0250510415866083	27161/860	2
WP2263	WP2263	Androgen receptor network in prostate cancer	3/58	110/8701	0.0367252349546192	86/1398/5591	3
WP1541	WP1541	Energy metabolism	2/58	48/8701	0.0405039836195458	51106/64216	2
WP3959	WP3959	DNA IR-double strand breaks and cellular response via ATM	2/58	55/8701	0.0517774812114222	86/5591	2
WP560	WP560	TGF-beta receptor signaling	2/58	55/8701	0.0517774812114222	860/864	2
WP4879	WP4879	Overlap between signal transduction pathways contributing to LMNA laminopathies	2/58	57/8701	0.0551830591331615	27161/860	2
WP4205	WP4205	MET in type 1 papillary renal cell carcinoma	2/58	59/8701	0.0586657961245057	1398/5546	2
WP4816	WP4816	TGF-beta receptor signaling in skeletal dysplasias	2/58	59/8701	0.0586657961245057	860/864	2
WP438	WP438	Non-homologous end joining	1/58	10/8701	0.06472708041582	5591	1
WP4846	WP4846	SARS-CoV-2 and COVID-19 pathway	1/58	10/8701	0.06472708041582	38	1
WP474	WP474	Endochondral ossification	2/58	63/8701	0.0658525127636665	860/864	2
WP4808	WP4808	Endochondral ossification with skeletal dysplasias	2/58	63/8701	0.0658525127636665	860/864	2
WP5233	WP5233	Arsenic metabolism and reactive oxygen species generation	1/58	11/8701	0.0709686900506006	28958	1
WP1425	WP1425	Bone morphogenic protein signaling and regulation	1/58	12/8701	0.0771693593229905	860	1
WP3892	WP3892	Development of pulmonary dendritic cells and macrophage subsets	1/58	13/8701	0.0833293520907736	860	1
WP4190	WP4190	Mevalonate arm of cholesterol biosynthesis pathway	1/58	13/8701	0.0833293520907736	38	1
WP5356	WP5356	Disturbed pathways in Duchenne Muscular Dystrophy	2/58	74/8701	0.0869946486946108	3313/292	2
WP4240	WP4240	Regulation of sister chromatid separation at the metaphase-anaphase transition	1/58	15/8701	0.0955283552021912	29882	1
WP5152	WP5152	Iron-sulfur cluster biogenesis	1/58	15/8701	0.0955283552021912	3313	1
WP5205	WP5205	Clock-controlled autophagy in bone metabolism	2/58	80/8701	0.0992765860054863	860/10131	2
WP2916	WP2916	Interactome of polycomb repressive complex 2 (PRC2) 	1/58	16/8701	0.101567884951014	22823	1
WP3644	WP3644	NAD+ metabolism	1/58	16/8701	0.101567884951014	64802	1
WP4210	WP4210	Tryptophan catabolism leading to NAD+ production	1/58	16/8701	0.101567884951014	64802	1
WP4921	WP4921	Mitochondrial complex III assembly	1/58	16/8701	0.101567884951014	90624	1
WP3859	WP3859	TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	1/58	17/8701	0.107567777026182	860	1
WP4022	WP4022	Pyrimidine metabolism	2/58	84/8701	0.1077210213114	4832/29922	2
WP3640	WP3640	Imatinib and chronic myeloid leukemia	1/58	20/8701	0.125332175215765	4839	1
WP4884	WP4884	Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex	1/58	21/8701	0.131176056547119	55922	1
WP357	WP357	Fatty acid biosynthesis	1/58	22/8701	0.136981562160053	1892	1
WP3645	WP3645	NAD+ biosynthetic pathways	1/58	22/8701	0.136981562160053	64802	1
WP3668	WP3668	Hypothesized pathways in pathogenesis of cardiovascular disease	1/58	25/8701	0.154170292989456	860	1
WP4521	WP4521	Glycosylation and related congenital defects	1/58	25/8701	0.154170292989456	79796	1
WP4532	WP4532	Intraflagellar transport proteins binding to dynein	1/58	27/8701	0.16544206620934	8655	1
WP2361	WP2361	Gastric cancer network 1	1/58	28/8701	0.171022462815272	86	1
WP5351	WP5351	Kleefstra syndrome	1/58	29/8701	0.176566184382978	86	1
WP4204	WP4204	Tumor suppressor activity of SMARCB1	1/58	31/8701	0.187544548227204	86	1
WP4752	WP4752	Base excision repair	1/58	31/8701	0.187544548227204	4350	1
WP4787	WP4787	Osteoblast differentiation and related diseases	2/58	119/8701	0.187993049357115	5591/860	2
WP179	WP179	Cell cycle	2/58	120/8701	0.190405950714041	29882/5591	2
WP4946	WP4946	DNA repair pathways, full network	2/58	120/8701	0.190405950714041	4350/5591	2
WP2839	WP2839	Hair follicle development: organogenesis - part 2 of 3	1/58	32/8701	0.192979659669283	860	1
WP313	WP313	Hepatocyte growth factor receptor signaling	1/58	34/8701	0.203742903366548	1398	1
WP3971	WP3971	OSX and miRNAs in tooth development	1/58	34/8701	0.203742903366548	860	1
WP4241	WP4241	Type 2 papillary renal cell carcinoma	1/58	34/8701	0.203742903366548	5546	1
WP4922	WP4922	Mitochondrial complex IV assembly	1/58	34/8701	0.203742903366548	28958	1
WP5202	WP5202	Alstrom syndrome	1/58	34/8701	0.203742903366548	6811	1
WP5406	WP5406	13q12.12 copy number variation	1/58	34/8701	0.203742903366548	4285	1
WP4657	WP4657	22q11.2 copy number variation syndrome	2/58	130/8701	0.214750708753644	8479/64976	2
WP4673	WP4673	Male infertility	2/58	145/8701	0.251763620062917	27161/8812	2
WP2332	WP2332	Interleukin-11 signaling pathway	1/58	44/8701	0.255478530600314	860	1
WP314	WP314	Fas ligand pathway and stress induction of heat shock proteins	1/58	44/8701	0.255478530600314	5591	1
WP5085	WP5085	Vasopressin-regulated water reabsorption	1/58	44/8701	0.255478530600314	8655	1
WP3878	WP3878	ATM signaling in development and disease 	1/58	45/8701	0.260466661041018	5591	1
WP4312	WP4312	Rett syndrome causing genes	1/58	48/8701	0.275234819261302	1398	1
WP5373	WP5373	Role of hypoxia, angiogenesis, and FGF pathway in OA chondrocyte hypertrophy	1/58	50/8701	0.284918838937636	860	1
WP3286	WP3286	Copper homeostasis	1/58	53/8701	0.299206896614356	22823	1
WP5144	WP5144	NRP1-triggered signaling pathways in pancreatic cancer 	1/58	54/8701	0.303906942867405	1105	1
