	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa04142	hsa04142	Lysosome	12/92	132/8586	1.34412500332071e-08	427/537/9114/51606/967/1212/1511/1522/2548/10577/5660/6448	12
hsa04145	hsa04145	Phagosome	10/92	152/8586	4.67698759191514e-06	537/9114/51606/11151/1536/3684/3688/3689/4688/7277	10
hsa04670	hsa04670	Leukocyte transendothelial migration	8/92	115/8586	2.96084843771483e-05	998/1536/2771/3684/3688/3689/4318/4688	8
hsa05135	hsa05135	Yersinia infection	8/92	137/8586	0.000103259390811457	10109/998/2776/3688/5604/5585/391/7454	8
hsa04015	hsa04015	Rap1 signaling pathway	9/92	210/8586	0.000395377136919684	998/2771/2776/2778/3684/3688/3689/5604/5899	9
hsa05152	hsa05152	Tuberculosis	8/92	180/8586	0.000663001266618767	537/9114/51606/11151/2207/3684/3689/4802	8
hsa04810	hsa04810	Regulation of actin cytoskeleton	9/92	229/8586	0.000740844461433033	10109/55845/998/8826/3684/3688/3689/5604/7114	9
hsa05146	hsa05146	Amoebiasis	6/92	102/8586	0.000757729303984483	1511/2776/2778/3684/3689/5273	6
hsa04613	hsa04613	Neutrophil extracellular trap formation	8/92	191/8586	0.000977273933627117	1511/1536/1991/3684/3689/5604/4688/23569	8
hsa05100	hsa05100	Bacterial invasion of epithelial cells	5/92	77/8586	0.00136270117453046	10109/998/1212/3688/391	5
hsa05140	hsa05140	Leishmaniasis	5/92	77/8586	0.00136270117453046	1536/3684/3688/3689/4688	5
hsa04071	hsa04071	Sphingolipid signaling pathway	6/92	121/8586	0.00183884507977243	427/91012/2207/2771/2776/5604	6
hsa05110	hsa05110	Vibrio cholerae infection	4/92	50/8586	0.00195120496293583	537/9114/51606/2778	4
hsa04540	hsa04540	Gap junction	5/92	88/8586	0.00246411522833695	2771/2776/2778/5604/7277	5
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	5/92	97/8586	0.00375976669250817	10109/998/5604/5788/7454	5
hsa04730	hsa04730	Long-term depression	4/92	60/8586	0.0038090384024272	2771/2776/2778/5604	4
hsa05132	hsa05132	Salmonella infection	8/92	249/8586	0.00510115330411419	10109/55845/998/5604/5585/5788/391/7277	8
hsa04144	hsa04144	Endocytosis	8/92	250/8586	0.00522427866062282	10109/998/57132/1212/9798/11021/9135/51100	8
hsa04664	hsa04664	Fc epsilon RI signaling pathway	4/92	68/8586	0.00596203741087549	240/241/2207/5604	4
hsa00500	hsa00500	Starch and sucrose metabolism	3/92	36/8586	0.00658337753274023	2548/2821/3098	3
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	4/92	70/8586	0.0066047486427225	537/9114/51606/998	4
hsa04726	hsa04726	Serotonergic synapse	5/92	115/8586	0.00770593406050647	240/2771/2776/2778/5604	5
hsa05133	hsa05133	Pertussis	4/92	76/8586	0.00880432561901656	2771/3684/3688/3689	4
hsa05219	hsa05219	Bladder cancer	3/92	41/8586	0.00945848652856279	5604/4318/9252	3
hsa04530	hsa04530	Tight junction	6/92	170/8586	0.00967342972371133	10109/998/3688/51762/7277/7454	6
hsa04611	hsa04611	Platelet activation	5/92	124/8586	0.0104895848150418	2207/2771/2776/2778/3688	5
hsa04915	hsa04915	Estrogen signaling pathway	5/92	137/8586	0.015625212046712	2771/2776/2778/5604/4318	5
hsa05131	hsa05131	Shigellosis	7/92	247/8586	0.0165033838802204	10109/824/831/998/3098/3688/9252	7
hsa04520	hsa04520	Adherens junction	4/92	93/8586	0.017473140909405	998/8826/5795/7454	4
hsa04912	hsa04912	GnRH signaling pathway	4/92	93/8586	0.017473140909405	998/2776/2778/5604	4
hsa04970	hsa04970	Salivary secretion	4/92	93/8586	0.017473140909405	683/2776/2778/4069	4
hsa05323	hsa05323	Rheumatoid arthritis	4/92	93/8586	0.017473140909405	537/9114/51606/3689	4
hsa04961	hsa04961	Endocrine and other factor-regulated calcium reabsorption	3/92	53/8586	0.0189618507971023	1212/2776/2778	3
hsa00600	hsa00600	Sphingolipid metabolism	3/92	54/8586	0.0199246855301721	427/91012/5660	3
hsa04713	hsa04713	Circadian entrainment	4/92	97/8586	0.0200802914290211	2771/2776/2778/9252	4
hsa05134	hsa05134	Legionellosis	3/92	56/8586	0.0219301847291878	3684/3689/81876	3
hsa05205	hsa05205	Proteoglycans in cancer	6/92	205/8586	0.0224749904894732	967/998/8826/3688/5604/4318	6
hsa04916	hsa04916	Melanogenesis	4/92	101/8586	0.0229158546449042	2771/2776/2778/5604	4
hsa04614	hsa04614	Renin-angiotensin system	2/92	23/8586	0.024829172085115	1511/5547	2
hsa04928	hsa04928	Parathyroid hormone synthesis, secretion and action	4/92	106/8586	0.026788155596324	2771/2776/2778/5604	4
hsa04514	hsa04514	Cell adhesion molecules	5/92	158/8586	0.0270680876761863	965/3684/3688/3689/5788	5
hsa04924	hsa04924	Renin secretion	3/92	69/8586	0.0375543243581643	2771/2776/2778	3
hsa05230	hsa05230	Central carbon metabolism in cancer	3/92	70/8586	0.0389401262558706	3098/5604/9123	3
hsa04935	hsa04935	Growth hormone synthesis, secretion and action	4/92	120/8586	0.0396167256496985	2771/2776/2778/5604	4
hsa00030	hsa00030	Pentose phosphate pathway	2/92	30/8586	0.0406839876329987	2821/7086	2
hsa05310	hsa05310	Asthma	2/92	31/8586	0.043192724097555	2207/6037	2
hsa00052	hsa00052	Galactose metabolism	2/92	32/8586	0.045757813048837	2548/3098	2
hsa04971	hsa04971	Gastric acid secretion	3/92	76/8586	0.0477935354220498	2771/2776/2778	3
hsa05212	hsa05212	Pancreatic cancer	3/92	76/8586	0.0477935354220498	998/5604/5899	3
hsa04926	hsa04926	Relaxin signaling pathway	4/92	129/8586	0.0494320072875348	2771/2778/5604/4318	4
hsa04721	hsa04721	Synaptic vesicle cycle	3/92	78/8586	0.0509466746152119	9114/51606/1212	3
hsa04062	hsa04062	Chemokine signaling pathway	5/92	192/8586	0.0548852172004132	998/2771/2776/5604/7454	5
hsa00190	hsa00190	Oxidative phosphorylation	4/92	134/8586	0.0554154560363664	537/9114/51606/64077	4
hsa04210	hsa04210	Apoptosis	4/92	136/8586	0.0579142248645925	824/1522/5604/7277	4
hsa01250	hsa01250	Biosynthesis of nucleotide sugars	2/92	37/8586	0.0593780598369266	2821/3098	2
hsa05130	hsa05130	Pathogenic Escherichia coli infection	5/92	198/8586	0.0610518912937989	10109/55845/998/3688/7277	5
hsa05165	hsa05165	Human papillomavirus infection	7/92	331/8586	0.0640698934971255	537/9114/51606/998/2778/3688/5604	7
hsa04610	hsa04610	Complement and coagulation cascades	3/92	86/8586	0.064535899680478	2162/3684/3689	3
hsa04072	hsa04072	Phospholipase D signaling pathway	4/92	148/8586	0.0741525289543605	2207/2778/5604/5899	4
hsa04657	hsa04657	IL-17 signaling pathway	3/92	94/8586	0.0796169101414829	4318/6279/6280	3
hsa04261	hsa04261	Adrenergic signaling in cardiomyocytes	4/92	154/8586	0.0830547909529691	2771/2776/2778/9252	4
hsa04921	hsa04921	Oxytocin signaling pathway	4/92	154/8586	0.0830547909529691	2771/2776/2778/5604	4
hsa04934	hsa04934	Cushing syndrome	4/92	155/8586	0.0845879376527146	2771/2776/2778/5604	4
hsa01522	hsa01522	Endocrine resistance	3/92	98/8586	0.0876839652800506	2778/5604/4318	3
hsa05231	hsa05231	Choline metabolism in cancer	3/92	98/8586	0.0876839652800506	5604/23446/7454	3
hsa04972	hsa04972	Pancreatic secretion	3/92	102/8586	0.0960829748218403	683/2776/2778	3
hsa05142	hsa05142	Chagas disease	3/92	102/8586	0.0960829748218403	2771/2776/2778	3
hsa00520	hsa00520	Amino sugar and nucleotide sugar metabolism	2/92	49/8586	0.0966556421327686	2821/3098	2
hsa05030	hsa05030	Cocaine addiction	2/92	49/8586	0.0966556421327686	2771/2778	2
