	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
GO:0005102	GO:0005102	signaling receptor binding	25/153	267/3981	2.08841713954907e-05	C3/CANX/CD58/CDC42/CNPY3/CTSG/DNAJB11/FCN1/GNAI2/GNAQ/GNAS/GRN/HCK/HSP90B1/ITGAM/LRPAP1/NSF/P4HB/PRTN3/S100A12/S100A8/S100A9/SDCBP/TLR2/TOLLIP	25
GO:0005509	GO:0005509	calcium ion binding	14/153	116/3981	0.000114645297038559	ANXA11/ANXA3/ANXA6/AOAH/CANX/GCA/HSP90B1/HSPA5/PADI4/PLS3/S100A12/S100A8/S100A9/TKT	14
GO:0004252	GO:0004252	serine-type endopeptidase activity	6/153	22/3981	0.000130783015654409	AZU1/CTSG/ELANE/HP/MMP9/PRTN3	6
GO:0048306	GO:0048306	calcium-dependent protein binding	6/153	23/3981	0.000171377910956518	ALG2/ANXA11/ANXA3/ANXA6/S100A11/S100P	6
GO:0005539	GO:0005539	glycosaminoglycan binding	7/153	37/3981	0.00042051245956671	ANXA6/AZU1/CTSG/ELANE/LRPAP1/MPO/TLR2	7
GO:0003925	GO:0003925	G protein activity	5/153	20/3981	0.000762351911516971	CDC42/RAB1B/RAB27A/RAB5B/RALB	5
GO:0005525	GO:0005525	GTP binding	14/153	141/3981	0.000888197202815825	ANXA6/ARL8A/ATL3/CDC42/EIF2B2/GNAI2/GNAQ/GNAS/RAB1B/RAB22A/RAB27A/RAB5B/RALB/RNGTT	14
GO:0001664	GO:0001664	G protein-coupled receptor binding	6/153	31/3981	0.000968694015254219	C3/FCN1/GNAI2/GNAQ/GNAS/SDCBP	6
GO:0031406	GO:0031406	carboxylic acid binding	7/153	43/3981	0.00108441782697068	ALOX5AP/FCN1/IGF2R/PSAP/S100A8/S100A9/SIGLEC5	7
GO:0019001	GO:0019001	guanyl nucleotide binding	14/153	144/3981	0.00109462682359256	ANXA6/ARL8A/ATL3/CDC42/EIF2B2/GNAI2/GNAQ/GNAS/RAB1B/RAB22A/RAB27A/RAB5B/RALB/RNGTT	14
GO:0032561	GO:0032561	guanyl ribonucleotide binding	14/153	144/3981	0.00109462682359256	ANXA6/ARL8A/ATL3/CDC42/EIF2B2/GNAI2/GNAQ/GNAS/RAB1B/RAB22A/RAB27A/RAB5B/RALB/RNGTT	14
GO:0008236	GO:0008236	serine-type peptidase activity	6/153	32/3981	0.00115494214967209	AZU1/CTSG/ELANE/HP/MMP9/PRTN3	6
GO:0033293	GO:0033293	monocarboxylic acid binding	5/153	22/3981	0.00121669646498582	ALOX5AP/IGF2R/PSAP/S100A8/S100A9	5
GO:0008289	GO:0008289	lipid binding	18/153	216/3981	0.00135616968617883	ALOX5AP/ANXA11/ANXA3/ANXA6/BPI/DENND1C/GGA3/HCK/IGF2R/NCF4/PSAP/RNASE3/S100A8/S100A9/SDCBP/SNX18/TEX2/TLR2	18
GO:0017171	GO:0017171	serine hydrolase activity	6/153	33/3981	0.0013674637728286	AZU1/CTSG/ELANE/HP/MMP9/PRTN3	6
GO:0008201	GO:0008201	heparin binding	5/153	24/3981	0.00184541537756534	AZU1/CTSG/ELANE/LRPAP1/MPO	5
GO:0043177	GO:0043177	organic acid binding	7/153	47/3981	0.00186061625528793	ALOX5AP/FCN1/IGF2R/PSAP/S100A8/S100A9/SIGLEC5	7
GO:0051787	GO:0051787	misfolded protein binding	4/153	16/3981	0.00265922475816363	DNAJB11/DNAJC3/HSPA5/SDF2L1	4
