	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa04145	hsa04145	Phagosome	13/89	152/8586	4.4277444542896e-09	537/9114/718/821/1536/3684/4353/4688/4689/5289/5869/10312/7097	13
hsa04142	hsa04142	Lysosome	12/89	132/8586	9.14436627126485e-09	26985/411/537/9114/967/1511/2581/23163/2760/3482/5660/10312	12
hsa04613	hsa04613	Neutrophil extracellular trap formation	11/89	191/8586	3.98504434403514e-06	566/718/1511/1536/1991/3684/4353/4688/4689/23569/7097	11
hsa05146	hsa05146	Amoebiasis	7/89	102/8586	8.4276518811392e-05	1511/2776/2778/3684/5869/5273/7097	7
hsa05152	hsa05152	Tuberculosis	9/89	180/8586	9.62515783574349e-05	537/9114/718/1051/3684/5289/5869/10312/7097	9
hsa05140	hsa05140	Leishmaniasis	6/89	77/8586	0.000137565307414279	718/1536/3684/4688/4689/7097	6
hsa04670	hsa04670	Leukocyte transendothelial migration	7/89	115/8586	0.000179355572319899	998/1536/2771/3684/4318/4688/4689	7
hsa05132	hsa05132	Salmonella infection	10/89	249/8586	0.000238461085236637	127829/10109/998/7184/5289/5585/5869/112574/7097/27072	10
hsa05417	hsa05417	Lipid and atherosclerosis	9/89	215/8586	0.000366592294278746	998/1536/7184/3309/4318/4688/4689/29110/7097	9
hsa04657	hsa04657	IL-17 signaling pathway	6/89	94/8586	0.000410466547813461	1051/7184/4318/6279/6280/29110	6
hsa04918	hsa04918	Thyroid hormone synthesis	5/89	75/8586	0.0010426532202683	821/2776/2778/7184/3309	5
hsa05110	hsa05110	Vibrio cholerae infection	4/89	50/8586	0.00172697323882415	537/9114/2778/10312	4
hsa04141	hsa04141	Protein processing in endoplasmic reticulum	7/89	170/8586	0.001858612458318	821/51726/5611/80331/7184/3309/5034	7
hsa05134	hsa05134	Legionellosis	4/89	56/8586	0.00262740635014018	718/3684/81876/7097	4
hsa05142	hsa05142	Chagas disease	5/89	102/8586	0.00404503096532108	718/2771/2776/2778/7097	5
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	4/89	70/8586	0.00587760121165936	537/9114/998/10312	4
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	3/89	44/8586	0.0104959738502217	2778/4905/5869	3
hsa04915	hsa04915	Estrogen signaling pathway	5/89	137/8586	0.0136941984824537	2771/2776/2778/7184/4318	5
hsa05135	hsa05135	Yersinia infection	5/89	137/8586	0.0136941984824537	10109/998/2776/5585/29110	5
hsa04144	hsa04144	Endocytosis	7/89	250/8586	0.0148220137978397	10109/998/57132/3482/57403/5869/30011	7
hsa04970	hsa04970	Salivary secretion	4/89	93/8586	0.0156453662149562	683/2776/2778/4069	4
hsa05323	hsa05323	Rheumatoid arthritis	4/89	93/8586	0.0156453662149562	537/9114/10312/7097	4
hsa00600	hsa00600	Sphingolipid metabolism	3/89	54/8586	0.0182564973402274	2581/2760/5660	3
