	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP3937	WP3937	Microglia pathogen phagocytosis pathway	6/101	40/8701	5.87496429007461e-06	1536/3055/3684/4688/4689/5289	6
WP5269	WP5269	Genetic causes of porto-sinusoidal vascular disease	5/101	37/8701	6.19291185700616e-05	998/1536/285203/4688/4689	5
WP3613	WP3613	Photodynamic therapy-induced unfolded protein response	4/101	27/8701	0.000244477729888187	51726/5611/7184/3309	4
WP5122	WP5122	Prostaglandin and leukotriene metabolism in senescence 	4/101	31/8701	0.000422991204450145	240/241/2776/2778	4
WP5321	WP5321	Prostaglandin and leukotriene metabolism in senescence 	4/101	34/8701	0.000607037304724785	240/241/2776/2778	4
WP2806	WP2806	Complement system	6/101	97/8701	0.000887939511461338	718/1991/2219/2771/5806/7097	6
WP4153	WP4153	Degradation pathway of sphingolipids, including diseases	3/101	17/8701	0.000917219520727355	2581/2760/5660	3
WP5158	WP5158	Urotensin-II-mediated signaling pathway	5/101	69/8701	0.00119094903485741	240/1536/4318/4688/4689	5
WP5323	WP5323	Fatty Acids and Lipoproteins Transport in Hepatocytes	12/101	382/8701	0.00150117050611373	215/26985/998/79958/375056/51449/5289/57403/5869/30011/112574/6653	12
WP2865	WP2865	IL1 and megakaryocytes in obesity	3/101	25/8701	0.00290042074650851	4318/6280/7097	3
WP3858	WP3858	Toll-like receptor signaling related to MyD88	3/101	31/8701	0.00539035908398254	29110/7097/54472	3
WP3945	WP3945	TYROBP causal network in microglia	4/101	62/8701	0.00569998697626161	718/3684/4688/10312	4
WP3624	WP3624	Lung fibrosis	4/101	64/8701	0.00637890536760953	23250/1051/4318/5806	4
WP5171	WP5171	Leukotriene metabolic pathway	2/101	13/8701	0.00957423062247241	240/241	2
WP5356	WP5356	Disturbed pathways in Duchenne Muscular Dystrophy	4/101	74/8701	0.010580440720441	1536/1991/4318/4353	4
WP5085	WP5085	Vasopressin-regulated water reabsorption	3/101	44/8701	0.0142498908732126	2778/4905/5869	3
WP554	WP554	ACE inhibitor pathway	2/101	17/8701	0.0161980956202096	10159/1511	2
WP4301	WP4301	Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells	2/101	18/8701	0.0180864293563055	5873/5869	2
WP2877	WP2877	Vitamin D receptor pathway	6/101	187/8701	0.0214196866724165	215/240/3684/5005/6279/6280	6
WP4300	WP4300	Extracellular vesicles in the crosstalk of cardiac cells	2/101	21/8701	0.024272116822966	967/4318	2
WP5346	WP5346	8p23.1 copy number variation syndrome	3/101	54/8701	0.0245647041348442	1475/4482/7097	3
WP4540	WP4540	Hippo signaling regulation pathways	4/101	98/8701	0.0269375107729272	998/2771/2776/2778	4
WP167	WP167	Eicosanoid synthesis	2/101	23/8701	0.028807692969959	240/241	2
WP4521	WP4521	Glycosylation and related congenital defects	2/101	25/8701	0.0336527716187018	440138/85365	2
WP5090	WP5090	Complement system in neuronal development and plasticity	4/101	107/8701	0.0355930581053935	23250/718/2219/3684	4
WP4352	WP4352	Ciliary landscape	6/101	215/8701	0.038710458619528	57136/25852/54994/5899/8732/2040	6
WP2032	WP2032	Thyroid stimulating hormone (TSH) signaling pathway	3/101	66/8701	0.0410523978884883	2771/2776/2778	3
WP5055	WP5055	Burn wound healing	4/101	113/8701	0.0421622201176962	4318/6282/6280/7097	4
WP4941	WP4941	GPR143 in melanocytes and retinal pigment epithelium cells	2/101	30/8701	0.0470133087060273	2776/2778	2
WP2880	WP2880	Glucocorticoid receptor pathway	3/101	70/8701	0.0475237476464145	241/6286/2040	3
WP4868	WP4868	Type I interferon induction and signaling during SARS-CoV-2 infection	2/101	31/8701	0.0498838569558234	29110/7097	2
WP5413	WP5413	IL-24 Signaling pathway	7/101	291/8701	0.0520982221887643	57085/1973/2203/7184/3309/3684/4318	7
WP3995	WP3995	Prion disease pathway	2/101	32/8701	0.0528162196644705	7184/3309	2
WP2817	WP2817	Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	2/101	33/8701	0.0558086068848567	1051/7392	2
WP4786	WP4786	Type I collagen synthesis in the context of osteogenesis imperfecta	2/101	33/8701	0.0558086068848567	375056/5034	2
WP4900	WP4900	Purinergic signaling	2/101	33/8701	0.0558086068848567	2771/2778	2
WP722	WP722	Serotonin HTR1 group and FOS pathway	2/101	37/8701	0.0683437287287235	2771/2776	2
WP524	WP524	G13 signaling pathway	2/101	39/8701	0.0749272395201979	998/5585	2
WP15	WP15	Selenium micronutrient network	3/101	86/8701	0.0779834300940851	240/241/4353	3
WP4290	WP4290	Metabolic reprogramming in colon cancer	2/101	42/8701	0.0851615474628914	9123/7086	2
WP2380	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	4/101	144/8701	0.0862046349429691	998/4688/4905/140885	4
WP2355	WP2355	Corticotropin-releasing hormone signaling pathway	3/101	92/8701	0.0911540800066609	2771/2776/2778	3
WP35	WP35	G protein signaling pathways	3/101	92/8701	0.0911540800066609	2771/2776/2778	3
WP4756	WP4756	Renin-angiotensin-aldosterone system (RAAS)	2/101	44/8701	0.0922061029591053	1511/2776	2
WP98	WP98	Prostaglandin synthesis and regulation	2/101	45/8701	0.0957905084437437	306/309	2
WP4754	WP4754	IL-18 signaling pathway	6/101	273/8701	0.0974069088022867	1051/2896/4318/4688/5585/5806	6
WP4666	WP4666	Hepatitis B infection	4/101	151/8701	0.0983902922213723	537/4318/29110/7097	4
WP2038	WP2038	Microtubule cytoskeleton regulation	2/101	46/8701	0.0994144505804179	998/2776	2
WP5283	WP5283	Chronic hyperglycemia impairment of neuron function	2/101	46/8701	0.0994144505804179	718/4318	2
WP536	WP536	Calcium regulation in cardiac cells	4/101	152/8701	0.100194142588512	309/2771/2776/2778	4
WP5347	WP5347	IL-26 signaling pathways	2/101	47/8701	0.103076551229712	4318/4353	2
WP4312	WP4312	Rett syndrome causing genes	2/101	48/8701	0.106775458343716	8892/3064	2
WP2815	WP2815	Mammary gland development pathway - Involution (Stage 4 of 4)	1/101	10/8701	0.110253213742654	4318	1
WP5104	WP5104	Acquired partial lipodystrophy / Barraquer-Simons syndrome	1/101	10/8701	0.110253213742654	718	1
WP107	WP107	Translation factors	2/101	50/8701	0.114278411777469	8892/1973	2
WP75	WP75	Toll-like receptor signaling pathway	3/101	103/8701	0.117485379189736	29110/7097/54472	3
WP4788	WP4788	Autosomal recessive osteopetrosis pathways	1/101	11/8701	0.120593154533356	10312	1
WP2864	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	2/101	53/8701	0.125776544439017	3309/5585	2
WP3888	WP3888	VEGFA-VEGFR2 signaling	8/101	432/8701	0.128292510659672	9114/998/1536/4688/5034/6386/23753/7086	8
WP2290	WP2290	RalA downstream regulated genes	1/101	12/8701	0.130814108663636	998	1
WP2272	WP2272	Pathogenic Escherichia coli infection	2/101	55/8701	0.133590109593582	10109/998	2
WP5348	WP5348	11p11.2 copy number variation syndrome 	2/101	56/8701	0.137537793042081	967/6386	2
WP1434	WP1434	Osteopontin signaling	1/101	13/8701	0.140917431833733	4318	1
WP3679	WP3679	Cell-type dependent selectivity of CCK2R signaling	1/101	13/8701	0.140917431833733	2776	1
WP4211	WP4211	Transcriptional cascade regulating adipogenesis	1/101	13/8701	0.140917431833733	1051	1
WP5314	WP5314	Lactate shuttle in glial cells	1/101	13/8701	0.140917431833733	9123	1
WP5153	WP5153	N-glycan biosynthesis	2/101	57/8701	0.141511222883921	440138/85365	2
WP5178	WP5178	Disorders of fructose metabolism	1/101	14/8701	0.150904464451688	2203	1
WP623	WP623	Oxidative phosphorylation	2/101	60/8701	0.153574972434981	537/10159	2
WP3	WP3	Transcriptional activation by NRF2 in response to phytochemicals	1/101	15/8701	0.160776531804097	1051	1
WP3853	WP3853	ERK pathway in Huntington's disease	1/101	15/8701	0.160776531804097	3064	1
WP2291	WP2291	Deregulation of Rab and Rab effector genes in bladder cancer	1/101	16/8701	0.17053494422498	5873	1
WP4962	WP4962	Airway smooth muscle cell contraction	1/101	16/8701	0.17053494422498	2776	1
WP2324	WP2324	AGE/RAGE pathway	2/101	66/8701	0.178254141028981	998/4318	2
WP4462	WP4462	Platelet-mediated interactions with vascular and circulating cells	1/101	17/8701	0.180180997262778	7097	1
WP4493	WP4493	Cells and molecules involved in local acute inflammatory response 	1/101	17/8701	0.180180997262778	718	1
WP4815	WP4815	Glycosaminoglycan degradation	1/101	17/8701	0.180180997262778	411	1
WP5372	WP5372	Involvement of δ-secretase in neurodegenerative diseases	1/101	17/8701	0.180180997262778	1051	1
WP4217	WP4217	Ebola virus infection in host	3/101	129/8701	0.188787276411051	998/29110/27072	3
WP3877	WP3877	MYD88 distinct input-output pathway	1/101	18/8701	0.189715971845512	7097	1
WP4936	WP4936	Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins	1/101	18/8701	0.189715971845512	8673	1
WP5033	WP5033	Genes associated with the development of rheumatoid arthritis	1/101	18/8701	0.189715971845512	23569	1
WP5174	WP5174	Ulcerative colitis signaling	1/101	18/8701	0.189715971845512	7097	1
WP3915	WP3915	Angiopoietin-like protein 8 regulatory pathway	3/101	132/8701	0.197647720318091	2203/2319/5289	3
WP4478	WP4478	LTF danger signal response pathway	1/101	19/8701	0.199141134444107	7097	1
WP4863	WP4863	Host-pathogen interaction of human coronaviruses - autophagy	1/101	19/8701	0.199141134444107	5289	1
WP5238	WP5238	Cholestasis	1/101	19/8701	0.199141134444107	2052	1
WP734	WP734	Serotonin receptor 4/6/7 and NR3C signaling	1/101	19/8701	0.199141134444107	2778	1
