	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
WP3945	WP3945	TYROBP causal network in microglia	7/96	62/8701	4.78494560846374e-06	23307/3684/3689/4688/10577/170954/107987457	7
WP5122	WP5122	Prostaglandin and leukotriene metabolism in senescence 	5/96	31/8701	1.99325662289953e-05	240/241/2776/2778/4048	5
WP5321	WP5321	Prostaglandin and leukotriene metabolism in senescence 	5/96	34/8701	3.17997893732207e-05	240/241/2776/2778/4048	5
WP3937	WP3937	Microglia pathogen phagocytosis pathway	5/96	40/8701	7.13681313977596e-05	1536/2207/3684/3689/4688	5
WP185	WP185	Integrin-mediated cell adhesion	7/96	102/8701	0.000125543899251283	824/23473/998/3684/3688/3689/5604	7
WP3888	WP3888	VEGFA-VEGFR2 signaling	14/96	432/8701	0.000255201163372288	9114/682/824/998/1536/8826/3688/5604/4688/5034/5795/9252/7086/7114	14
WP2272	WP2272	Pathogenic Escherichia coli infection	5/96	55/8701	0.000331158673975096	10109/998/3688/7277/7454	5
WP5171	WP5171	Leukotriene metabolic pathway	3/96	13/8701	0.000343585868861173	240/241/4048	3
WP5314	WP5314	Lactate shuttle in glial cells	3/96	13/8701	0.000343585868861173	3098/9123/6515	3
WP2806	WP2806	Complement system	6/96	97/8701	0.000679150406035582	1991/2162/2219/2771/3689/7454	6
WP5269	WP5269	Genetic causes of porto-sinusoidal vascular disease	4/96	37/8701	0.000695332902815731	998/1536/285203/4688	4
WP722	WP722	Serotonin HTR1 group and FOS pathway	4/96	37/8701	0.000695332902815731	2771/2776/5604/9252	4
WP524	WP524	G13 signaling pathway	4/96	39/8701	0.000851490917780319	998/8826/5585/7454	4
WP2380	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	7/96	144/8701	0.00102612648055568	998/1808/5604/4688/391/9252/140885	7
WP734	WP734	Serotonin receptor 4/6/7 and NR3C signaling	3/96	19/8701	0.00110951335955741	2778/5604/9252	3
WP98	WP98	Prostaglandin synthesis and regulation	4/96	45/8701	0.00146654113840734	306/308/309/6277	4
WP167	WP167	Eicosanoid synthesis	3/96	23/8701	0.00196405174594701	240/241/4048	3
WP2355	WP2355	Corticotropin-releasing hormone signaling pathway	5/96	92/8701	0.00339854042917203	2771/2776/2778/3848/5604	5
WP4721	WP4721	Eicosanoid metabolism via lipooxygenases (LOX)	3/96	29/8701	0.00386314406878666	30/240/4048	3
WP5413	WP5413	IL-24 Signaling pathway	9/96	291/8701	0.00469525734901471	308/682/1973/3684/3848/4318/5788/6277/10652	9
WP2032	WP2032	Thyroid stimulating hormone (TSH) signaling pathway	4/96	66/8701	0.00594969646916696	2771/2776/2778/5604	4
WP5394	WP5394	UDP-derived sugars synthesis in fibroblasts	2/96	11/8701	0.00621016709661712	2821/3098	2
WP51	WP51	Regulation of actin cytoskeleton	6/96	151/8701	0.0063640173655579	55845/998/8826/5604/7114/7454	6
