node	layer	module	flow	log_flow	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_logFC	GRN_AveExpr	GRN_t	GRN_P.Value	GRN_adj.P.Val	GRN_B	GRN_eigenvalue	GRN_Page_Rank	GRN_degree	GRN_closeness	GRN_betweenness	GRN_size	GRN_nes	GRN_pval	GRN_pval.fdr	GRN_TF	Metabolism_pvalue	Metabolism_mean.diff
41868	3	8	0.00117868	6.74336011072164	GNB1	0.3147955	8.81E-09	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
35250	1	53	0.00107027	6.83984432589121	frag_76935	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
56020	4	32	0.00106546	6.84434864819082	SLC7A6	0	1	0.5159782	5.478138	2.212979	0.03267669	0.1965584	-3.7368	-40.25684	-8.847671	1	0	0	0	0	1	1	Gene	NA	NA
54296	3	8	0.00102486	6.88319926108625	PRKACA	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
55241	3	30	0.000967997	6.94028156986605	RPS27A	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
6494	1	43	0.000957331	6.95136135379314	frag_229055	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
57497	3	30	0.000930003	6.98032274601572	UBA52	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54297	3	8	0.000862101	7.05613812479083	PRKACB	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54298	3	8	0.000854184	7.06536393070869	PRKACG	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
53823	3	7	0.000802248	7.12809277096589	PIK3CA	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
57505	3	30	0.000791151	7.14202171081727	UBB	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
57506	3	30	0.000789467	7.14415252374888	UBC	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
7452	1	72	0.000787402	7.14677163945278	frag_241277	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
18274	1	50	0.000785966	7.14859702346813	frag_410114	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
56258	3	29	0.000772995	7.16523797770308	SP1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
38289	3	8	0.000748526	7.19740461856893	ARRB2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
14725	1	76	0.000744674	7.2025640192451	frag_342389	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
40937	3	15	0.00073212	7.21956612301251	EP300	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
9383	1	61	0.000726764	7.22690875486495	frag_268169	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
41884	3	8	0.000724742	7.2296948285125	GNGT1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
38288	3	8	0.000717145	7.24023250629047	ARRB1	0	1	0.9019312	0.08342045	3.891632	0.0003685498	0.04897842	0.1204401	-8.843091	-8.847671	1	0	0	0	0	1	1	Gene	NA	NA
41882	3	8	0.000692835	7.27471868236164	GNG7	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
16378	1	85	0.000684494	7.28683067879647	frag_376035	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
41878	3	4	0.000672081	7.30513168899068	GNG2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
50442	4	78	0.00066881	7.31001054415245	MAR09491	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
56019	4	32	0.00064546	7.34554731706472	SLC7A5	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
2743	1	98	0.000643501	7.34858697692775	frag_149445	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
54645	3	20	0.000643223	7.34901908203238	RAC1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
41877	3	8	0.0006348	7.36220056931202	GNG13	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
12212	1	105	0.000608753	7.4040979554482	frag_297832	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
40044	3	31	0.000606689	7.40749425405232	CTNNB1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
55773	4	47	0.00060509	7.41013335066657	SLC15A1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
5370	1	111	0.000602222	7.41488440987056	frag_210626	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
28751	1	38	0.000598459	7.42115253990761	frag_618316	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
17499	1	112	0.000597399	7.42292532610399	frag_392982	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
53932	3	28	0.000594209	7.42827944863512	PLCG1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
55774	4	47	0.000577478	7.45684021153206	SLC15A2	0	1	-0.0229454	-7.459638	-0.08451931	0.9330658	0.9715624	-5.92853	-6.503507	-8.847671	1	0	0	0	0	1	1	Gene	NA	NA
30863	1	118	0.000575795	7.45975886339459	frag_664967	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
42048	3	8	0.000574796	7.46149536272586	GRK2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
53828	3	7	0.000568853	7.47188850519444	PIK3R1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
76	1	115	0.000568182	7.47306876803225	frag_101022	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
25910	1	117	0.000566244	7.47648547724966	frag_580713	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
