A	B
MAR04837	H2O[e]
MAR04837	trehalose[e]
MAR04837	glucose[e]
MAR04004	ADP[m]
MAR04004	AMP[m]
MAR04004	ATP[m]
MAR04495	glucosamine[c]
MAR04495	ITP[c]
MAR04495	glucosamine-6-phosphate[c]
MAR04495	H+[c]
MAR04495	IDP[c]
MAR04496	dATP[c]
MAR04496	glucosamine[c]
MAR04496	dADP[c]
MAR04496	glucosamine-6-phosphate[c]
MAR04496	H+[c]
MAR06616	dADP[n]
MAR06616	dTTP[n]
MAR06616	dATP[n]
MAR06616	dTDP[n]
MAR07801	ADP[m]
MAR07801	GDP[m]
MAR07801	AMP[m]
MAR07801	GTP[m]
MAR07882	ADP[n]
MAR07882	GTP[n]
MAR07882	ATP[n]
MAR07882	GDP[n]
MAR07884	ADP[n]
MAR07884	UTP[n]
MAR07884	ATP[n]
MAR07884	UDP[n]
MAR07885	ADP[n]
MAR07885	CTP[n]
MAR07885	ATP[n]
MAR07885	CDP[n]
MAR07887	ADP[n]
MAR07887	dTTP[n]
MAR07887	ATP[n]
MAR07887	dTDP[n]
MAR07888	ADP[n]
MAR07888	dGTP[n]
MAR07888	ATP[n]
MAR07888	dGDP[n]
MAR07891	ADP[n]
MAR07891	dCTP[n]
MAR07891	ATP[n]
MAR07891	dCDP[n]
MAR07892	ADP[n]
MAR07892	dATP[n]
MAR07892	ATP[n]
MAR07892	dADP[n]
MAR06969	H2O[c]
MAR06969	N-acetyl-L-asparagine[c]
MAR06969	acetate[c]
MAR06969	asparagine[c]
MAR08626	acetyl-CoA[m]
MAR08626	aspartate[m]
MAR08626	CoA[m]
MAR08626	H+[m]
MAR08626	N-acetyl-L-aspartate[m]
MAR08628	H2O[c]
MAR08628	N-acetyl-L-aspartate[c]
MAR08628	acetate[c]
MAR08628	aspartate[c]
MAR04232	2-aminomuconate semialdehyde[c]
MAR04232	H+[c]
MAR04232	H2O[c]
MAR04232	picolinic acid[c]
MAR04302	cysteine[c]
MAR04302	H2O[c]
MAR04302	H+[c]
MAR04302	H2S[c]
MAR04302	NH3[c]
MAR04302	pyruvate[c]
MAR04494	ATP[c]
MAR04494	glucosamine[c]
MAR04494	ADP[c]
MAR04494	glucosamine-6-phosphate[c]
MAR04494	H+[c]
MAR04531	H+[c]
MAR04531	N-acetylneuraminate[c]
MAR04531	NADH[c]
MAR04531	O2[c]
MAR04531	H2O[c]
MAR04531	NAD+[c]
MAR04531	neungc[c]
MAR04532	CMP-neuNGc[c]
MAR04532	PPi[c]
MAR04532	CTP[c]
MAR04532	neungc[c]
MAR04533	CMP-neuNGc[c]
MAR04533	H2O[c]
MAR04533	NAD+[c]
MAR04533	CMP-N-acetylneuraminate[c]
MAR04533	H+[c]
MAR04533	NADH[c]
MAR04533	O2[c]
MAR08377	CTP[c]
MAR08377	N-acetylneuraminate[c]
MAR08377	CMP-N-acetylneuraminate[c]
MAR08377	PPi[c]
MAR02663	CoA[c]
MAR02663	L-oleoylcarnitine[c]
MAR02663	L-carnitine[c]
MAR02663	oleoyl-CoA[c]
MAR02664	L-carnitine[c]
MAR02664	L-oleoylcarnitine[m]
MAR02664	L-carnitine[m]
MAR02664	L-oleoylcarnitine[c]
MAR02665	CoA[m]
MAR02665	L-oleoylcarnitine[m]
MAR02665	L-carnitine[m]
MAR02665	oleoyl-CoA[m]
MAR07978	PAPS[c]
MAR07978	testosterone[c]
MAR07978	H+[c]
MAR07978	PAP[c]
MAR07978	testosterone sulfate[c]
MAR01843	PAPS[c]
MAR01843	taurolithocholate[c]
MAR01843	H+[c]
MAR01843	PAP[c]
MAR01843	sulfotaurolithocholate[c]
MAR04257	ATP[c]
MAR04257	H+[c]
MAR04257	nicotinate ribonucleotide[c]
MAR04257	deamido-NAD[c]
MAR04257	PPi[c]
MAR04276	ATP[n]
MAR04276	H+[n]
MAR04276	nicotinate ribonucleotide[n]
MAR04276	deamido-NAD[n]
MAR04276	PPi[n]
MAR09726	5-formyl-THF[c]
MAR09726	glutamate[c]
MAR09726	H+[c]
MAR09726	THF[c]
MAR09726	N-formyl-L-glutamate[c]
MAR07663	biocytin[e]
MAR07663	H2O[e]
MAR07663	biotin[e]
MAR07663	lysine[e]
MAR08345	D-glucurono-6,3-lactone[r]
MAR08345	H2O[r]
MAR08345	glucuronate[r]
MAR08345	H+[r]
MAR08346	H2O[r]
MAR08346	L-gulono-1,4-lactone[r]
MAR08346	H+[r]
MAR08346	L-gulonate[r]
MAR08348	D-glucurono-6,3-lactone[c]
MAR08348	H+[c]
MAR08348	NADPH[c]
MAR08348	L-gulono-1,4-lactone[c]
MAR08348	NADP+[c]
MAR04752	coproporphyrinogen III[c]
MAR04752	H+[c]
MAR04752	O2[c]
MAR04752	CO2[c]
MAR04752	H2O[c]
MAR04752	protoporphyrinogen IX[c]
MAR04755	O2[m]
MAR04755	protoporphyrinogen IX[m]
MAR04755	H2O2[m]
MAR04755	protoporphyrin[m]
MAR04757	O2[c]
MAR04757	protoporphyrinogen IX[c]
MAR04757	H2O2[c]
MAR04757	protoporphyrin[c]
MAR04069	H2O[c]
MAR04069	O2[c]
MAR04069	pyridoxamine-phosphate[c]
MAR04069	H+[c]
MAR04069	H2O2[c]
MAR04069	NH3[c]
MAR04069	pyridoxal-phosphate[c]
MAR08032	debrisoquin[c]
MAR08032	H+[c]
MAR08032	NADPH[c]
MAR08032	O2[c]
MAR08032	4-hydroxy-debrisoquine[c]
MAR08032	H2O[c]
MAR08032	NADP+[c]
MAR08049	H+[c]
MAR08049	NADPH[c]
MAR08049	O2[c]
MAR08049	paclitaxel[c]
MAR08049	6-hydroxypaclitaxel[c]
MAR08049	H2O[c]
MAR08049	NADP+[c]
MAR08052	H+[c]
MAR08052	NADPH[c]
MAR08052	O2[c]
MAR08052	tolbutamide[c]
MAR08052	4-hydroxy-tolbutamide[c]
MAR08052	H2O[c]
MAR08052	NADP+[c]
MAR08596	H+[c]
MAR08596	limonene[c]
MAR08596	NADPH[c]
MAR08596	O2[c]
MAR08596	(-)-trans-carveol[c]
MAR08596	H2O[c]
MAR08596	NADP+[c]
MAR08598	H+[c]
MAR08598	limonene[c]
MAR08598	NADPH[c]
MAR08598	O2[c]
MAR08598	H2O[c]
MAR08598	NADP+[c]
MAR08598	perillyl alcohol[c]
MAR08601	(+)-alpha-pinene[c]
MAR08601	H+[c]
MAR08601	NADPH[c]
MAR08601	O2[c]
MAR08601	alpha-pinene-oxide[c]
MAR08601	H2O[c]
MAR08601	NADP+[c]
MAR05127	NH4+[c]
MAR05127	H+[c]
MAR05127	NH3[c]
MAR05128	NH4+[e]
MAR05128	H+[e]
MAR05128	NH3[e]
MAR04990	H2S[c]
MAR04990	H2S[e]
MAR04996	glucosamine[e]
MAR04996	glucosamine[c]
MAR05450	glucose[e]
MAR05450	Na+[e]
MAR05450	glucose[c]
MAR05450	Na+[c]
MAR05455	chloride[e]
MAR05455	glycine[e]
MAR05455	Na+[e]
MAR05455	chloride[c]
MAR05455	glycine[c]
MAR05455	Na+[c]
MAR05464	glycine[c]
MAR05464	tyrosine[e]
MAR05464	glycine[e]
MAR05464	tyrosine[c]
MAR05492	cysteine[c]
MAR05492	glutamine[e]
MAR05492	cysteine[e]
MAR05492	glutamine[c]
MAR05587	alanine[c]
MAR05587	glycine[e]
MAR05587	Na+[e]
MAR05587	alanine[e]
MAR05587	glycine[c]
MAR05587	Na+[c]
MAR05589	glycine[e]
MAR05589	Na+[e]
MAR05589	serine[c]
MAR05589	glycine[c]
MAR05589	Na+[c]
MAR05589	serine[e]
MAR05593	glycine[e]
MAR05593	Na+[e]
MAR05593	tyrosine[c]
MAR05593	glycine[c]
MAR05593	Na+[c]
MAR05593	tyrosine[e]
MAR05599	glycine[e]
MAR05599	Na+[e]
MAR05599	threonine[c]
MAR05599	glycine[c]
MAR05599	Na+[c]
MAR05599	threonine[e]
MAR05602	alanine[e]
MAR05602	glycine[c]
MAR05602	Na+[e]
MAR05602	alanine[c]
MAR05602	glycine[e]
MAR05602	Na+[c]
MAR05632	glycine[c]
MAR05632	Na+[e]
MAR05632	serine[e]
MAR05632	glycine[e]
MAR05632	Na+[c]
MAR05632	serine[c]
MAR05782	glycine[c]
MAR05782	Na+[e]
MAR05782	threonine[e]
MAR05782	glycine[e]
MAR05782	Na+[c]
MAR05782	threonine[c]
MAR06384	H+[c]
MAR06384	histidine[e]
MAR06384	Na+[e]
MAR06384	H+[e]
MAR06384	histidine[c]
MAR06384	Na+[c]
MAR07739	iodide[c]
MAR07739	iodide[e]
MAR07896	ethanolamine[c]
MAR07896	ethanolamine[e]
MAR07979	testosterone sulfate[c]
MAR07979	testosterone sulfate[e]
MAR08031	debrisoquin[c]
MAR08031	debrisoquin[e]
MAR08033	4-hydroxy-debrisoquine[c]
MAR08033	4-hydroxy-debrisoquine[e]
MAR08048	paclitaxel[c]
MAR08048	paclitaxel[e]
MAR08050	6-hydroxypaclitaxel[c]
MAR08050	6-hydroxypaclitaxel[e]
MAR08051	tolbutamide[c]
MAR08051	tolbutamide[e]
