A	B
MAR04097	acetate[c]
MAR04097	ATP[c]
MAR04097	CoA[c]
MAR04097	acetyl-CoA[c]
MAR04097	AMP[c]
MAR04097	PPi[c]
MAR04099	acetate[m]
MAR04099	ATP[m]
MAR04099	CoA[m]
MAR04099	acetyl-CoA[m]
MAR04099	AMP[m]
MAR04099	PPi[m]
MAR04108	acetyl adenylate[c]
MAR04108	CoA[c]
MAR04108	acetyl-CoA[c]
MAR04108	AMP[c]
MAR04108	H+[c]
MAR04133	acetate[c]
MAR04133	ATP[c]
MAR04133	H+[c]
MAR04133	acetyl adenylate[c]
MAR04133	PPi[c]
MAR04283	acetaldehyde[c]
MAR04283	H2O[c]
MAR04283	NADP+[c]
MAR04283	acetate[c]
MAR04283	H+[c]
MAR04283	NADPH[c]
MAR08357	acetaldehyde[m]
MAR08357	H2O[m]
MAR08357	NAD+[m]
MAR08357	acetate[m]
MAR08357	H+[m]
MAR08357	NADH[m]
MAR04379	ATP[c]
MAR04379	fructose-6-phosphate[c]
MAR04379	ADP[c]
MAR04379	fructose-1,6-bisphosphate[c]
MAR04379	H+[c]
MAR04301	fructose-6-phosphate[c]
MAR04301	UTP[c]
MAR04301	fructose-1,6-bisphosphate[c]
MAR04301	H+[c]
MAR04301	UDP[c]
MAR04355	DHAP[c]
MAR04355	erythrose-4-phosphate[c]
MAR04355	sedoheptulose-1,7-bisphosphate[c]
MAR04358	ADP[c]
MAR04358	H+[c]
MAR04358	PEP[c]
MAR04358	ATP[c]
MAR04358	pyruvate[c]
MAR04363	2-phospho-D-glycerate[c]
MAR04363	H2O[c]
MAR04363	PEP[c]
MAR04365	2-phospho-D-glycerate[c]
MAR04365	3-phospho-D-glycerate[c]
MAR04370	1,3-bisphospho-D-glycerate[c]
MAR04370	H2O[c]
MAR04370	3-phospho-D-glycerate[c]
MAR04370	H+[c]
MAR04370	Pi[c]
MAR04371	1,3-bisphospho-D-glycerate[c]
MAR04371	2,3-bisphospho-D-glycerate[c]
MAR04371	H+[c]
MAR04372	2,3-bisphospho-D-glycerate[c]
MAR04372	H2O[c]
MAR04372	3-phospho-D-glycerate[c]
MAR04372	Pi[c]
MAR04373	1,3-bisphospho-D-glycerate[c]
MAR04373	H+[c]
MAR04373	NADH[c]
MAR04373	GAP[c]
MAR04373	NAD+[c]
MAR04373	Pi[c]
MAR04375	DHAP[c]
MAR04375	GAP[c]
MAR04375	fructose-1,6-bisphosphate[c]
MAR04377	fructose-1,6-bisphosphate[c]
MAR04377	H2O[c]
MAR04377	fructose-6-phosphate[c]
MAR04377	Pi[c]
MAR04391	DHAP[c]
MAR04391	GAP[c]
MAR04394	ATP[c]
MAR04394	glucose[c]
MAR04394	ADP[c]
MAR04394	glucose-6-phosphate[c]
MAR04394	H+[c]
MAR04396	glucose-1-phosphate[c]
MAR04396	glucose-6-phosphate[c]
MAR04521	glucose-6-phosphate[r]
MAR04521	H2O[r]
MAR04521	glucose[r]
MAR04521	Pi[r]
MAR07747	ADP[c]
MAR07747	glucose[c]
MAR07747	AMP[c]
MAR07747	glucose-6-phosphate[c]
MAR07747	H+[c]
MAR08360	ethanol[x]
MAR08360	H2O2[x]
MAR08360	acetaldehyde[x]
MAR08360	H2O[x]
MAR08757	ethanol[c]
MAR08757	H+[c]
MAR08757	NADPH[c]
MAR08757	O2[c]
MAR08757	acetaldehyde[c]
MAR08757	H2O[c]
MAR08757	NADP+[c]
MAR03989	H2O[e]
MAR03989	maltose[e]
MAR03989	glucose[e]
MAR05395	glycogenin[c]
MAR05395	UDP-glucose[c]
MAR05395	glycogenin G8[c]
MAR05395	H+[c]
MAR05395	UDP[c]
MAR05396	glycogenin G8[c]
MAR05396	UDP-glucose[c]
MAR05396	glycogenin G11[c]
MAR05396	H+[c]
MAR05396	UDP[c]
MAR09727	UDP-glucose[c]
MAR09727	H+[c]
MAR09727	UDP[c]
MAR09727	glycogen[c]
MAR05397	glycogenin G11[c]
MAR05397	glycogenin G4G7[c]
MAR05398	glycogenin G4G7[c]
MAR05398	Pi[c]
MAR05398	glucose-1-phosphate[c]
MAR05398	glycogenin G4G4[c]
MAR05399	glycogenin G4G4[c]
MAR05399	glycogenin G7G1[c]
MAR05400	glycogenin G7G1[c]
MAR05400	H2O[c]
MAR05400	glucose[c]
MAR05400	glycogenin G7[c]
MAR05401	glycogenin G7[c]
MAR05401	Pi[c]
MAR05401	glucose-1-phosphate[c]
MAR05401	glycogenin[c]
MAR08568	H2O[c]
MAR08568	maltodecaose[c]
MAR08568	fructose[c]
MAR08568	maltononaose[c]
MAR08569	H2O[e]
MAR08569	maltodecaose[e]
MAR08569	glucose[e]
MAR08569	maltononaose[e]
MAR08570	H2O[c]
MAR08570	maltononaose[c]
MAR08570	fructose[c]
MAR08570	maltoheptaose[c]
MAR08571	H2O[e]
MAR08571	maltononaose[e]
MAR08571	glucose[e]
MAR08571	maltoheptaose[e]
MAR08572	H2O[c]
MAR08572	maltoheptaose[c]
MAR08572	fructose[c]
MAR08572	maltohexaose[c]
MAR08573	H2O[e]
MAR08573	maltoheptaose[e]
MAR08573	glucose[e]
MAR08573	maltohexaose[e]
MAR08574	H2O[c]
MAR08574	maltohexaose[c]
MAR08574	fructose[c]
MAR08574	maltopentaose[c]
MAR08575	H2O[e]
MAR08575	maltohexaose[e]
MAR08575	glucose[e]
MAR08575	maltopentaose[e]
MAR08576	H2O[c]
MAR08576	maltopentaose[c]
MAR08576	fructose[c]
MAR08576	maltotetraose[c]
MAR08577	H2O[e]
MAR08577	maltopentaose[e]
MAR08577	glucose[e]
MAR08577	maltotetraose[e]
MAR08578	H2O[c]
MAR08578	maltotetraose[c]
MAR08578	fructose[c]
MAR08578	maltotriose[c]
MAR08579	H2O[e]
MAR08579	maltotetraose[e]
MAR08579	glucose[e]
MAR08579	maltotriose[e]
MAR08581	H2O[e]
MAR08581	maltotriose[e]
MAR08581	glucose[e]
MAR08581	maltose[e]
MAR08591	H2O[c]
MAR08591	maltotriose[c]
MAR08591	glucose[c]
MAR08591	maltose[c]
MAR08592	H2O[l]
MAR08592	maltotriose[l]
MAR08592	glucose[l]
MAR08592	maltose[l]
MAR08580	H2O[c]
MAR08580	maltotriose[c]
MAR08580	fructose[c]
MAR08580	maltose[c]
MAR08582	H2O[c]
MAR08582	maltose[c]
MAR08582	fructose[c]
MAR08587	H2O[c]
MAR08587	maltose[c]
MAR08587	glucose[c]
MAR08589	H2O[l]
MAR08589	maltose[l]
MAR08589	glucose[l]
MAR08583	H2O[e]
MAR08583	starch structure 1[e]
MAR08583	glucose[e]
MAR08583	starch structure 2[e]
MAR08585	1,3-bisphospho-D-glycerate[c]
MAR08585	glucose-1-phosphate[c]
MAR08585	3-phospho-D-glycerate[c]
MAR08585	glucose-1,6-bisphosphate[c]
MAR03944	glucose-1-phosphate[c]
MAR03944	H+[c]
MAR03944	UTP[c]
MAR03944	PPi[c]
MAR03944	UDP-glucose[c]
MAR04128	UDP-galactose[c]
MAR04128	UDP-glucose[c]
MAR04130	ATP[c]
MAR04130	galactose[c]
MAR04130	ADP[c]
MAR04130	alpha-D-galactose-1-phosphate[c]
MAR04130	H+[c]
MAR04131	glucose-1-phosphate[c]
MAR04131	UDP-galactose[c]
MAR04131	alpha-D-galactose-1-phosphate[c]
MAR04131	UDP-glucose[c]
MAR04132	galactose-1-phosphate[c]
MAR04132	UDP-glucose[c]
MAR04132	glucose-1-phosphate[c]
MAR04132	UDP-galactose[c]
MAR04414	ATP[c]
MAR04414	galactose[c]
MAR04414	ADP[c]
MAR04414	galactose-1-phosphate[c]
MAR04414	H+[c]
MAR04415	H2O[e]
MAR04415	lactose[e]
MAR04415	galactose[e]
MAR04415	glucose[e]
MAR04831	lactose[e]
MAR04831	NAD+[e]
MAR04831	3-ketolactose[e]
MAR04831	H+[e]
MAR04831	NADH[e]
MAR04832	3-keto-beta-D-galactose[e]
MAR04832	glucose[e]
MAR04832	3-ketolactose[e]
MAR04832	H2O[e]
MAR07674	glucose[g]
MAR07674	UDP-galactose[g]
MAR07674	H+[g]
MAR07674	lactose[g]
MAR07674	UDP[g]
MAR08764	H2O[l]
MAR08764	lactose[l]
MAR08764	galactose[l]
MAR08764	glucose[l]
MAR08766	galactose[c]
MAR08766	H+[c]
MAR08766	NADPH[c]
MAR08766	galactitol[c]
MAR08766	NADP+[c]
MAR00454	ATP[c]
MAR00454	glyceraldehyde[c]
MAR00454	ADP[c]
MAR00454	GAP[c]
MAR00454	H+[c]
MAR04297	ATP[c]
MAR04297	fructose-6-phosphate[c]
MAR04297	ADP[c]
MAR04297	fructose-2,6-bisphosphate[c]
MAR04297	H+[c]
MAR04383	fructose-6-phosphate[c]
MAR04383	mannose-6-phosphate[c]
MAR04385	mannose-6-phosphate[c]
MAR04385	mannose-1-phosphate[c]
MAR04386	GDP[c]
MAR04386	H+[c]
MAR04386	mannose-1-phosphate[c]
MAR04386	GDP-mannose[c]
MAR04386	Pi[c]
MAR04387	GTP[c]
MAR04387	H+[c]
