A	B
MAR03907	ethanol[c]
MAR03907	NADP+[c]
MAR03907	acetaldehyde[c]
MAR03907	H+[c]
MAR03907	NADPH[c]
MAR04097	acetate[c]
MAR04097	ATP[c]
MAR04097	CoA[c]
MAR04097	acetyl-CoA[c]
MAR04097	AMP[c]
MAR04097	PPi[c]
MAR04099	acetate[m]
MAR04099	ATP[m]
MAR04099	CoA[m]
MAR04099	acetyl-CoA[m]
MAR04099	AMP[m]
MAR04099	PPi[m]
MAR04108	acetyl adenylate[c]
MAR04108	CoA[c]
MAR04108	acetyl-CoA[c]
MAR04108	AMP[c]
MAR04108	H+[c]
MAR04133	acetate[c]
MAR04133	ATP[c]
MAR04133	H+[c]
MAR04133	acetyl adenylate[c]
MAR04133	PPi[c]
MAR04281	H+[x]
MAR04281	NADH[x]
MAR04281	pyruvate[x]
MAR04281	L-lactate[x]
MAR04281	NAD+[x]
MAR04358	ADP[c]
MAR04358	H+[c]
MAR04358	PEP[c]
MAR04358	ATP[c]
MAR04358	pyruvate[c]
MAR04368	1,3-bisphospho-D-glycerate[c]
MAR04368	ADP[c]
MAR04368	3-phospho-D-glycerate[c]
MAR04368	ATP[c]
MAR04371	1,3-bisphospho-D-glycerate[c]
MAR04371	2,3-bisphospho-D-glycerate[c]
MAR04371	H+[c]
MAR04372	2,3-bisphospho-D-glycerate[c]
MAR04372	H2O[c]
MAR04372	3-phospho-D-glycerate[c]
MAR04372	Pi[c]
MAR04396	glucose-1-phosphate[c]
MAR04396	glucose-6-phosphate[c]
MAR03989	H2O[e]
MAR03989	maltose[e]
MAR03989	glucose[e]
MAR05395	glycogenin[c]
MAR05395	UDP-glucose[c]
MAR05395	glycogenin G8[c]
MAR05395	H+[c]
MAR05395	UDP[c]
MAR05396	glycogenin G8[c]
MAR05396	UDP-glucose[c]
MAR05396	glycogenin G11[c]
MAR05396	H+[c]
MAR05396	UDP[c]
MAR05397	glycogenin G11[c]
MAR05397	glycogenin G4G7[c]
MAR05398	glycogenin G4G7[c]
MAR05398	Pi[c]
MAR05398	glucose-1-phosphate[c]
MAR05398	glycogenin G4G4[c]
MAR05399	glycogenin G4G4[c]
MAR05399	glycogenin G7G1[c]
MAR05400	glycogenin G7G1[c]
MAR05400	H2O[c]
MAR05400	glucose[c]
MAR05400	glycogenin G7[c]
MAR05401	glycogenin G7[c]
