nodeLabel	mIDH2_filtered_25k	Cluster_NR_filtered_25k	distance
B4GALT1	0.0490996242315104	0.486428639771883	0.3097
SIVA1	0.043630751496327	0.464965091781945	0.2986
CHD7	0.0424684327312359	0.424641707659778	0.2712
CBX6	0.0501401296215534	0.414909973990937	0.2589
PDPK1	0	0.363463822029642	0.2587
AKR1C3	0	0.36335391267541	0.2586
ARPC5L	0	0.358345838726136	0.2551
EID3	0	0.357784508518917	0.2547
CHMP5	0	0.352423776397507	0.2509
CHRM4	0	0.351733781906866	0.2505
PRR14	0	0.35165049963817	0.2504
PRKAB2	0.0461043747381781	0.397209918836534	0.2494
NHSL1	0	0.34984256978012	0.2491
ITGA7	0.045787979402294	0.396202243168594	0.2489
RIPK2	0	0.347607343556097	0.2476
CHST1	0	0.347340435269976	0.2474
TRIB1	0	0.347278551803842	0.2473
ADAM9	0.0492672015235324	0.39546377864921	0.2459
OR13J1	0	0.343911617227974	0.245
CLN3	0.0454956778985481	0.388414294013998	0.2436
MAP1A	0.0441278614342189	0.384952146244911	0.2422
OR2A25	0	0.333556156324069	0.2377
ENSA	0	0.332378065463193	0.2369
SLC7A8	0	0.332275866767917	0.2368
ZNF135	0	0.330892716039025	0.2359
CD300LB	0.138855282067802	0.471552345207218	0.2352
VIPR1	0.0450250100581213	0.37384075124922	0.2338
RASL11B	0	0.326340524696624	0.2327
ARPC1B	0.0600946186340312	0.382290516258573	0.2289
SOCS4	0.150614833191769	0.474596667348687	0.2289
SGK1	0.0442843527945062	0.362963441743934	0.2267
EPHB6	0	0.317090385288317	0.2262
LGALS2	0	0.316047434367481	0.2255
MPRIP	0	0.314905724905789	0.2247
MYPOP	0	0.314914113638893	0.2247
ADARB1	0	0.314788668746634	0.2246
RAPGEF3	0	0.314510411176285	0.2244
FCGR1A	0	0.314415165091005	0.2243
P2RX7	0	0.31339060563362	0.2236
LYST	0	0.311505986897582	0.2223
PEX11A	0.0515685101366185	0.361486586439793	0.2205
RORA	0	0.308656974595439	0.2203
ARID3B	0	0.301824222201864	0.2155
OR4C45	0.0460513147491094	0.347760408996556	0.2148
LGALS1	0.0638469713977107	0.365649996809465	0.2146
ROBO2	0.0447731049409398	0.345716745968011	0.2143
CRYAB	0	0.299593447462463	0.214
CREG1	0.0456384799431476	0.34575872726123	0.2137
ZNF14	0	0.29918491480335	0.2137
NFE2L3	0	0.299093903136053	0.2136
TBC1D28	0.0452711973322595	0.344659339241421	0.2132
PCMTD2	0	0.298239929818454	0.213
FCN2	0	0.297935141714588	0.2128
FUZ	0	0.297892977642248	0.2128
OR10AD1	0	0.297446420380742	0.2124
ATG7	0	0.295914319891452	0.2114
MSR1	0	0.295819502560916	0.2113
OR2AT4	0	0.295352583525967	0.211
NINJ2	0	0.295085178374786	0.2108
HMGN5	0.0513228044948816	0.347291691493348	0.2107
IGFBP2	0	0.294518362497332	0.2104
PLAGL2	0	0.294468399371102	0.2104
TAF1C	0	0.294243589835905	0.2102
F3	0	0.293885996885155	0.21
GPR63	0	0.293789198204308	0.2099
GPR34	0	0.293647755352937	0.2098
ZNF675	0	0.293504085551543	0.2097
ASAH1	0	0.293116385858897	0.2094
ZFAT	0	0.292100191827424	0.2087
MAP3K6	0	0.29152885839195	0.2083
MMP2	0.0436118497058964	0.335851588952775	0.2082
AKAP7	0	0.289789249071022	0.2071
LRP10	0.0458320136812643	0.334223749969498	0.2055
HOPX	0.0458320136812643	0.332277803081953	0.2041
TMX3	0.0514066331725343	0.337968508969858	0.2041
SETBP1	0.0505272393497104	0.335815019561722	0.2032
PGAM1	0.0468517893673293	0.331669572483971	0.2029
TBL1Y	0.0527398031426313	0.33669477998541	0.2023
OCEL1	0.142386527974577	0.42785443195823	0.2021
ITGAE	0.0538001465332439	0.337087485565284	0.2018
ZNF827	0.0489573193730973	0.330975261030079	0.201
SLC25A22	0	0.279052932419187	0.1996
TLR2	0	0.27902630675417	0.1996
WIPF1	0.0603684496780666	0.340727098872521	0.1996
GNB4	0.0581561505406893	0.337886497898716	0.1992
NT5M	0.0528626437082326	0.332403215929165	0.1992
FES	0	0.278398476419251	0.1991
NOTCH2	0	0.276558871340625	0.1978
MYOCD	0	0.27556910329256	0.1971
SOD2	0	0.275327644840293	0.197
RASA1	0.0658658626365697	0.342100968871877	0.1967
PPARGC1A	0	0.274225998515267	0.1962
LRP6	0	0.273653938111823	0.1958
CLEC11A	0	0.272662793425812	0.1951
VAV2	0	0.272227814943888	0.1948
MBD3L1	0	0.271869635985913	0.1945
ALG11	0	0.271715571583275	0.1944
DLG5	0	0.271594395154765	0.1944
MAR01605	0	0.27132717077993	0.1942
LSM11	0	0.270842218046632	0.1938
PPT2	0	0.270752285297003	0.1938
MORC3	0.155313386631513	0.429007680102019	0.1936
OSBPL1A	0	0.270449391515123	0.1936
CYP21A2	0	0.270417272555595	0.1935
MAN2B1	0	0.270373405242754	0.1935
ABI3BP	0	0.2702683117618	0.1934
MAN2B2	0	0.270167467302389	0.1934
FOXD4L6	0	0.270084506959338	0.1933
NAAA	0	0.270108657494429	0.1933
SCOC	0	0.270072120361433	0.1933
DGKD	0	0.269925250925677	0.1932
GAS1	0	0.26965774120696	0.193
RHOB	0	0.269681969664723	0.193
AIM2	0	0.269445086239696	0.1928
ZNF823	0	0.269334893761708	0.1928
ACOT1	0	0.269234582515271	0.1927
MIER2	0	0.269203414489791	0.1927
HDGF	0.0592084062766908	0.329474404188826	0.1926
SERTAD2	0	0.269088028989462	0.1926
UPRT	0	0.269091148838336	0.1926
GPR52	0	0.268873831754699	0.1924
ACOT8	0	0.26872687835467	0.1923
CACNA2D3	0	0.26843122743066	0.1921
GPR88	0	0.268122344926019	0.1919
NGFR	0	0.268082112097983	0.1919
TMEM175	0	0.268090285380183	0.1919
S100A10	0.0475338539551572	0.316393669360635	0.1918
SHISA5	0	0.267628017892607	0.1916
ZNF227	0	0.267221098854326	0.1913
ALDH5A1	0	0.267146403465105	0.1912
FAR1	0	0.266730378050826	0.1909
HBG2	0	0.266579754321638	0.1908
TFF3	0	0.266380566494578	0.1907
UTF1	0	0.266237195093279	0.1906
ASIP	0.0453746496019841	0.311377271115517	0.1898
GRIN2B	0.0494158403926614	0.315173460592307	0.1896
NFIL3	0.0504604900182129	0.316120078821373	0.1895
ZNF551	0.0500046265058754	0.313973925681456	0.1883
MAR09881	0	0.262267567777183	0.1878
ALPL	0.0505165365310607	0.313269967305194	0.1875
JTB	0.0521372595406948	0.314557787206614	0.1872
FGF11	0	0.260061674116512	0.1863
ST14	0.0509991918331995	0.312123801057925	0.1863
HTR2A	0	0.259789528223747	0.1861
RCSD1	0.0561858968435423	0.316182626155306	0.1854
ROR2	0.0528477974968804	0.311682088528512	0.1847
RLF	0.136961040599463	0.396023577370413	0.1836
MAR07632	0	0.255805131958017	0.1833
TRIM38	0.0590496973720416	0.315341676224141	0.1828
VCPIP1	0.0646745181961303	0.319415110285823	0.1816
CLEC10A	0.0459001564283976	0.300040246851007	0.1815
OR2T34	0	0.251337363045302	0.1802
FCRL2	0.0470238468523006	0.298720748757721	0.1798
DCK	0.0648741031415434	0.316762079010973	0.1796
KALRN	0.0443275699505255	0.295782270754511	0.1796
GPX1	0.062444345497682	0.313235095768916	0.1789
TBC1D10A	0	0.249439611640247	0.1788
EPHB3	0.0448026883625674	0.294621319806804	0.1785
ZDHHC23	0	0.248924753541246	0.1785
FGFR4	0	0.247951222992827	0.1778
NACC1	0.0767901471101457	0.326145570565228	0.1777
SREBF2	0	0.247231989871545	0.1773
MEGF6	0	0.247155433391378	0.1772
TGFBR1	0	0.247072201647983	0.1772
FGG	0	0.24647922963475	0.1768
UNC5D	0.0485435455775506	0.295941834796389	0.1767
