""	"ONTOLOGY"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"GO:0090150"	"BP"	"GO:0090150"	"establishment of protein localization to membrane"	7	-0.741658519555372	-2.15306881109637	0.000296647878967665	0.000296647878967665	0.175679763408364	65	"tags=71%, list=8%, signal=66%"	"HSPA4/PARD3/SEC16A/PKDCC/RAB3IP"
"GO:0004984"	"MF"	"GO:0004984"	"olfactory receptor activity"	8	0.765669584769506	2.71472432610288	0.000317762948840165	0.000317762948840165	0.175679763408364	72	"tags=88%, list=9%, signal=80%"	"OR13C9/OR2T1/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1"
"GO:0009593"	"BP"	"GO:0009593"	"detection of chemical stimulus"	8	0.765669584769506	2.71472432610288	0.000317762948840165	0.000317762948840165	0.175679763408364	72	"tags=88%, list=9%, signal=80%"	"OR13C9/OR2T1/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1"
"GO:0050907"	"BP"	"GO:0050907"	"detection of chemical stimulus involved in sensory perception"	8	0.765669584769506	2.71472432610288	0.000317762948840165	0.000317762948840165	0.175679763408364	72	"tags=88%, list=9%, signal=80%"	"OR13C9/OR2T1/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1"
"GO:0050911"	"BP"	"GO:0050911"	"detection of chemical stimulus involved in sensory perception of smell"	8	0.765669584769506	2.71472432610288	0.000317762948840165	0.000317762948840165	0.175679763408364	72	"tags=88%, list=9%, signal=80%"	"OR13C9/OR2T1/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1"
"GO:0050906"	"BP"	"GO:0050906"	"detection of stimulus involved in sensory perception"	10	0.703699840928885	2.79416919271636	0.000336360578540195	0.000336360578540195	0.175679763408364	72	"tags=80%, list=9%, signal=74%"	"OR13C9/OR2T1/HPN/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1"
"GO:0051606"	"BP"	"GO:0051606"	"detection of stimulus"	14	0.531237740037059	2.49108915881859	0.000386847195357834	0.000386847195357834	0.175679763408364	91	"tags=64%, list=11%, signal=58%"	"OR13C9/OR2T1/HPN/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1/PTK2"
"GO:0030901"	"BP"	"GO:0030901"	"midbrain development"	5	-0.783617704637015	-1.98816862466066	0.000468237864835336	0.000468237864835336	0.175679763408364	78	"tags=80%, list=10%, signal=73%"	"MAOB/SEC16A/FZD3/UCHL5"
"GO:0009617"	"BP"	"GO:0009617"	"response to bacterium"	33	-0.416753393483458	-2.13074749345976	0.000471309060916696	0.000471309060916696	0.175679763408364	355	"tags=79%, list=44%, signal=46%"	"NLRP7/TRIB1/MALT1/ZNFX1/GATA1/PRDX2/LCN2/CHIT1/S100A14/PI3/CLEC4D/CXCL5/EDNRB/PF4V1/PRKD1/PF4/LTF/PLSCR4/NFIB/ALPL/GJB6/CLEC4E/MAOB/SYT11/TMF1/DEFA1B"
"GO:0004930"	"MF"	"GO:0004930"	"G protein-coupled receptor activity"	27	0.42735168614541	2.83850487082008	0.00056369785794814	0.00056369785794814	0.189105797187444	103	"tags=56%, list=13%, signal=50%"	"ADRA2C/OR13C9/RXFP2/LPAR5/OR2T1/OR51I1/OR13C4/PTGER3/RXFP3/OR52B6/NPR3/OR13F1/OR13D1/GRM7/S1PR1"
"GO:0007608"	"BP"	"GO:0007608"	"sensory perception of smell"	10	0.589243920916294	2.33970098479259	0.00067272115708039	0.00067272115708039	0.205163859101933	72	"tags=70%, list=9%, signal=65%"	"OR13C9/OR2T1/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1"
"GO:0007186"	"BP"	"GO:0007186"	"G protein-coupled receptor signaling pathway"	41	0.28800189174119	2.31137528321386	0.000805152979066023	0.000805152979066023	0.225089696866966	86	"tags=39%, list=11%, signal=37%"	"ADRA2C/OR13C9/RXFP2/CCL11/LPAR5/OR2T1/OR51I1/OR13C4/PTGER3/RXFP3/GNAI1/OR52B6/NPR3/OR13F1/OR13D1/GRM7"
"GO:0004888"	"MF"	"GO:0004888"	"transmembrane signaling receptor activity"	51	0.240540531475585	2.16763510696765	0.000968992248062015	0.000968992248062015	0.239966869964611	114	"tags=37%, list=14%, signal=34%"	"ERBB4/ADRA2C/OR13C9/RXFP2/GRID1/LPAR5/OR2T1/OR51I1/OR13C4/PTGER3/RXFP3/OR52B6/NPR3/OR13F1/OR13D1/GRM7/S1PR1/HTR3E/IL1R1"
"GO:0055017"	"BP"	"GO:0055017"	"cardiac muscle tissue growth"	4	0.876404494382023	2.17537859231656	0.00107296137339056	0.00107296137339056	0.239966869964611	103	"tags=100%, list=13%, signal=88%"	"ERBB4/FOXC1/TP73/S1PR1"
"GO:0060419"	"BP"	"GO:0060419"	"heart growth"	4	0.876404494382023	2.17537859231656	0.00107296137339056	0.00107296137339056	0.239966869964611	103	"tags=100%, list=13%, signal=88%"	"ERBB4/FOXC1/TP73/S1PR1"
"GO:0007606"	"BP"	"GO:0007606"	"sensory perception of chemical stimulus"	11	0.537940036353959	2.24351372844827	0.00140252454417952	0.00140252454417952	0.294068797519746	72	"tags=64%, list=9%, signal=59%"	"OR13C9/OR2T1/OR51I1/OR13C4/OR52B6/OR13F1/OR13D1"
"GO:0072077"	"BP"	"GO:0072077"	"renal vesicle morphogenesis"	3	0.922693266832918	1.98585759355389	0.0017636684303351	0.0017636684303351	0.311240498961392	65	"tags=100%, list=8%, signal=92%"	"SALL1/GREM1/KIF26B"
"GO:0072087"	"BP"	"GO:0072087"	"renal vesicle development"	3	0.922693266832918	1.98585759355389	0.0017636684303351	0.0017636684303351	0.311240498961392	65	"tags=100%, list=8%, signal=92%"	"SALL1/GREM1/KIF26B"
"GO:0072283"	"BP"	"GO:0072283"	"metanephric renal vesicle morphogenesis"	3	0.922693266832918	1.98585759355389	0.0017636684303351	0.0017636684303351	0.311240498961392	65	"tags=100%, list=8%, signal=92%"	"SALL1/GREM1/KIF26B"
"GO:0002237"	"BP"	"GO:0002237"	"response to molecule of bacterial origin"	18	-0.493330445468892	-2.05051571712531	0.00194830497467204	0.00194830497467204	0.311240498961392	355	"tags=89%, list=44%, signal=51%"	"NLRP7/TRIB1/MALT1/GATA1/PRDX2/S100A14/CXCL5/EDNRB/PF4V1/PF4/LTF/PLSCR4/ALPL/GJB6/MAOB/DEFA1B"
"GO:0032496"	"BP"	"GO:0032496"	"response to lipopolysaccharide"	18	-0.493330445468892	-2.05051571712531	0.00194830497467204	0.00194830497467204	0.311240498961392	355	"tags=89%, list=44%, signal=51%"	"NLRP7/TRIB1/MALT1/GATA1/PRDX2/S100A14/CXCL5/EDNRB/PF4V1/PF4/LTF/PLSCR4/ALPL/GJB6/MAOB/DEFA1B"
"GO:0000792"	"CC"	"GO:0000792"	"heterochromatin"	3	0.899002493765586	1.93486935804372	0.00226757369614512	0.00226757369614512	0.320606295889331	84	"tags=100%, list=10%, signal=90%"	"SALL1/FOXC1/CHD5"
"GO:0010644"	"BP"	"GO:0010644"	"cell communication by electrical coupling"	3	-0.887780548628429	-1.83620701129499	0.00232018561484919	0.00232018561484919	0.320606295889331	94	"tags=100%, list=12%, signal=89%"	"PKP2/ATP1B2"
"GO:0060038"	"BP"	"GO:0060038"	"cardiac muscle cell proliferation"	3	0.897755610972569	1.93218576670108	0.00251952632905014	0.00251952632905014	0.320606295889331	85	"tags=100%, list=11%, signal=90%"	"ERBB4/FOXC1/TP73"
"GO:0060560"	"BP"	"GO:0060560"	"developmental growth involved in morphogenesis"	9	0.56486430735483	2.12768276398688	0.0026160889470242	0.0026160889470242	0.320606295889331	161	"tags=78%, list=20%, signal=63%"	"SALL1/CCL11/KIF26B/WNT7B/S1PR1/DCLK1/MAGI2"
"GO:0006638"	"BP"	"GO:0006638"	"neutral lipid metabolic process"	6	0.699624530663329	2.12491135247918	0.00267777447188337	0.00267777447188337	0.320606295889331	246	"tags=100%, list=31%, signal=70%"	"RGN/DGKI/TNXB/SLC22A4/LPIN3/DGAT2L6"
"GO:0006639"	"BP"	"GO:0006639"	"acylglycerol metabolic process"	6	0.699624530663329	2.12491135247918	0.00267777447188337	0.00267777447188337	0.320606295889331	246	"tags=100%, list=31%, signal=70%"	"RGN/DGKI/TNXB/SLC22A4/LPIN3/DGAT2L6"
"GO:0071407"	"BP"	"GO:0071407"	"cellular response to organic cyclic compound"	19	-0.469251260976195	-1.99005373867585	0.00269888189178769	0.00269888189178769	0.320606295889331	226	"tags=63%, list=28%, signal=47%"	"TRPM2/IFIT1/ADCY3/PPARGC1B/COL1A1/GNAZ/ALPL/PKLR/OSBPL7/RYR3/TMF1/DEFA1B"
"GO:0002042"	"BP"	"GO:0002042"	"cell migration involved in sprouting angiogenesis"	3	0.892768079800499	1.92145140133052	0.00277147896195515	0.00277147896195515	0.320606295889331	89	"tags=100%, list=11%, signal=89%"	"GREM1/PDCD10/CARD10"
"GO:0006006"	"BP"	"GO:0006006"	"glucose metabolic process"	5	0.73	2.03171563777747	0.00445062586926287	0.00445062586926287	0.494479619945243	221	"tags=100%, list=27%, signal=73%"	"G6PC2/RGN/IRS1/IGF2/ALDOC"
"GO:0005912"	"CC"	"GO:0005912"	"adherens junction"	8	-0.629861982434128	-1.92430074336401	0.00495915985997666	0.00495915985997666	0.494479619945243	304	"tags=100%, list=38%, signal=63%"	"LIN7A/LDB3/CDH6/FERMT2/PARD3/CDH10/PKP2"
"GO:0071216"	"BP"	"GO:0071216"	"cellular response to biotic stimulus"	13	-0.518912381251116	-1.91238556518102	0.00501151293512122	0.00501151293512122	0.494479619945243	355	"tags=92%, list=44%, signal=52%"	"NLRP7/TRIB1/MALT1/GATA1/PRDX2/CXCL5/EDNRB/PF4V1/PF4/LTF/PLSCR4/DEFA1B"
"GO:0071219"	"BP"	"GO:0071219"	"cellular response to molecule of bacterial origin"	13	-0.518912381251116	-1.91238556518102	0.00501151293512122	0.00501151293512122	0.494479619945243	355	"tags=92%, list=44%, signal=52%"	"NLRP7/TRIB1/MALT1/GATA1/PRDX2/CXCL5/EDNRB/PF4V1/PF4/LTF/PLSCR4/DEFA1B"
"GO:0071222"	"BP"	"GO:0071222"	"cellular response to lipopolysaccharide"	13	-0.518912381251116	-1.91238556518102	0.00501151293512122	0.00501151293512122	0.494479619945243	355	"tags=92%, list=44%, signal=52%"	"NLRP7/TRIB1/MALT1/GATA1/PRDX2/CXCL5/EDNRB/PF4V1/PF4/LTF/PLSCR4/DEFA1B"
