""	"seqnames"	"start"	"end"	"width"	"strand"	"value"	"area"	"cluster"	"indexStart"	"indexEnd"	"L"	"clusterL"	"p.value"	"fwer"	"p.valueArea"	"fwerArea"
"DMR_1"	"chr7"	27183133	27185732	2599	"*"	1.27660177215876	48.5108673420328	373153	108231	108268	38	38	3.71116038707403e-05	0.016	5.56674058061104e-05	0.024
"DMR_2"	"chr12"	46663407	46664096	689	"*"	2.22554177643843	11.1277088821921	93439	26059	26063	5	9	0.000222669623224442	0.016	0.0298841190169136	0.9
"DMR_3"	"chr17"	46651722	46652550	828	"*"	2.03143654846731	20.3143654846731	178424	52109	52118	10	10	0.000259781227095182	0.044	0.00282975979514395	0.408
"DMR_4"	"chr7"	130129946	130131403	1457	"*"	1.13612882331754	28.4032205829386	385519	111469	111493	25	48	0.000269059128062867	0.096	0.000723676275479436	0.188
"DMR_5"	"chr8"	1764878	1765820	942	"*"	1.70224831682397	18.7247314850637	391673	112699	112709	11	11	0.00065873096870564	0.104	0.00397094161416921	0.48
"DMR_6"	"chr20"	44440824	44441818	994	"*"	1.3924039127388	22.2784626038208	254922	74108	74123	16	17	0.000398949741610458	0.112	0.00201330450998766	0.34
"DMR_7"	"chr4"	16085546	16085721	175	"*"	1.78605848248684	10.7163508949211	305335	86769	86774	6	9	0.00144735255095887	0.176	0.0335210561962462	0.908
"DMR_8"	"chr7"	130125811	130126871	1060	"*"	1.49803200657647	17.9763840789176	385516	111457	111468	12	19	0.00131746193741128	0.228	0.00477811899835781	0.504
"DMR_9"	"chr5"	8457356	8458089	733	"*"	1.6620626416757	14.9585637750813	322328	90973	90981	9	10	0.00170713377805405	0.228	0.00997374354026145	0.692
"DMR_10"	"chr11"	15136059	15136505	446	"*"	1.65697853620409	14.9128068258368	67441	18329	18337	9	9	0.00174424538192479	0.228	0.0100479667480029	0.692
"DMR_11"	"chr6"	31650735	31651362	627	"*"	1.31660657727425	18.4324920818395	350321	100589	100602	14	16	0.00118757132386369	0.248	0.00427711234610282	0.488
"DMR_12"	"chr16"	89006020	89006455	435	"*"	1.6189687203556	14.5707184832004	166339	47499	47507	9	9	0.0020504161138584	0.248	0.0108736999341269	0.708
"DMR_13"	"chr14"	24779793	24780926	1133	"*"	1.18249224732393	17.7373837098589	121403	34356	34370	15	15	0.0014287967490235	0.268	0.0050935676312591	0.528
"DMR_14"	"chr16"	67233002	67234167	1165	"*"	1.49928124005779	14.9928124005779	160497	46054	46063	10	11	0.00238442054869506	0.292	0.00991807613445534	0.692
"DMR_15"	"chr2"	71205052	71206084	1032	"*"	1.39391343083833	15.3330477392217	224711	66527	66537	11	13	0.00276481448837015	0.316	0.00916656615607285	0.676
"DMR_16"	"chr6"	149805995	149806659	664	"*"	1.38037389890984	15.1841128880082	364030	106581	106591	11	11	0.00290398300288543	0.32	0.00942634738316803	0.684
"DMR_17"	"chr15"	75639113	75640148	1035	"*"	1.23228423954429	17.2519793536201	144369	41225	41238	14	14	0.00183702439160164	0.324	0.00564096378835252	0.548
"DMR_18"	"chr12"	95945082	95945610	528	"*"	-1.51049750909678	13.594477581871	100787	28908	28916	9	9	0.00338643385320505	0.328	0.0147704183405546	0.792
"DMR_19"	"chr5"	141348202	141348458	256	"*"	1.60811123381155	11.2567786366809	336865	95270	95276	7	15	0.00306170731933607	0.328	0.0287614929998237	0.888
"DMR_20"	"chr1"	205819179	205819492	313	"*"	1.59555203491734	12.7644162793387	34096	10381	10388	8	10	0.00290398300288543	0.332	0.0183980776189195	0.844
"DMR_21"	"chr14"	24803679	24804342	663	"*"	1.42321514935728	14.2321514935728	121424	34371	34380	10	10	0.00332148854643126	0.348	0.0120148817531522	0.732
"DMR_22"	"chr6"	33244752	33245553	801	"*"	0.982875650287906	16.7088860548944	351048	102845	102861	17	43	0.00199474870805229	0.36	0.00666153289479788	0.596
"DMR_23"	"chr16"	1821253	1822124	871	"*"	1.46809109238555	13.2128198314699	150768	42989	42997	9	12	0.00403588692094301	0.364	0.0163569394060288	0.82
"DMR_24"	"chr3"	129147230	129147722	492	"*"	1.54356193082901	10.804933515803	291856	83449	83455	7	8	0.00413794383158754	0.368	0.0327509904159283	0.908
"DMR_25"	"chr3"	46448496	46449313	817	"*"	1.24432543140739	16.1762306082961	281568	80495	80507	13	13	0.00244936585546886	0.372	0.00742232077414806	0.632
"DMR_26"	"chr7"	150147536	150148073	537	"*"	1.37502187388991	13.7502187388991	388367	112122	112131	10	10	0.00408227642578143	0.404	0.0139539630553983	0.776
"DMR_27"	"chr2"	24306908	24307957	1049	"*"	1.29140917717961	15.4969101261553	217235	64566	64577	12	17	0.00333076644739894	0.408	0.00885111752317156	0.668
"DMR_28"	"chr6"	146919983	146920295	312	"*"	1.41234875315937	12.7111387784343	363607	106542	106550	9	11	0.0052234582448067	0.424	0.0187691936576269	0.844
"DMR_29"	"chr19"	37825307	37825572	265	"*"	1.48348830081853	11.8679064065483	206313	60593	60600	8	10	0.00496367701771151	0.432	0.0239369844966275	0.872
"DMR_30"	"chr2"	113992694	113993313	619	"*"	1.46941794359503	11.7553435487603	229984	67954	67961	8	8	0.0053440709573866	0.436	0.0248183850885576	0.872
"DMR_31"	"chr6"	33160946	33161849	903	"*"	0.917716954798694	14.6834712767791	350995	102580	102595	16	29	0.00278337029030552	0.44	0.0106139187070317	0.704
"DMR_32"	"chr6"	105585179	105585762	583	"*"	1.25475775454169	15.0570930545003	358506	105354	105365	12	12	0.00395238581223384	0.444	0.00974179601606933	0.688
"DMR_33"	"chr19"	41882098	41882741	643	"*"	1.20043413555905	14.4052096267085	207601	61301	61312	12	13	0.00484306430513161	0.476	0.0114860413979941	0.728
"DMR_34"	"chr19"	3606463	3607269	806	"*"	1.17770056888422	14.1324068266106	198457	57220	57231	12	12	0.00527912565061281	0.496	0.0123952756928273	0.748
"DMR_35"	"chr12"	22093960	22094563	603	"*"	1.33767688953747	12.0390920058372	91223	25485	25493	9	15	0.00748726608092185	0.516	0.0228050805785699	0.868
"DMR_36"	"chr3"	49314155	49314814	659	"*"	1.33622478447933	12.0260230603139	282424	81047	81055	9	11	0.00752437768479259	0.516	0.0228978595882468	0.868
"DMR_37"	"chr5"	66124492	66124801	309	"*"	1.4122511890591	9.8857583234137	327719	92150	92156	7	10	0.00812744124769212	0.524	0.0423072284126439	0.932
"DMR_38"	"chr6"	28129313	28129656	343	"*"	1.32374243874207	11.9136819486787	349084	97889	97897	9	10	0.00788621582253231	0.528	0.0236493695666292	0.872
"DMR_39"	"chr6"	42928274	42928546	272	"*"	1.03352650140881	14.4693710197234	353623	104014	104027	14	25	0.00424927864319976	0.548	0.0111984264679959	0.716
"DMR_40"	"chr15"	65341736	65342634	898	"*"	1.35420520370691	10.8336416296553	141611	40443	40450	8	8	0.00929645676962044	0.576	0.0324077080801239	0.908
"DMR_41"	"chr22"	38092643	38093079	436	"*"	1.16043213444776	12.7647534789254	270497	77730	77740	11	12	0.00797899483220916	0.58	0.0183887997179518	0.844
"DMR_42"	"chr17"	7165540	7165909	369	"*"	1.3623429218658	9.53640045306062	169692	48597	48603	7	11	0.0103819711828396	0.584	0.0466121744616498	0.94
"DMR_43"	"chr1"	175162044	175162553	509	"*"	1.0041838617989	14.0585740651847	29521	9365	9378	14	18	0.00476884109739013	0.588	0.0127014464247609	0.752
"DMR_44"	"chr9"	140446075	140446458	383	"*"	1.34042838756229	10.7234271004983	426629	118407	118414	8	8	0.0100294109460676	0.592	0.0334746666914077	0.908
"DMR_45"	"chr14"	88458917	88459688	771	"*"	1.22973802592078	12.2973802592078	129631	36945	36954	10	16	0.00836866667285193	0.596	0.021005167790839	0.852
"DMR_46"	"chr17"	2169272	2169989	717	"*"	1.32951566999401	10.6361253599521	168083	47975	47982	8	8	0.0104933059944518	0.604	0.0342725661746286	0.912
