""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"IDH1_AVG"	"IDH2_AVG"	"deltaBeta"	"CHR"	"MAPINFO"	"Strand"	"Type"	"gene"	"feature"	"cgi"	"feat.cgi"	"UCSC_Islands_Name"	"SNP_ID"	"SNP_DISTANCE"
"cg02693505"	0.114251819600607	0.779078071802802	7.800502326482	1.81785128336178e-10	0.000131884928822769	13.6567340390695	0.707670684552423	0.82192250415303	0.114251819600607	"6"	140371628	"R"	"I"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs10499217"	"19"
"cg01553946"	-0.064400390886399	0.190127438931671	-6.4430889782605	3.04278058623963e-08	0.0110376713626813	8.63149311866101	0.23037768323567	0.165977292349271	-0.0644003908863989	"5"	149828936	"F"	"II"	"RPS14"	"5'UTR"	"island"	"5'UTR-island"	"chr5:149828881-149829631"	"rs570380183;rs186325010;rs113584851"	"32;39;45"
"cg26393261"	0.0971127805896406	0.61184737934534	6.23715689728301	6.58766038555495e-08	0.012598046475757	7.87533920676503	0.551151891476814	0.648264672066455	0.0971127805896408	"6"	16467598	"R"	"I"	"ATXN1"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs527287145;rs184001567;rs188048788"	"46;35;1"
"cg23836814"	0.101734131310537	0.496017751529808	6.22301127006531	6.94586565977735e-08	0.012598046475757	7.82353356873191	0.432433919460722	0.534168050771259	0.101734131310537	"11"	47681300	"R"	"II"	"AGBL2"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs115350026;rs186452568;rs147044574;rs577384986"	"42;25;20;2"
"cg16317961"	-0.0518256843380579	0.285548137057321	-5.97818955737447	1.73192036300233e-07	0.0203709222319838	6.93019925009236	0.317939189768608	0.26611350543055	-0.0518256843380578	"18"	32621748	"F"	"II"	"MAPRE2"	"Body"	"shore"	"Body-shore"	"chr18:32621215-32621689"	"rs191559598"	"10"
"cg02052531"	0.0870326098470289	0.875284548372657	5.95493621470512	1.8883713886369e-07	0.0203709222319838	6.84570470987785	0.820889167218264	0.907921777065293	0.0870326098470289	"5"	81692895	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	""	""
"cg19422369"	0.0366300736989886	0.858518582770275	5.9441681833304	1.96549486110782e-07	0.0203709222319838	6.80660024468617	0.835624786708407	0.872254860407396	0.0366300736989884	"7"	2827064	"F"	"I"	"GNA12"	"Body"	"opensea"	"Body-opensea"	""	"rs112886585"	"46"
"cg01836943"	0.122499010072672	0.740572068461346	5.85118098188392	2.77566062644945e-07	0.0251717376103556	6.4695387710721	0.664010187165926	0.786509197238598	0.122499010072672	"12"	23267824	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs533627537;rs181752255"	"16;40"
"cg02719245"	-0.0951291679426003	0.304874277202219	-5.81773689696172	3.14175948100057e-07	0.0253260373522937	6.34859540725003	0.364330007166345	0.269200839223744	-0.0951291679426003	"14"	95624293	"F"	"II"	"FLJ45244"	"Body"	"shore"	"Body-shore"	"chr14:95623080-95624220"	"rs185539286;rs569932574;rs537321569"	"0;11;31"
"cg04894169"	-0.0847322254033754	0.433393635974273	-5.71407368756965	4.60864107877029e-07	0.0319565481727597	5.97474471950177	0.486351276851382	0.401619051448007	-0.0847322254033753	"3"	14220407	"F"	"II"	"XPC"	"TSS1500"	"island"	"TSS1500-island"	"chr3:14219715-14220408"	"rs3731055"	"32"
"cg03786582"	-0.025969642390986	0.0777902182668666	-5.7005007897458	4.84524485768219e-07	0.0319565481727597	5.9259151687517	0.0940212447612328	0.0680516023702468	-0.025969642390986	"6"	127588601	"F"	"II"	"RNF146"	"5'UTR"	"island"	"5'UTR-island"	"chr6:127587833-127588602"	"rs530282449;rs548821500;rs147576200"	"14;22;25"
"cg08577341"	-0.104621599898749	0.336976229704574	-5.6760425544046	5.3023590121045e-07	0.0320571346743567	5.83799750304616	0.402364729641292	0.297743129742543	-0.104621599898749	"5"	167001123	"R"	"II"	"ODZ2"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg05592581"	0.0788754961905386	0.777965215380342	5.64275782383695	5.99370407527721e-07	0.0334494331762272	5.71850526151598	0.728668030261255	0.807543526451794	0.0788754961905389	"3"	113250232	"F"	"I"	"SIDT1"	"TSS1500"	"shore"	"TSS1500-shore"	"chr3:113251699-113252290"	""	""
"cg18701481"	-0.0549315745463838	0.254895286906197	-5.60234517630096	6.95391186336836e-07	0.0354338630188427	5.57366739185387	0.289227520997687	0.234295946451303	-0.0549315745463838	"5"	150632526	"F"	"II"	"GM2A"	"TSS200"	"opensea"	"TSS200-opensea"	""	"rs552719540;rs571028592"	"12;35"
"cg26215849"	-0.0583536492357752	0.128121969496474	-5.56259183154135	8.04655884270789e-07	0.0354338630188427	5.43146090741572	0.164593000268834	0.106239351033058	-0.0583536492357752	"13"	41837663	"F"	"I"	"MTRF1"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	""	""
"cg04069757"	0.0359953074132411	0.903920484423856	5.54933843928396	8.4473056966983e-07	0.0354338630188427	5.38411120793178	0.881423417290581	0.917418724703822	0.0359953074132412	"12"	121339954	"R"	"II"	"SPPL3"	"Body"	"shore"	"Body-shore"	"chr12:121341414-121342436"	"rs544791139;rs558583162"	"34;2"
"cg27374674"	0.0656721566482467	0.697585568709643	5.54277374061516	8.65305025472789e-07	0.0354338630188427	5.36066924729869	0.656540470804488	0.722212627452735	0.065672156648247	"17"	9992019	"F"	"II"	"GAS7"	"Body"	"opensea"	"Body-opensea"	""	"rs368611443;rs560604625;rs527753447"	"1;13;16"
"cg26547526"	0.0833908466841505	0.737609849406065	5.53844804745643	8.79132203268603e-07	0.0354338630188427	5.34522672887389	0.685490570228471	0.768881416912621	0.0833908466841508	"10"	2666743	"F"	"I"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs564179146;rs532741686"	"15;45"
"cg16997732"	-0.0901762774415029	0.188973005227991	-5.5236436810836	9.28128447860868e-07	0.0354398031997164	5.29240096096859	0.245333178628931	0.155156901187428	-0.0901762774415029	"7"	72935636	"F"	"I"	"BAZ1B"	"Body"	"island"	"Body-island"	"chr7:72935612-72937090"	"rs567646777;rs536543715"	"2;28"
