"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"MAPINFO"	"Strand"	"CHR"	"abs_logFC"	"fragment_ID"
"cg00000029"	-0.133905662800445	0.563062114085296	-2.53168892208094	0.0141554094502058	0.710538420368987	-3.63097968758933	53468112	"+"	"16"	0.133905662800445	269079
"cg00005461"	0.112112903218178	0.525616215447234	2.53674481485136	0.013973633036874	0.710050985678516	-3.61947561262968	46131480	"-"	"3"	0.112112903218178	450859
"cg00006081"	-0.109808545430433	0.275823487952402	-3.27156692009866	0.00182522081390955	0.538178577428355	-1.76699032604937	124908907	"-"	"10"	0.109808545430433	99717
"cg00014467"	0.117449033497611	0.488546731889941	2.05772774151624	0.0442358523628756	0.793049157796225	-4.62527076968743	44081018	"-"	"20"	0.117449033497611	414563
"cg00023916"	0.120412199976968	0.579250539338698	2.58930894175018	0.0122053388904511	0.696117090610346	-3.49880002751467	19485518	"-"	"16"	0.120412199976968	263226
"cg00028013"	-0.109195368198328	0.701247796900628	-2.47330838848853	0.0164149957308712	0.721206999063769	-3.76249280983771	74218697	"-"	"15"	0.109195368198328	251136
"cg00033748"	0.118666570481357	0.692429049349407	2.16873191370285	0.0343225365778414	0.77930917913354	-4.40779184894887	15627056	"+"	"10"	0.118666570481357	68717
"cg00043095"	-0.114489775304739	0.227430432969105	-2.4253026265944	0.0185113869515417	0.733065942910178	-3.8687899680942	223289277	"-"	"2"	0.114489775304739	398207
"cg00059089"	0.142587506437541	0.486460500380709	2.46587004293296	0.0167251376721132	0.723110529280256	-3.77907285612954	153263288	"-"	"2"	0.142587506437541	376058
"cg00071950"	-0.120303241496175	0.260910067262083	-2.14650210477984	0.0361354305783822	0.781850198868534	-4.45212112768811	10020882	"-"	"4"	0.120303241496175	498582
"cg00097121"	0.146119889977436	0.458151263464107	2.59201815375631	0.0121199692736593	0.695540704640925	-3.49252755112076	132847171	"+"	"8"	0.146119889977436	747130
"cg00106345"	-0.148705834067674	0.631401682264692	-2.49606866795527	0.0154979608815194	0.718677634250256	-3.71151204991816	27138396	"+"	"7"	0.148705834067674	669600
"cg00125585"	-0.192220998917462	0.450797295219275	-2.59924055376354	0.0118950331475173	0.693828958263134	-3.47578084760527	51635803	"-"	"19"	0.192220998917462	330499
"cg00127664"	-0.112802978337962	0.655754512459912	-2.23596064183765	0.0293165471799948	0.767312156374294	-4.27139330971485	29597931	"-"	"18"	0.112802978337962	305669
"cg00142036"	-0.117166815237797	0.741770890748585	-2.09412323661496	0.0407416912500373	0.788107975715874	-4.55503782422205	13388442	"-"	"10"	0.117166815237797	68125
"cg00151370"	0.129330344623117	0.377218594166078	2.01257961037426	0.0489286885834016	0.797925102374194	-4.71092228853679	16323285	"+"	"6"	0.129330344623117	615289
"cg00158122"	-0.116834191442179	0.391261225071963	-2.37027626801167	0.0212077979460895	0.745593717443982	-3.98855583196031	101290029	"+"	"10"	0.116834191442179	92819
"cg00159523"	-0.155110979896517	0.452775878104587	-2.04298880951956	0.045723095194937	0.794781454696618	-4.6534121352033	114713187	"+"	"10"	0.155110979896517	96744
"cg00161243"	0.109911282060236	0.153119768634307	3.37564037159313	0.00133658359740652	0.514362788901447	-1.47804296037962	39156009	"-"	"13"	0.109911282060236	186768
"cg00178249"	-0.112324388378135	0.324349016349107	-2.54404615097097	0.0137148572882035	0.708399071797001	-3.60283023037668	77589908	"+"	"8"	0.112324388378135	729734
"cg00178427"	-0.137727537095203	0.780062159657378	-3.1032983858693	0.00298601189651255	0.576160458480537	-2.22106781646536	42500551	"+"	"1"	0.137727537095203	9432
"cg00185653"	-0.118130463525291	0.788197166780552	-2.22611593846305	0.0300067819471421	0.769208435404657	-4.29158496864077	204098731	"-"	"1"	0.118130463525291	51310
"cg00188627"	-0.134522982876909	0.288193807452712	-2.07946249368695	0.0421192323677071	0.790566167924784	-4.58345562936788	159557779	"-"	"3"	0.134522982876909	484716
"cg00200563"	0.131365556933282	0.336841897281638	2.41931936274577	0.0187888731341394	0.734059551116234	-3.88192063061212	147764304	"-"	"5"	0.131365556933282	600909
"cg00250196"	0.1699003485447	0.368774921343183	3.27468804213888	0.00180838568604986	0.538122372766145	-1.75841320592998	16836324	"+"	"2"	0.1699003485447	336737
"cg00255919"	0.161712237712193	0.50268326909762	3.23396059990627	0.00204003568155589	0.546343243607647	-1.86989950743776	131827918	"+"	"5"	0.161712237712193	596363
"cg00258081"	-0.109840670574085	0.488201038962432	-2.06658519299947	0.0433623969626327	0.791577420972724	-4.60827552108684	43290962	"-"	"11"	0.109840670574085	115393
"cg00258597"	-0.124188640127648	0.209136989256131	-2.51449318805805	0.0147897963135666	0.714740787827661	-3.66997013780888	23567607	"+"	"8"	0.124188640127648	714091
"cg00271766"	0.117869409829502	0.62939124380692	2.08526104271084	0.0415696294309249	0.789877885906487	-4.57223634949649	33172767	"+"	"22"	0.117869409829502	432934
"cg00282195"	0.117888186899679	0.434673532468299	2.18415922968285	0.0331117685104365	0.776574479296345	-4.37680119234864	168674769	"+"	"2"	0.117888186899679	381078
"cg00283187"	0.115910329466102	0.550901673457407	2.09940633464061	0.0402549819127	0.787506450063237	-4.54475549422395	95514729	"-"	"5"	0.115910329466102	584770
"cg00297048"	-0.117831172818278	0.620866220896779	-2.45605191213105	0.0171425884354989	0.725016367457505	-3.8008960464336	27186930	"+"	"7"	0.117831172818278	669614
"cg00301396"	-0.155076577181797	0.352889930036785	-3.03168519142853	0.00366542533237474	0.594565686197499	-2.40921355954241	30572929	"-"	"16"	0.155076577181797	265932
"cg00308680"	0.141948980316267	0.462648378428201	2.10162759441338	0.0400518630860992	0.787506450063237	-4.54042572602977	2963259	"+"	"18"	0.141948980316267	298544
"cg00329429"	0.136658111593813	0.440976568237763	2.71038650701259	0.00888072882853108	0.6747072180936	-3.21350985414603	38193513	"+"	"3"	0.136658111593813	448544
"cg00333617"	0.112992970551198	0.70921237698671	2.54951308071253	0.0135239500486109	0.706583050289296	-3.5903421036226	13359484	"-"	"18"	0.112992970551198	301640
"cg00337593"	0.141173061151654	0.630987227595599	2.63356546770584	0.0108770850439389	0.689692762760611	-3.39569380967261	112374119	"-"	"6"	0.141173061151654	643647
"cg00355609"	0.136483043788453	0.370958854909234	2.17654809522157	0.0337043355925983	0.778186233311449	-4.3921137080775	50510848	"+"	"14"	0.136483043788453	219774
"cg00358895"	0.164214114537385	0.522465078209163	2.71042639000458	0.00887978590519781	0.6747072180936	-3.2134142238851	36258205	"-"	"4"	0.164214114537385	506995
"cg00362150"	0.111638994162683	0.296503304008702	2.0790068736159	0.0421626835969546	0.790566167924784	-4.5843360501185	98661599	"-"	"8"	0.111638994162683	736362
"cg00370123"	-0.134897237656728	0.462755973528948	-2.20702257395721	0.0313864394723631	0.772075858419213	-4.3305332091571	1113014	"+"	"7"	0.134897237656728	661965
"cg00375970"	0.123062900765483	0.567113728959421	2.48495787842029	0.0159396827112787	0.719631287891727	-3.73644576989863	17762550	"-"	"8"	0.123062900765483	712439
"cg00376544"	-0.116381895465211	0.275701668988308	-2.48552049801345	0.0159170448153255	0.719631287891727	-3.73518533238192	6679348	"+"	"17"	0.116381895465211	280076
"cg00398637"	0.137336678367514	0.474636047923543	2.36376721180934	0.0215489528003102	0.746975046330653	-4.00257482569322	72977752	"+"	"15"	0.137336678367514	250757
"cg00421144"	-0.145762863035382	0.511423250338509	-2.25407386159004	0.0280831508777833	0.764887107357468	-4.23404865883222	27336675	"+"	"8"	0.145762863035382	715208
"cg00421541"	0.108834744226478	0.500066857408139	2.11771909664458	0.0386068831914836	0.785088961585361	-4.50894307163097	218334134	"-"	"1"	0.108834744226478	55527
"cg00449763"	0.144247078445208	0.68079402924543	2.87582784410361	0.00567167276335243	0.636716060022775	-2.80769454238448	31559410	"+"	"12"	0.144247078445208	151224
"cg00452034"	0.127022213682065	0.575690586701664	2.69406495192914	0.00927440467403586	0.678940303163108	-3.25255457419639	65108408	"+"	"12"	0.127022213682065	160762
"cg00471262"	0.118843456450319	0.704496656500553	2.2699013834449	0.0270432180026017	0.762231065177525	-4.20121130108812	108993543	"-"	"4"	0.118843456450319	529085
"cg00490655"	-0.13505064502117	0.239198296021301	-3.17438592751547	0.00242968772483707	0.56060771588141	-2.0312564308584	164592854	"-"	"2"	0.13505064502117	379759
"cg00524900"	0.138774438655021	0.565419680028904	2.55615165817101	0.0132953705735105	0.703711830138711	-3.57514910678251	118609965	"-"	"5"	0.138774438655021	592093
"cg00546403"	0.144299819231828	0.319560119522251	2.53049361930937	0.0141986964931008	0.711071981410471	-3.63369679579267	130695732	"-"	"7"	0.144299819231828	699456
"cg00547215"	-0.122530102977615	0.416864406509699	-2.16548466542961	0.0345822801810447	0.779548820910406	-4.41429137075589	53297213	"-"	"12"	0.122530102977615	157304
"cg00552704"	-0.110479281934008	0.358151443752796	-2.18845084462201	0.0327816955778479	0.776140122043281	-4.36814723784301	32121420	"-"	"6"	0.110479281934008	619831
"cg00554993"	0.117983982002045	0.477641649385048	2.48266926172093	0.0160320686970978	0.719631287891727	-3.74157060885402	23588616	"+"	"14"	0.117983982002045	211387
"cg00573079"	0.162028930073796	0.502433434892967	2.41376770894136	0.0190496770319465	0.735144606538095	-3.89408061871293	114292138	"+"	"10"	0.162028930073796	96643
"cg00573124"	-0.12774756265343	0.583667311923658	-2.89163910926595	0.00542931098797217	0.633770004578504	-2.7679719268232	139011777	"-"	"9"	0.12774756265343	784796
"cg00586317"	-0.121661466174391	0.272257439629564	-2.10421374443913	0.0398165025898186	0.787506450063237	-4.53537978091709	122149765	"-"	"12"	0.121661466174391	177983
"cg00588297"	0.110254986554146	0.510385457370337	2.09636665782721	0.0405343923423169	0.78786239948107	-4.55067422375369	74753691	"-"	"2"	0.110254986554146	353939
"cg00598226"	0.137288726615628	0.612757183760728	2.83575107561972	0.00633156056139597	0.646241801898877	-2.90765480133885	10099688	"+"	"17"	0.137288726615628	280801
