""	"seqnames"	"start"	"end"	"width"	"strand"	"value"	"area"	"cluster"	"indexStart"	"indexEnd"	"L"	"clusterL"	"p.value"	"fwer"	"p.valueArea"	"fwerArea"
"DMR_1"	"chr6"	30042137	30044259	2122	"*"	-1.77598328851543	65.7113816750709	349223	110427	110463	37	37	0	0	0	0
"DMR_2"	"chr6"	42927940	42928920	980	"*"	-2.25288093803407	58.5749043888857	353218	116244	116269	26	26	0	0	7.69076953840001e-06	0.004
"DMR_3"	"chr6"	32119616	32121566	1950	"*"	-1.2741684687163	56.0634126235173	350187	113681	113724	44	76	0	0	7.69076953840001e-06	0.004
"DMR_4"	"chr11"	44330903	44333192	2289	"*"	-1.09836660335937	50.5248637545309	70538	22105	22150	46	46	0	0	2.30723086152e-05	0.012
"DMR_5"	"chr12"	115134148	115136308	2160	"*"	-0.978790062947209	49.9182932103077	104222	34409	34459	51	51	0	0	2.30723086152e-05	0.012
"DMR_6"	"chr8"	11665774	11666810	1036	"*"	-2.66955503830067	42.7128806128108	392864	126917	126932	16	16	0	0	5.38353867688001e-05	0.028
"DMR_7"	"chr6"	24910562	24911615	1053	"*"	-2.48541171294238	42.2519991200205	347914	109124	109140	17	17	0	0	6.92169258456001e-05	0.036
"DMR_8"	"chr3"	147125712	147127193	1481	"*"	-1.49324641401384	41.8108995923875	293936	94040	94067	28	28	0	0	6.92169258456001e-05	0.036
"DMR_9"	"chr6"	30038859	30039801	942	"*"	-1.50171923081292	39.0447000011359	349220	110401	110426	26	28	0	0	9.99800039992002e-05	0.052
"DMR_10"	"chr6"	29974531	29975675	1144	"*"	-1.6744997084496	38.5134932943408	349169	110316	110338	23	23	0	0	0.0001076707735376	0.056
"DMR_11"	"chr20"	44440824	44442019	1195	"*"	-2.21823842430895	37.7100532132521	254708	82924	82940	17	17	0	0	0.0001076707735376	0.056
"DMR_12"	"chr14"	24640895	24641706	811	"*"	-2.76940066938764	33.2328080326516	121079	39016	39027	12	12	0	0	0.0001845784689216	0.088
"DMR_13"	"chr1"	39874802	39875069	267	"*"	-2.71228976683464	32.5474772020156	12601	3654	3665	12	12	0	0	0.00019226923846	0.092
