"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"MAPINFO"	"Strand"	"CHR"	"abs_logFC"	"fragment_ID"	"Name"
"cg00010654"	0.307728069731496	0.429259388700062	6.28148538220362	4.77022654173096e-08	1.67932639033262e-05	8.32060418861451	45476118	"+"	"1"	0.307728069731496	861418	NA
"cg00014830"	0.333429795441288	0.444765508897799	5.68545956078406	4.54977777877791e-07	7.59341897567425e-05	6.14617410909934	77765733	"+"	"17"	0.333429795441288	893231	NA
"cg00014830"	0.333429795441288	0.444765508897799	5.68545956078406	4.54977777877791e-07	7.59341897567425e-05	6.14617410909934	77765733	"+"	"17"	0.333429795441288	893230	NA
"cg00032956"	0.264922504291005	0.520447863732812	6.4586967378637	2.42278328183576e-08	1.07703850991946e-05	8.97476381019393	49460005	"-"	"3"	0.264922504291005	470379	NA
"cg00032956"	0.264922504291005	0.520447863732812	6.4586967378637	2.42278328183576e-08	1.07703850991946e-05	8.97476381019393	49460005	"-"	"3"	0.264922504291005	470379	"DAG1"
"cg00032956"	0.264922504291005	0.520447863732812	6.4586967378637	2.42278328183576e-08	1.07703850991946e-05	8.97476381019393	49460005	"-"	"3"	0.264922504291005	470379	"RNA5SP130"
"cg00040278"	0.283863889342657	0.310093421715612	7.25843147757504	1.11593266905626e-09	1.5432109796757e-06	11.9495502197087	8961318	"-"	"16"	0.283863889342657	266090	"USP7-AS1"
"cg00040278"	0.283863889342657	0.310093421715612	7.25843147757504	1.11593266905626e-09	1.5432109796757e-06	11.9495502197087	8961318	"-"	"16"	0.283863889342657	266090	"USP7"
"cg00054472"	0.269281266144163	0.432166066467542	5.59376610173864	6.41009958502815e-07	9.56110369826961e-05	5.8162430069973	9852352	"+"	"3"	0.269281266144163	913366	NA
"cg00056433"	0.278176446561658	0.270909379056793	4.99946432819349	5.69706832217893e-06	0.000431622532442825	3.71882520812327	161391807	"+"	"1"	0.278176446561658	856208	NA
"cg00058329"	0.274341947112986	0.283610901229283	5.82740065120926	2.66969843222792e-07	5.3224955090605e-05	6.65962587455547	133195094	"+"	"12"	0.274341947112986	873640	NA
"cg00058329"	0.274341947112986	0.283610901229283	5.82740065120926	2.66969843222792e-07	5.3224955090605e-05	6.65962587455547	133195094	"+"	"12"	0.274341947112986	873639	NA
"cg00082939"	0.265580686468752	0.68255545106243	5.95200576828417	1.66815940107891e-07	3.89641363668416e-05	7.11284196930526	77165293	"+"	"10"	0.265580686468752	865718	NA
"cg00106345"	0.279351986050489	0.631401682264692	5.02790991811055	5.14012150905497e-06	0.000400703389782457	3.81734717096781	27138396	"+"	"7"	0.279351986050489	928244	NA
"cg00106345"	0.279351986050489	0.631401682264692	5.02790991811055	5.14012150905497e-06	0.000400703389782457	3.81734717096781	27138396	"+"	"7"	0.279351986050489	928243	NA
"cg00113074"	0.31601439545495	0.567805971068151	4.8028655945568	1.1536647968765e-05	0.00070506499576203	3.04391025178662	32345052	"-"	"3"	0.31601439545495	911492	NA
"cg00119073"	0.253748739646992	0.529313204404537	5.31223334022908	1.82014570954313e-06	0.000194364717710896	4.81303708291087	187870713	"-"	"3"	0.253748739646992	910915	NA
"cg00122968"	0.254744942961271	0.252178997993548	5.4959049779346	9.22788227937177e-07	0.000122570841556242	5.46577387797789	12658611	"-"	"18"	0.254744942961271	311247	"SPIRE1"
