"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"MAPINFO"	"Strand"	"CHR"	"abs_logFC"	"fragment_ID"
"cg00010654"	0.307728069731496	0.429259388700062	6.28148538220362	4.77022654173096e-08	1.67932639033262e-05	8.32060418861451	45476118	"+"	"1"	0.307728069731496	10158
"cg00014830"	0.333429795441288	0.444765508897799	5.68545956078406	4.54977777877791e-07	7.59341897567425e-05	6.14617410909934	77765733	"+"	"17"	0.333429795441288	297072
"cg00016913"	0.287036943829059	0.432108922903907	5.94136479904581	1.73664443966502e-07	3.99598415582788e-05	7.07405441096896	27369892	"-"	"17"	0.287036943829059	284485
"cg00024049"	0.258744252494558	0.508330568961425	4.8814107952871	8.71291627526147e-06	0.000582485879101007	3.31225775995058	34960006	"-"	"21"	0.258744252494558	425939
"cg00032956"	0.264922504291005	0.520447863732812	6.4586967378637	2.42278328183576e-08	1.07703850991946e-05	8.97476381019393	49460005	"-"	"3"	0.264922504291005	451533
"cg00040278"	0.283863889342657	0.310093421715612	7.25843147757504	1.11593266905626e-09	1.5432109796757e-06	11.9495502197087	8961318	"-"	"16"	0.283863889342657	260647
"cg00054472"	0.269281266144163	0.432166066467542	5.59376610173864	6.41009958502815e-07	9.56110369826961e-05	5.8162430069973	9852352	"+"	"3"	0.269281266144163	439886
"cg00058329"	0.274341947112986	0.283610901229283	5.82740065120926	2.66969843222792e-07	5.3224955090605e-05	6.65962587455547	133195094	"+"	"12"	0.274341947112986	180577
"cg00059652"	0.305364263302892	0.500501897834528	6.00273050518266	1.37677399197944e-07	3.42247775735177e-05	7.29794426836079	67605498	"+"	"17"	0.305364263302892	294675
"cg00080972"	0.339788739939404	0.517942036470085	4.82427684953916	1.06884518910781e-05	0.00066772036420537	3.11688475780391	178986291	"+"	"5"	0.339788739939404	610030
"cg00082939"	0.265580686468752	0.68255545106243	5.95200576828417	1.66815940107891e-07	3.89641363668416e-05	7.11284196930526	77165293	"+"	"10"	0.265580686468752	85650
"cg00083833"	0.268758714743018	0.306581297431342	6.11538044150706	8.97947375501987e-08	2.56884827673232e-05	7.71016941634598	50583273	"+"	"16"	0.268758714743018	268210
"cg00084669"	0.359442802121003	0.55894666952248	7.24694903963381	1.16648958247283e-09	1.59076508570386e-06	11.9067071268729	188665440	"+"	"3"	0.359442802121003	493697
"cg00096922"	0.268373901729835	0.291087538099377	5.16193540047867	3.15778824451043e-06	0.000284946792736825	4.28430500608031	96654185	"-"	"7"	0.268373901729835	689377
"cg00097146"	0.257933914689687	0.352582066012347	4.63972403872677	2.05587695492328e-05	0.00106467221507557	2.4924242489191	45171818	"+"	"2"	0.257933914689687	345008
"cg00103778"	0.255328459936478	0.239451410542211	5.15177678748286	3.27703791971154e-06	0.000292327123806828	4.24875687217538	30196041	"+"	"20"	0.255328459936478	411165
"cg00106345"	0.279351986050489	0.631401682264692	5.02790991811055	5.14012150905497e-06	0.000400703389782457	3.81734717096781	27138396	"+"	"7"	0.279351986050489	669600
"cg00113074"	0.31601439545495	0.567805971068151	4.8028655945568	1.1536647968765e-05	0.00070506499576203	3.04391025178662	32345052	"-"	"3"	0.31601439545495	446786
"cg00122968"	0.254744942961271	0.252178997993548	5.4959049779346	9.22788227937177e-07	0.000122570841556242	5.46577387797789	12658611	"-"	"18"	0.254744942961271	301452
"cg00134449"	0.335607921029709	0.34612270066186	6.5045088411587	2.03276885423143e-08	9.61389681209942e-06	9.1442938317087	75390205	"+"	"14"	0.335607921029709	227246
"cg00159523"	0.323716578218938	0.452775878104587	4.52492242875452	3.0731172717737e-05	0.00141666643236472	2.1094177311595	114713187	"+"	"10"	0.323716578218938	96744
"cg00164949"	0.311028172213907	0.207532596362411	6.47553846356205	2.27142768475338e-08	1.02546267197318e-05	9.03706908533468	43037427	"-"	"17"	0.311028172213907	288149
"cg00172603"	0.255290528891962	0.572990161508339	4.09067821493425	0.000135285795984378	0.00402863808647828	0.703364711690379	54822031	"+"	"1"	0.255290528891962	12616
"cg00183684"	0.304579731628163	0.339874912538153	5.87193386025629	2.25721346534005e-07	4.77020445423339e-05	6.82135085526758	86043834	"+"	"1"	0.304579731628163	22564
"cg00193963"	0.355132629389472	0.198818349464724	7.49253975297966	4.52165487884615e-10	8.93857246034878e-07	12.823092232354	29923832	"+"	"7"	0.355132629389472	670474
"cg00199059"	0.264346926713433	0.478051479715239	5.58534551592855	6.61466107489522e-07	9.7798351027093e-05	5.78601761073777	45317219	"-"	"20"	0.264346926713433	414864
"cg00204159"	0.266884842497599	0.19755295457644	6.54321528264907	1.75241727261452e-08	8.76811709561765e-06	9.28764859871583	18907454	"+"	"17"	0.266884842497599	283145
"cg00230700"	0.272477172001571	0.191894779879797	6.22331407653057	5.95489219021592e-08	1.95974667417969e-05	8.10649825292561	84457956	"-"	"4"	0.272477172001571	521076
"cg00233028"	0.311860655594623	0.497090450611518	7.09904902457146	2.06390292479534e-09	2.27908600918735e-06	11.3549984373994	44642914	"+"	"11"	0.311860655594623	115783
"cg00234462"	0.254473067513925	0.220598281098223	5.77539680641599	3.24662767657399e-07	6.08123540499214e-05	6.47114377162211	29967031	"+"	"15"	0.254473067513925	238221
"cg00242976"	0.333812851258514	0.50554548157004	6.02776116528957	1.25219676856767e-07	3.21430115684055e-05	7.38940649974827	44440824	"-"	"20"	0.333812851258514	414672
"cg00247571"	0.423316712757778	0.456860215195137	8.53683565831673	8.17392421595407e-12	7.05973076756007e-08	16.7017860466193	50707065	"-"	"13"	0.423316712757778	190412
"cg00252799"	0.258678144133517	0.399328970133275	5.5105690485117	8.73847303562901e-07	0.000117907545258406	5.5181766461442	38836218	"-"	"7"	0.258678144133517	673152
"cg00255726"	0.294044638757514	0.380328215006229	4.38063116171891	5.06417925751734e-05	0.00202007215084762	1.63440802698115	21769114	"+"	"8"	0.294044638757514	713670
"cg00258165"	0.261143659097423	0.646330777458635	5.40648999902163	1.2854451578398e-06	0.000153335938271558	5.14715042684052	7459349	"+"	"19"	0.261143659097423	321417
"cg00262122"	0.384628492649386	0.200067604374896	6.99328452569278	3.10316399910749e-09	2.88694757777523e-06	10.9607129219773	11665843	"-"	"8"	0.384628492649386	710604
"cg00266983"	0.306106022801833	0.374716896300488	4.8484787976014	9.80312391529739e-06	0.000630425801095882	3.1995307903109	1277521	"-"	"7"	0.306106022801833	662000
"cg00286125"	0.305144425872216	0.491623964421591	6.46959076996644	2.32377288963493e-08	1.04196224206258e-05	9.01506335633962	36246906	"+"	"19"	0.305144425872216	327706
"cg00297832"	0.320387103950015	0.429542618693066	4.48193011099498	3.56872419021345e-05	0.00157708828121805	1.96712327143838	1565541	"+"	"1"	0.320387103950015	301
"cg00301159"	0.255305665427847	0.547471925094388	5.3075136291383	1.85203969058594e-06	0.000196728102998596	4.79635665747954	157260788	"+"	"3"	0.255305665427847	483953
"cg00305281"	0.254127962163401	0.268349126528056	6.19817036805162	6.55347483771583e-08	2.08441010139763e-05	8.01405987342114	42316176	"+"	"22"	0.254127962163401	435068
"cg00319367"	0.284728780637384	0.437819742015558	4.85067228859276	9.72653005615977e-06	0.000627475353833706	3.2070295624383	107281601	"-"	"8"	0.284728780637384	738990
"cg00332937"	0.300773365227999	0.498858797470152	6.0135950750906	1.32125879901151e-07	3.32260636888753e-05	7.33763381379343	72740460	"+"	"5"	0.300773365227999	577527
"cg00333483"	0.257774947350396	0.262631444573172	4.17532997396733	0.000101859018754361	0.00330494705935914	0.971762103847603	79504180	"+"	"17"	0.257774947350396	297385
"cg00340855"	0.345469057553317	0.385042518599	5.67654132978227	4.70429666338647e-07	7.76825896029105e-05	6.11402163650258	30458586	"+"	"6"	0.345469057553317	619530
"cg00347563"	0.253918528600957	0.210290447797041	4.98171850620722	6.07409596241382e-06	0.000451507555740368	3.65746968441047	78511600	"-"	"1"	0.253918528600957	20027
"cg00347904"	0.451771280353128	0.342045243836426	8.7144541565882	4.15298369881938e-12	4.30426502929966e-08	17.3555833396552	35182508	"+"	"6"	0.451771280353128	620508
"cg00349607"	0.265373355544704	0.293558672329392	5.27117650658181	2.11674466772157e-06	0.00021653921879404	4.66809707581625	39546688	"-"	"1"	0.265373355544704	8660
"cg00360794"	0.371405444944951	0.356368972188029	8.21955672294762	2.75310176352593e-11	1.36806340844952e-07	15.5286637861359	41803850	"-"	"15"	0.371405444944951	241703
"cg00361040"	0.270710514502741	0.474777771131811	4.7091419123069	1.60924580604261e-05	0.000893702449401652	2.72608447987672	73354967	"-"	"13"	0.270710514502741	197660
"cg00362285"	0.325615133291016	0.446562341749046	6.18770982652889	6.81977261507136e-08	2.14621325628921e-05	7.97562216834214	236444212	"+"	"1"	0.325615133291016	60625
"cg00370123"	0.350790555159723	0.462755973528948	7.16358909741832	1.60903547481371e-09	1.9560532331083e-06	11.5957139745992	1113014	"+"	"7"	0.350790555159723	661965
"cg00379648"	0.273556639646819	0.312069114826424	5.88956144506187	2.11197953426349e-07	4.56703141618071e-05	6.88544530679001	106979451	"-"	"12"	0.273556639646819	174296
"cg00381541"	0.273646391144471	0.489910628436572	6.63780267566632	1.21891304591864e-08	7.05199518262303e-06	9.63839024570969	40192279	"-"	"17"	0.273646391144471	287601
"cg00407245"	0.316351802959289	0.345108479606514	6.86421716541686	5.10239637862826e-09	4.03244386742748e-06	10.4799918342967	55598874	"+"	"19"	0.316351802959289	331287
"cg00410788"	0.266526313896018	0.220844038283541	6.17750162289971	7.09000373451157e-08	2.20762776046064e-05	7.93812288591494	201857756	"-"	"1"	0.266526313896018	50798
"cg00414384"	0.313291221635171	0.349390334402758	7.17825000015171	1.52055044229986e-09	1.8889688790036e-06	11.6504038919047	68518048	"+"	"11"	0.313291221635171	122025
"cg00434573"	0.309140940695825	0.452823570729448	6.35839683492734	3.5561059107739e-08	1.38931140665619e-05	8.6041802571861	2041960	"+"	"19"	0.309140940695825	320672
"cg00447052"	0.260109434838994	0.249612600707667	7.25060398566308	1.15015336089452e-09	1.57738206649455e-06	11.9203442981043	145556707	"-"	"8"	0.260109434838994	750338
"cg00451194"	0.283108568150319	0.231945082273668	6.10109569872341	9.48026736240343e-08	2.67415415674818e-05	7.65781295495451	69141250	"+"	"16"	0.283108568150319	273484
"cg00454305"	0.252555523537594	0.595414905184457	5.47212155927482	1.00797992118259e-06	0.000129914447475226	5.38087026693058	1429905	"-"	"16"	0.252555523537594	259004
"cg00455327"	0.299469047435309	0.432726441600311	5.90658316759441	1.98053788470205e-07	4.37805683977286e-05	6.94737831053006	20714217	"-"	"18"	0.299469047435309	302835
"cg00459232"	0.259130844889447	0.280046842281342	4.81138140045921	1.11916837401127e-05	0.000690673303995241	3.07291804207521	6309025	"-"	"12"	0.259130844889447	143427
"cg00472277"	0.26126005482366	0.417113014968094	5.2529444188213	2.26326615738651e-06	0.000226763890887689	4.60385333106906	2327755	"-"	"11"	0.26126005482366	102740
"cg00478479"	0.337936385154479	0.514060848399425	5.69823600522162	4.33712217590065e-07	7.34838346915869e-05	6.19225941637345	40904851	"+"	"19"	0.337936385154479	328571
"cg00480856"	0.258698313857081	0.606996233839829	3.77011592946894	0.000386458210324078	0.00840452773177182	-0.285044612168881	123390035	"-"	"7"	0.258698313857081	697328
"cg00495860"	0.289872472968838	0.374931031443636	6.34623860155516	3.72523991255e-08	1.43129829333947e-05	8.55931650229026	38065524	"+"	"21"	0.289872472968838	426850
"cg00498211"	0.371510813546556	0.348924790327166	6.35777607575607	3.56455329861612e-08	1.39111342312679e-05	8.60188934630917	65217568	"-"	"2"	0.371510813546556	351266
"cg00498305"	0.254026192557007	0.407359368654612	5.45301744914814	1.08199488972516e-06	0.000136424437000471	5.31275071004001	119000236	"+"	"10"	0.254026192557007	98055
"cg00506062"	0.284307612415345	0.600505030389309	5.74626987917048	3.62203056674518e-07	6.50923842988125e-05	6.36575817902327	45981165	"-"	"20"	0.284307612415345	415015
"cg00507727"	0.284749785494987	0.203402095660973	6.16190148579034	7.52365127341279e-08	2.29924240741774e-05	7.88083826253957	8302191	"+"	"7"	0.284749785494987	663511
"cg00507757"	0.266278451956828	0.361864757510864	5.45946508263179	1.05643397955151e-06	0.000134298544897607	5.33573305651225	56685332	"-"	"12"	0.266278451956828	158149
"cg00513205"	0.277281907593245	0.497995364537901	5.02974326849803	5.10611981425191e-06	0.000398631746381142	3.82370423771405	134872649	"+"	"5"	0.277281907593245	597144
"cg00522048"	0.26408022253842	0.714549950477128	6.57780507630992	1.5346427133947e-08	8.10321509406947e-06	9.41584449165499	121172431	"-"	"10"	0.26408022253842	98636
