"ID"	"Description"	"mIDH1_NES"	"mIDH2_NES"	"NR_NES"	"R_NES"	"mIDH1_pvalue"	"mIDH2_pvalue"	"NR_pvalue"	"R_pvalue"	"mIDH1_core_enrichment"	"mIDH2_core_enrichment"	"NR_core_enrichment"	"R_core_enrichment"
"hsa00190"	"Oxidative phosphorylation"	0	-1.63365717533985	-2.0882682233497	-2.05571343569534	1	0.0386710910066084	0.00270046400664834	0.00393132836537725	""	"NDUFS3/COX5A/NDUFS1"	"NDUFA2/NDUFS1/NDUFS3"	"NDUFA2/NDUFS1/NDUFS3"
"hsa00230"	"Purine metabolism"	-1.53135283348761	0	0	-1.49147242214562	0.058411214953271	1	1	0.0726392251815981	"ATIC/PDE4A"	""	""	"NME2/ADCY7"
"hsa00510"	"N-Glycan biosynthesis"	0	1.54352282756561	1.58666296443401	1.59135609156821	1	0.0541958041958042	0.0282231120328932	0.0441593714017251	""	"DDOST/RPN2/RPN1"	"RPN1/RPN2/DDOST"	"RPN1/RPN2/DDOST"
"hsa00513"	"Various types of N-glycan biosynthesis"	0	1.54352282756561	1.58666296443401	1.59135609156821	1	0.0541958041958042	0.0282231120328932	0.0441593714017251	""	"DDOST/RPN2/RPN1"	"RPN1/RPN2/DDOST"	"RPN1/RPN2/DDOST"
"hsa00562"	"Inositol phosphate metabolism"	0	0	0	-1.75710062775794	1	1	1	0.0256526644800754	""	""	""	"PLCG1/PTEN/PIKFYVE"
"hsa01100"	"Metabolic pathways"	-1.97505018884138	0	0	-2.17244511551016	0.00619262825665297	1	1	0.00152866800684239	"PAFAH1B1/PIK3CD/EHMT1/RPN2/SIRT2/DDOST/NDUFS8/SETD7/SIRT5/PCBD1/DNMT3A/NME2/PTEN/PRDM16/ITPK1/ATIC/DNMT3B/SETD1A/PIKFYVE/GGCT/NDUFV2/SIRT7/NDUFA3/PDE4A"	""	""	"SETD7/SIRT2/PCBD1/SIRT5/ATIC/DNMT3B/ITPK1/DNMT3A/NME2/PLCG1/NDUFV1/SETD1A/PTEN/PRDM16/GGCT/ADCY7/PIKFYVE/NDUFA2/NDUFS1/NDUFS3"
"hsa03010"	"Ribosome"	5.43166570029578	4.57387012773084	5.19410256736798	5.14192917438826	1e-10	1e-10	1e-10	1e-10	"RPS27/RPS13/RPS7/RPS5/RPS14/RPS6/RPS4X/RPS8/RPS3/RPS9/RPS4Y1/RPS23/RPL11/RPS2/RPS11/RPL18A/RPL4/RPL24/RPL15/RPL17/RPL13A/RPL23A/RPS17/RPL27A/RPL10/RPL6/RPL34/RPL28/RPL35/RPL8/RPL26/RPS12/RPL29/RPL31/RPS19/RPS20/RPL21/RPL5/RPL12/RPL32/RPL3/RPL7A/RPS26/RPLP2/RPL10A/RPS18/RPSA/RPS16/RPL27/RPL23/RPS25/RPLP0/RPL14/RPL35A/RPL7/RPL38/RPS3A/RPL22/RPL18/RPL9/RPL13/RPS10"	"RPS5/RPS8/RPS7/RPS4X/RPS9/RPS13/RPL14/RPL5/RPS27/RPL17/RPS17/RPS12/RPS25/RPS19/RPL18A/RPS20/RPS4Y1/RPSA/RPL15/RPLP2/RPS2/RPL7A/RPL12/RPS10/RPL26/RPL34/RPL10A/RPL31/RPS23/RPL9/RPS3/RPLP0/RPL35/RPL3/RPS16/RPL32/RPS18/RPL8/RPL21/RPL29/RPL22/RPL24/RPL11/RPL23A/RPL28/RPL35A/RPL4/RPL6/RPS26/RPL27A/RPL7/RPS11/RPL10/RPL27/RPL13/RPL18/RPS14/RPL37/RPS3A/RPL13A"	"RPS5/RPS7/RPS27/RPS13/RPS8/RPS4X/RPS9/RPS3/RPS2/RPS17/RPL5/RPS4Y1/RPL18A/RPS23/RPS12/RPS19/RPL17/RPL14/RPS20/RPL15/RPS25/RPS18/RPL10A/RPL34/RPSA/RPL11/RPL26/RPL31/RPS11/RPL12/RPL24/RPS16/RPLP2/RPL7A/RPL3/RPL32/RPL35/RPL23A/RPL4/RPS14/RPL8/RPL29/RPLP0/RPL21/RPS10/RPL9/RPL27A/RPL13A/RPL28/RPL6/RPS26/RPL10/RPL22/RPL35A/RPL27/RPL7/RPL13/RPL38/RPS3A/RPL18/RPL23/RPS6"	"RPS5/RPS7/RPS27/RPS13/RPS8/RPS4X/RPS9/RPS3/RPS2/RPS17/RPL5/RPS4Y1/RPL18A/RPS23/RPS12/RPL17/RPS19/RPL14/RPS20/RPL15/RPS25/RPS18/RPL10A/RPL34/RPSA/RPL26/RPL11/RPL31/RPS11/RPL12/RPL24/RPS16/RPLP2/RPL7A/RPL3/RPL32/RPL35/RPL23A/RPL4/RPS14/RPL8/RPL29/RPLP0/RPL21/RPS10/RPL9/RPL27A/RPL13A/RPL28/RPL6/RPS26/RPL10/RPL22/RPL35A/RPL27/RPL7/RPL13/RPL38/RPS3A/RPL18/RPL23/RPS6"
"hsa03013"	"Nucleocytoplasmic transport"	2.61158529404047	3.16051729760657	2.89304927697403	2.88310450680967	3.06887000389841e-05	4.54592392600619e-08	6.6253430588835e-07	1.15542119210686e-06	"NCBP1/EIF4A3/RBM8A/RNPS1/SRRM1/RANBP2/NUP43/SEC13/ALYREF/UPF3B/NCBP2/SUMO1/NUP98/NUP50/RAE1/XPO1/MAGOH/NUP107/TPR/NUP210/NUP153/NUP85/NUP54/NUP214/EEF1A1/UPF1/PHAX/SUMO2/NUP160/THOC7/NUP88/RAN/THOC1/NUP93/KPNB1/NXF1/RANGAP1/UBE2I/SEH1L/IPO7/KPNA1/NUP62/THOC3/NUP37"	"RBM8A/XPO1/NCBP2/EIF4A3/UPF3B/ALYREF/NCBP1/RNPS1/SEC13/MAGOH/RANBP2/NUP37/SEH1L/NUP98/SRRM1/NUP62/NUP50/SUMO1/NUP93/NUP107/NUP214/TPR/NUP133/RAE1/UPF1/EEF1A1/NUP88/SUMO2/NUP85/NUP54/RANGAP1/NUP43/RAN/UBE2I/THOC1/NUP153/THOC3/THOC2/NXF1/KPNB1/NUP155/KPNA1/KPNA3/SUMO3/AAAS/NUP205"	"RBM8A/EIF4A3/NCBP1/NCBP2/XPO1/RNPS1/UPF3B/ALYREF/SEC13/SRRM1/RANBP2/MAGOH/NUP98/SUMO1/NUP50/NUP37/TPR/RAE1/NUP107/NUP43/SEH1L/NUP93/NUP62/EEF1A1/UPF1/NUP214/SUMO2/NUP85/NUP88/NUP54/RAN/NUP153/RANGAP1/THOC1/UBE2I/NUP210/THOC3/NUP160/KPNB1/NXF1/KPNA1/PHAX/THOC2"	"RBM8A/EIF4A3/NCBP1/NCBP2/XPO1/RNPS1/UPF3B/ALYREF/SEC13/SRRM1/RANBP2/MAGOH/NUP98/SUMO1/NUP50/TPR/NUP37/RAE1/NUP107/NUP43/SEH1L/NUP93/NUP62/EEF1A1/UPF1/NUP214/SUMO2/NUP85/NUP88/NUP54/RAN/NUP153/RANGAP1/THOC1/UBE2I/NUP210/THOC3/KPNB1/NUP160/NXF1/KPNA1/PHAX/THOC2"
"hsa03015"	"mRNA surveillance pathway"	2.87473196501195	3.35938045725319	3.07330605452032	3.08318325994925	2.07529233579884e-06	4.01665032326933e-09	1.53614960663043e-07	1.0007096879755e-07	"NCBP1/EIF4A3/RBM8A/RNPS1/CPSF2/SRRM1/CLP1/CSTF2/PPP2CA/PPP2R1A/CPSF1/NUDT21/ALYREF/UPF3B/NCBP2/CPSF7/PABPC1/CSTF3/CSTF1/MAGOH/WDR33/SYMPK/ETF1/FUS/UPF1"	"RBM8A/NCBP2/EIF4A3/UPF3B/CPSF2/CPSF1/ALYREF/NCBP1/NUDT21/PPP2CA/PPP2R1A/PABPC1/RNPS1/CSTF3/CSTF2/PABPN1/WDR33/MAGOH/CSTF1/SYMPK/CPSF7/SRRM1/CPSF3/PPP2R2A/UPF1/PPP1CA"	"RBM8A/EIF4A3/NCBP1/NCBP2/CPSF2/CPSF1/RNPS1/UPF3B/ALYREF/PPP2CA/PPP2R1A/NUDT21/SRRM1/PABPC1/CSTF2/MAGOH/WDR33/CSTF3/SYMPK/CPSF7/CSTF1"	"RBM8A/EIF4A3/NCBP1/NCBP2/CPSF2/CPSF1/RNPS1/UPF3B/ALYREF/PPP2CA/PPP2R1A/NUDT21/SRRM1/PABPC1/CSTF2/MAGOH/WDR33/CSTF3/SYMPK/CPSF7/CSTF1"
"hsa03020"	"RNA polymerase"	2.5532691225254	2.25483711233585	2.20919332960591	2.19480894736549	9.04803264298008e-06	0.000177364551264224	0.000491293491916824	0.00020615700912052	"POLR2C/POLR2D/POLR2G/POLR2E/POLR2J/POLR2B/POLR2H/POLR2L/POLR2A"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2A/POLR2H"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2H/POLR2A"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2H/POLR2A"
