"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"1"	"Cluster NR"	"GO:1990752"	"microtubule end"	"2/57"	"33/19869"	0.00403244742085675	0.00403244742085675	0.280594478417301	"DST/RNF4"	2
"2"	"Cluster NR"	"GO:0005795"	"Golgi stack"	"3/57"	"153/19869"	0.00966885803281319	0.00966885803281319	0.280594478417301	"BCAP31/NSFL1C/OCRL"	3
"3"	"Cluster NR"	"GO:0099699"	"integral component of synaptic membrane"	"3/57"	"155/19869"	0.0100152515741079	0.0100152515741079	0.280594478417301	"GRM2/HTR1B/PTPRA"	3
"4"	"Cluster NR"	"GO:0099240"	"intrinsic component of synaptic membrane"	"3/57"	"166/19869"	0.0120493109423906	0.0120493109423906	0.280594478417301	"GRM2/HTR1B/PTPRA"	3
"5"	"Cluster NR"	"GO:0101002"	"ficolin-1-rich granule"	"3/57"	"185/19869"	0.0160852361008536	0.0160852361008536	0.280594478417301	"AP2A2/PDAP1/PSMC3"	3
"6"	"Cluster NR"	"GO:0005905"	"clathrin-coated pit"	"2/57"	"71/19869"	0.0177040054464023	0.0177040054464023	0.280594478417301	"AP2A2/OCRL"	2
"7"	"Cluster NR"	"GO:0030136"	"clathrin-coated vesicle"	"3/57"	"211/19869"	0.0227017827674935	0.0227017827674935	0.280594478417301	"AP2A2/BCAP31/OCRL"	3
"8"	"Cluster NR"	"GO:0030062"	"mitochondrial tricarboxylic acid cycle enzyme complex"	"1/57"	"11/19869"	0.0311156409721353	0.0311156409721353	0.280594478417301	"DBT"	1
"9"	"Cluster NR"	"GO:0005925"	"focal adhesion"	"4/57"	"422/19869"	0.0327867308228064	0.0327867308228064	0.280594478417301	"DST/ENG/PTPRA/RHOB"	4
"10"	"Cluster NR"	"GO:0030055"	"cell-substrate junction"	"4/57"	"432/19869"	0.0352762827859208	0.0352762827859208	0.280594478417301	"DST/ENG/PTPRA/RHOB"	4
