"Rownames"	"chr"	"start"	"end"	"Name"
"chr1:850619-874081"	"chr1:850619-874081"	"chr1"	850619	874081	""
"chr1:889424-903640"	"chr1:889424-903640"	"chr1"	889424	903640	""
"chr1:903641-927394"	"chr1:903641-927394"	"chr1"	903641	927394	"LINC02593;SAMD11"
"chr1:1005127-1034268"	"chr1:1005127-1034268"	"chr1"	1005127	1034268	"AGRN"
"chr1:1049052-1062659"	"chr1:1049052-1062659"	"chr1"	1049052	1062659	"LOC100288175"
"chr1:1096739-1107115"	"chr1:1096739-1107115"	"chr1"	1096739	1107115	""
"chr1:1109733-1122642"	"chr1:1109733-1122642"	"chr1"	1109733	1122642	"C1orf159"
"chr1:1126526-1150969"	"chr1:1126526-1150969"	"chr1"	1126526	1150969	"LINC01342"
"chr1:1160798-1206873"	"chr1:1160798-1206873"	"chr1"	1160798	1206873	"MIR200B;MIR200A;MIR429;TTLL10;TTLL10-AS1;TNFRSF18"
"chr1:1206874-1212438"	"chr1:1206874-1212438"	"chr1"	1206874	1212438	"TNFRSF18"
"chr1:1212439-1220554"	"chr1:1212439-1220554"	"chr1"	1212439	1220554	"TNFRSF4"
"chr1:1239426-1278099"	"chr1:1239426-1278099"	"chr1"	1239426	1278099	"C1QTNF12;UBE2J2"
"chr1:1283837-1305518"	"chr1:1283837-1305518"	"chr1"	1283837	1305518	"MIR6726"
"chr1:1309969-1313315"	"chr1:1309969-1313315"	"chr1"	1309969	1313315	"ACAP3;MIR6727"
"chr1:1313316-1350443"	"chr1:1313316-1350443"	"chr1"	1313316	1350443	"MIR6727;CPTP;INTS11;TAS1R3;MIR6808;DVL1"
"chr1:1373174-1385407"	"chr1:1373174-1385407"	"chr1"	1373174	1385407	"AURKAIP1"
"chr1:1398654-1415810"	"chr1:1398654-1415810"	"chr1"	1398654	1415810	"MRPL20-AS1;CCNL2;MRPL20"
"chr1:1465274-1482323"	"chr1:1465274-1482323"	"chr1"	1465274	1482323	"ATAD3B"
"chr1:1505407-1516638"	"chr1:1505407-1516638"	"chr1"	1505407	1516638	"ATAD3A"
"chr1:1533887-1545982"	"chr1:1533887-1545982"	"chr1"	1533887	1545982	"TMEM240"
"chr1:1562478-1580659"	"chr1:1562478-1580659"	"chr1"	1562478	1580659	"SSU72"
"chr1:1648711-1672992"	"chr1:1648711-1672992"	"chr1"	1648711	1672992	"CDK11B"
"chr1:1709350-1729790"	"chr1:1709350-1729790"	"chr1"	1709350	1729790	"CDK11A"
"chr1:2143648-2147289"	"chr1:2143648-2147289"	"chr1"	2143648	2147289	""
"chr1:2387105-2417285"	"chr1:2387105-2417285"	"chr1"	2387105	2417285	"RER1;MORN1;PEX10"
"chr1:2420090-2426369"	"chr1:2420090-2426369"	"chr1"	2420090	2426369	"PLCH2"
"chr1:2458433-2495896"	"chr1:2458433-2495896"	"chr1"	2458433	2495896	""
"chr1:2556307-2565296"	"chr1:2556307-2565296"	"chr1"	2556307	2565296	""
"chr1:3370481-3383373"	"chr1:3370481-3383373"	"chr1"	3370481	3383373	""
"chr1:3665843-3671123"	"chr1:3665843-3671123"	"chr1"	3665843	3671123	""
"chr1:3705943-3720839"	"chr1:3705943-3720839"	"chr1"	3705943	3720839	""
"chr1:3768441-3797948"	"chr1:3768441-3797948"	"chr1"	3768441	3797948	"SMIM1;LRRC47"
"chr1:5861508-5877773"	"chr1:5861508-5877773"	"chr1"	5861508	5877773	"MIR4689"
"chr1:6220817-6245036"	"chr1:6220817-6245036"	"chr1"	6220817	6245036	"ICMT;HES3"
"chr1:6258535-6274327"	"chr1:6258535-6274327"	"chr1"	6258535	6274327	"GPR153"
"chr1:6440860-6466926"	"chr1:6440860-6466926"	"chr1"	6440860	6466926	"TNFRSF25"
"chr1:6517223-6531281"	"chr1:6517223-6531281"	"chr1"	6517223	6531281	"PLEKHG5"
"chr1:6553634-6581701"	"chr1:6553634-6581701"	"chr1"	6553634	6581701	"TAS1R1;NOL9;ZBTB48"
"chr1:6597457-6614861"	"chr1:6597457-6614861"	"chr1"	6597457	6614861	"PHF13;KLHL21"
"chr1:6614862-6634284"	"chr1:6614862-6634284"	"chr1"	6614862	6634284	"KLHL21;THAP3"
"chr1:7435883-7454740"	"chr1:7435883-7454740"	"chr1"	7435883	7454740	""
"chr1:7828562-7833272"	"chr1:7828562-7833272"	"chr1"	7828562	7833272	""
"chr1:7998728-8004156"	"chr1:7998728-8004156"	"chr1"	7998728	8004156	""
"chr1:8008116-8036091"	"chr1:8008116-8036091"	"chr1"	8008116	8036091	"ERRFI1"
"chr1:8873994-8880232"	"chr1:8873994-8880232"	"chr1"	8873994	8880232	"ENO1-AS1;ENO1"
"chr1:8943321-8945270"	"chr1:8943321-8945270"	"chr1"	8943321	8945270	"CA6"
"chr1:9082025-9091716"	"chr1:9082025-9091716"	"chr1"	9082025	9091716	"SLC2A5"
"chr1:9648089-9649792"	"chr1:9648089-9649792"	"chr1"	9648089	9649792	"PIK3CD"
"chr1:9908051-9918370"	"chr1:9908051-9918370"	"chr1"	9908051	9918370	"CTNNBIP1"
"chr1:9966988-9976770"	"chr1:9966988-9976770"	"chr1"	9966988	9976770	"MIR5697"
"chr1:9990442-10021260"	"chr1:9990442-10021260"	"chr1"	9990442	10021260	"RBP7"
"chr1:10221034-10226462"	"chr1:10221034-10226462"	"chr1"	10221034	10226462	""
"chr1:10445370-10461020"	"chr1:10445370-10461020"	"chr1"	10445370	10461020	"CORT"
"chr1:11065147-11085725"	"chr1:11065147-11085725"	"chr1"	11065147	11085725	""
"chr1:11085726-11113120"	"chr1:11085726-11113120"	"chr1"	11085726	11113120	"EXOSC10-AS1;EXOSC10"
"chr1:11228704-11246524"	"chr1:11228704-11246524"	"chr1"	11228704	11246524	""
"chr1:11750936-11763560"	"chr1:11750936-11763560"	"chr1"	11750936	11763560	"C1orf167"
"chr1:11837145-11851241"	"chr1:11837145-11851241"	"chr1"	11837145	11851241	"NPPA"
"chr1:11901356-11913795"	"chr1:11901356-11913795"	"chr1"	11901356	11913795	"RNU5E-1"
"chr1:11980154-11990122"	"chr1:11980154-11990122"	"chr1"	11980154	11990122	"MFN2"
"chr1:12034073-12041913"	"chr1:12034073-12041913"	"chr1"	12034073	12041913	""
"chr1:12065739-12080397"	"chr1:12065739-12080397"	"chr1"	12065739	12080397	""
"chr1:12225212-12232633"	"chr1:12225212-12232633"	"chr1"	12225212	12232633	"VPS13D"
"chr1:12673527-12691643"	"chr1:12673527-12691643"	"chr1"	12673527	12691643	""
"chr1:12700924-12716452"	"chr1:12700924-12716452"	"chr1"	12700924	12716452	"AADACL3"
"chr1:12773296-12776419"	"chr1:12773296-12776419"	"chr1"	12773296	12776419	"PRAMEF12"
"chr1:12832196-12836206"	"chr1:12832196-12836206"	"chr1"	12832196	12836206	"PRAMEF11"
"chr1:15659242-15665924"	"chr1:15659242-15665924"	"chr1"	15659242	15665924	"RSC1A1"
"chr1:15722210-15736883"	"chr1:15722210-15736883"	"chr1"	15722210	15736883	"SLC25A34"
"chr1:15826428-15855325"	"chr1:15826428-15855325"	"chr1"	15826428	15855325	"SPEN;FLJ37453"
"chr1:15985644-15986908"	"chr1:15985644-15986908"	"chr1"	15985644	15986908	""
"chr1:16008061-16023603"	"chr1:16008061-16023603"	"chr1"	16008061	16023603	"CLCNKA;HSPB7"
"chr1:16064296-16081772"	"chr1:16064296-16081772"	"chr1"	16064296	16081772	"FAM131C"
"chr1:16232922-16239426"	"chr1:16232922-16239426"	"chr1"	16232922	16239426	"CPLANE2"
"chr1:16358634-16372517"	"chr1:16358634-16372517"	"chr1"	16358634	16372517	""
"chr1:16516866-16525321"	"chr1:16516866-16525321"	"chr1"	16516866	16525321	""
"chr1:16765771-16774097"	"chr1:16765771-16774097"	"chr1"	16765771	16774097	"MST1L"
"chr1:17297144-17307321"	"chr1:17297144-17307321"	"chr1"	17297144	17307321	"PADI4"
"chr1:17370286-17387431"	"chr1:17370286-17387431"	"chr1"	17370286	17387431	"PADI6"
"chr1:17441219-17449501"	"chr1:17441219-17449501"	"chr1"	17441219	17449501	"RCC2"
"chr1:17751756-17766957"	"chr1:17751756-17766957"	"chr1"	17751756	17766957	"ACTL8"
"chr1:18955828-18960379"	"chr1:18955828-18960379"	"chr1"	18955828	18960379	"IFFO2"
"chr1:19810353-19813225"	"chr1:19810353-19813225"	"chr1"	19810353	19813225	""
"chr1:19922861-19925827"	"chr1:19922861-19925827"	"chr1"	19922861	19925827	"PLA2G2E"
"chr1:20478374-20481463"	"chr1:20478374-20481463"	"chr1"	20478374	20481463	""
"chr1:20509799-20518010"	"chr1:20509799-20518010"	"chr1"	20509799	20518010	"MUL1"
"chr1:20986446-20993659"	"chr1:20986446-20993659"	"chr1"	20986446	20993659	"MIR1256"
"chr1:21491254-21509085"	"chr1:21491254-21509085"	"chr1"	21491254	21509085	"ALPL"
"chr1:21670022-21674589"	"chr1:21670022-21674589"	"chr1"	21670022	21674589	"RAP1GAP"
"chr1:21904946-21937583"	"chr1:21904946-21937583"	"chr1"	21904946	21937583	"HSPG2"
"chr1:22137923-22169002"	"chr1:22137923-22169002"	"chr1"	22137923	22169002	"LOC105376845;WNT4"
"chr1:22263134-22276213"	"chr1:22263134-22276213"	"chr1"	22263134	22276213	"MIR4418"
"chr1:22962784-22972844"	"chr1:22962784-22972844"	"chr1"	22962784	22972844	"LACTBL1"
"chr1:23150255-23167762"	"chr1:23150255-23167762"	"chr1"	23150255	23167762	""
"chr1:23283163-23292199"	"chr1:23283163-23292199"	"chr1"	23283163	23292199	""
"chr1:23339692-23351051"	"chr1:23339692-23351051"	"chr1"	23339692	23351051	"HNRNPR"
"chr1:23668978-23672781"	"chr1:23668978-23672781"	"chr1"	23668978	23672781	""
"chr1:23903672-23918990"	"chr1:23903672-23918990"	"chr1"	23903672	23918990	"CNR2"
