A	B
MAR04358	ADP[c]
MAR04358	H+[c]
MAR04358	PEP[c]
MAR04358	ATP[c]
MAR04358	pyruvate[c]
MAR08568	H2O[c]
MAR08568	maltodecaose[c]
MAR08568	fructose[c]
MAR08568	maltononaose[c]
MAR08570	H2O[c]
MAR08570	maltononaose[c]
MAR08570	fructose[c]
MAR08570	maltoheptaose[c]
MAR08571	H2O[e]
MAR08571	maltononaose[e]
MAR08571	glucose[e]
MAR08571	maltoheptaose[e]
MAR08572	H2O[c]
MAR08572	maltoheptaose[c]
MAR08572	fructose[c]
MAR08572	maltohexaose[c]
MAR08573	H2O[e]
MAR08573	maltoheptaose[e]
MAR08573	glucose[e]
MAR08573	maltohexaose[e]
MAR08574	H2O[c]
MAR08574	maltohexaose[c]
MAR08574	fructose[c]
MAR08574	maltopentaose[c]
MAR08575	H2O[e]
MAR08575	maltohexaose[e]
MAR08575	glucose[e]
MAR08575	maltopentaose[e]
MAR08576	H2O[c]
MAR08576	maltopentaose[c]
MAR08576	fructose[c]
MAR08576	maltotetraose[c]
MAR08583	H2O[e]
MAR08583	starch,structure,1[e]
MAR08583	glucose[e]
MAR08583	starch,structure,2[e]
MAR04303	H2O[e]
MAR04303	sucrose[e]
MAR04303	fructose[e]
MAR04303	glucose[e]
MAR04193	CDP[c]
MAR04193	H+[c]
MAR04193	PEP[c]
MAR04193	CTP[c]
MAR04193	pyruvate[c]
MAR08507	NAD+[c]
MAR08507	propane-1,2-diol[c]
MAR08507	D-lactaldehyde[c]
MAR08507	H+[c]
MAR08507	NADH[c]
MAR08509	D-lactaldehyde[c]
MAR08509	H+[c]
MAR08509	NADPH[c]
MAR08509	NADP+[c]
MAR08509	propane-1,2-diol[c]
MAR04477	D-xylulose-5-phosphate[c]
MAR04477	ribulose-5-phosphate[c]
MAR04134	GDP[e]
MAR04134	H2O[e]
MAR04134	GMP[e]
MAR04134	H+[e]
MAR04134	Pi[e]
MAR04171	GDP[c]
MAR04171	H+[c]
