A	B
MAR03905	ethanol[c]
MAR03905	NAD+[c]
MAR03905	acetaldehyde[c]
MAR03905	H+[c]
MAR03905	NADH[c]
MAR03907	ethanol[c]
MAR03907	NADP+[c]
MAR03907	acetaldehyde[c]
MAR03907	H+[c]
MAR03907	NADPH[c]
MAR04097	acetate[c]
MAR04097	ATP[c]
MAR04097	CoA[c]
MAR04097	acetyl-CoA[c]
MAR04097	AMP[c]
MAR04097	PPi[c]
MAR04099	acetate[m]
MAR04099	ATP[m]
MAR04099	CoA[m]
MAR04099	acetyl-CoA[m]
MAR04099	AMP[m]
MAR04099	PPi[m]
MAR04108	acetyl adenylate[c]
MAR04108	CoA[c]
MAR04108	acetyl-CoA[c]
MAR04108	AMP[c]
MAR04108	H+[c]
MAR04133	acetate[c]
MAR04133	ATP[c]
MAR04133	H+[c]
MAR04133	acetyl adenylate[c]
MAR04133	PPi[c]
MAR04137	CoA[m]
MAR04137	NAD+[m]
MAR04137	pyruvate[m]
MAR04137	acetyl-CoA[m]
MAR04137	CO2[m]
MAR04137	NADH[m]
MAR04281	H+[x]
MAR04281	NADH[x]
MAR04281	pyruvate[x]
MAR04281	L-lactate[x]
MAR04281	NAD+[x]
MAR04388	H+[c]
MAR04388	NADH[c]
MAR04388	pyruvate[c]
MAR04388	L-lactate[c]
MAR04388	NAD+[c]
MAR04283	acetaldehyde[c]
MAR04283	H2O[c]
MAR04283	NADP+[c]
MAR04283	acetate[c]
MAR04283	H+[c]
MAR04283	NADPH[c]
MAR08357	acetaldehyde[m]
MAR08357	H2O[m]
MAR08357	NAD+[m]
MAR08357	acetate[m]
MAR08357	H+[m]
MAR08357	NADH[m]
MAR04379	ATP[c]
MAR04379	fructose-6-phosphate[c]
MAR04379	ADP[c]
MAR04379	fructose-1,6-bisphosphate[c]
MAR04379	H+[c]
MAR04301	fructose-6-phosphate[c]
MAR04301	UTP[c]
MAR04301	fructose-1,6-bisphosphate[c]
MAR04301	H+[c]
MAR04301	UDP[c]
MAR04355	DHAP[c]
MAR04355	erythrose-4-phosphate[c]
MAR04355	sedoheptulose-1,7-bisphosphate[c]
MAR04358	ADP[c]
MAR04358	H+[c]
MAR04358	PEP[c]
MAR04358	ATP[c]
MAR04358	pyruvate[c]
MAR04360	H2O[c]
MAR04360	methylglyoxal[c]
MAR04360	NADP+[c]
MAR04360	H+[c]
MAR04360	NADPH[c]
MAR04360	pyruvate[c]
MAR04363	2-phospho-D-glycerate[c]
MAR04363	H2O[c]
MAR04363	PEP[c]
MAR04365	2-phospho-D-glycerate[c]
MAR04365	3-phospho-D-glycerate[c]
MAR04368	1,3-bisphospho-D-glycerate[c]
MAR04368	ADP[c]
MAR04368	3-phospho-D-glycerate[c]
MAR04368	ATP[c]
MAR04370	1,3-bisphospho-D-glycerate[c]
MAR04370	H2O[c]
MAR04370	3-phospho-D-glycerate[c]
MAR04370	H+[c]
MAR04370	Pi[c]
