ID	Description	R_NES	R_pvalue	R_core_enrichment
hsa00562	Inositol phosphate metabolism	-1.757	0.02565	PLCG1/PTEN/PIKFYVE
hsa01100	Metabolic pathways	-2.172	0.00153	SETD7/SIRT2/PCBD1/SIRT5/ATIC/DNMT3B/ITPK1/DNMT3A/NME2/PLCG1/NDUFV1/SETD1A/PTEN/PRDM16/GGCT/ADCY7/PIKFYVE/NDUFA2/NDUFS1/NDUFS3
hsa03440	Homologous recombination	-1.677	0.03647	RPA3/BRIP1/NBN/RPA2/RAD50/RBBP8/BRCA1/PALB2
hsa03460	Fanconi anemia pathway	-1.489	0.07368	RPA3/BRIP1/RPA2/ERCC1/BRCA1/PALB2
hsa04012	ErbB signaling pathway	-1.657	0.02954	PAK1/NRAS/MTOR/PLCG1/PTK2/RPS6KB2
hsa04060	Cytokine-cytokine receptor interaction	0.000	1.00000	
hsa04666	Fc gamma R-mediated phagocytosis	-1.453	0.08684	PAK1/PLCG1/ARPC3/ARPC1A/RPS6KB2
hsa04918	Thyroid hormone synthesis	-1.503	0.07105	CANX/TTF2/HSP90B1/CREB3L4/ADCY7/ITPR3
hsa04919	Thyroid hormone signaling pathway	-1.498	0.07768	ACTB/HDAC1/HDAC2/EP300/MAPK1/NCOR1/FOXO1/MED1/KAT2A/SIN3A/MED13/KAT2B/MED12L/NRAS/MTOR/PLCG1/RXRA
hsa04928	Parathyroid hormone synthesis, secretion and action	-1.820	0.02061	VDR/RXRA/CREB3L4/NACA/ADCY7/ITPR3
hsa04934	Cushing syndrome	0.000	1.00000	
hsa04972	Pancreatic secretion	-1.636	0.02000	ITPR3
hsa05022	Pathways of neurodegeneration - multiple diseases	-1.625	0.04126	VCP/CSNK2A1/PSMC2/PSMD2/RELA/DCTN1/PSMC6/PSMC1/EIF2S1/FUS/DCTN3/NRBF2/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/PSMC3/PSMD12/PSMD7/MAPK1/PSMD6/PSMA6/DCTN2/RAB5A/PSMA1/PSMD3/ACTR1A/PSMD4/CSNK2A2/TBK1/NFKB1/PSMB1/PSMD9/PSMD8/PARK7/WNT1/PSMB2/NRAS/MTOR/DVL2/PLCG1/NDUFV1/PSMB4/RPS27A/PSMA7/PSMA2/NDUFA2/ITPR3/NDUFS1/NDUFS3
hsa05200	Pathways in cancer	-1.561	0.04241	HDAC2/CUL1/JUP/EP300/MAPK1/PPARD/SKP1/IFNG/GNB1/GRB2/FOXO1/CDK4/CDH1/STAT3/NFKB1/CCNA2/CUL2/WNT1/NRAS/GNG7/MTOR/HSP90B1/DVL2/PLCG1/NFKB2/MSH2/PTK2/BCR/PTEN/RXRA/ADCY7/CDK6/RPS6KB2
hsa05226	Gastric cancer	-1.500	0.07988	MAPK1/GRB2/CDH1/WNT1/NRAS/MTOR/DVL2/RXRA/RPS6KB2
WP1531	Vitamin D metabolism	-1.537	0.03396	RXRA
WP2572	Primary focal segmental glomerulosclerosis (FSGS)	-1.570	0.03697	WNT1/PLCG1/PTK2
WP35	G protein signaling pathways	0.000	1.00000	
WP3998	Prader-Willi and Angelman syndrome	0.000	1.00000	
WP4016	DNA IR-damage and cellular response via ATR	-1.488	0.07998	SMC1A/XRCC5/FOXM1/RPA1/TRIM28/TP53BP1/BRIP1/BCL6/NBN/RPA2/PRKDC/RAD50/RBBP8/MSH2/CHEK1/BRCA1/PALB2
WP4342	Vitamins A and D - action mechanisms	-1.537	0.03396	RXRA
WP4698	Vitamin D-sensitive calcium signaling in depression	-1.486	0.08431	VDR/RXRA/ITPR3
WP4756	Renin-angiotensin-aldosterone system (RAAS)	-1.618	0.01641	ITPR3
WP4880	Host-pathogen interaction of human coronaviruses - interferon induction	0.000	1.00000	
WP5038	Mitochondrial immune response to SARS-CoV-2	-1.536	0.06557	NFKB1/PHB2/NFKB2
WP5130	Th17 cell differentiation pathway	-1.735	0.01662	STAT3/TYK2/NFKB1/CD247/MTOR/PLCG1/TBX21/RXRA/IRF4/LCK/FOXP3
WP5180	DYRK1A involvement regarding cell proliferation in brain development	-1.494	0.07143	RBBP4/FOXO1/CDK4/GMNN/RBL1/MTOR/CDK6
