"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030425"	"Cluster R"	"GO:0030425"	"dendrite"	"20/289"	"413/11029"	0.00610311054540943	0.00610311054540943	0.99161604305541	"ALCAM/CHRM2/DRD1/GRIA4/IFT52/L1CAM/LZTS1/MARK4/NGDN/NTRK1/NTRK2/OPRD1/OR10J5/RAB17/RAB3IP/RET/RGS12/RPTOR/SAMD4A/XRN1"	20
"GO:0097447"	"Cluster R"	"GO:0097447"	"dendritic tree"	"20/289"	"415/11029"	0.00642839040613172	0.00642839040613172	0.99161604305541	"ALCAM/CHRM2/DRD1/GRIA4/IFT52/L1CAM/LZTS1/MARK4/NGDN/NTRK1/NTRK2/OPRD1/OR10J5/RAB17/RAB3IP/RET/RGS12/RPTOR/SAMD4A/XRN1"	20
"GO:0030990"	"Cluster R"	"GO:0030990"	"intraciliary transport particle"	"3/289"	"17/11029"	0.00922024426490026	0.00922024426490026	0.99161604305541	"CLUAP1/IFT52/TTC21A"	3
"GO:0000315"	"Cluster R"	"GO:0000315"	"organellar large ribosomal subunit"	"4/289"	"50/11029"	0.0414668741962765	0.0414668741962765	0.99161604305541	"MPV17L2/MRPL22/MRPL42/MRPL53"	4
"GO:0005762"	"Cluster R"	"GO:0005762"	"mitochondrial large ribosomal subunit"	"4/289"	"50/11029"	0.0414668741962765	0.0414668741962765	0.99161604305541	"MPV17L2/MRPL22/MRPL42/MRPL53"	4
"GO:0030992"	"Cluster R"	"GO:0030992"	"intraciliary transport particle B"	"2/289"	"13/11029"	0.044121038804096	0.044121038804096	0.99161604305541	"CLUAP1/IFT52"	2
"GO:0042827"	"Cluster R"	"GO:0042827"	"platelet dense granule"	"2/289"	"13/11029"	0.044121038804096	0.044121038804096	0.99161604305541	"CD63/ECM1"	2
"GO:0016459"	"Cluster R"	"GO:0016459"	"myosin complex"	"3/289"	"31/11029"	0.0466405139738063	0.0466405139738063	0.99161604305541	"MYH11/MYO5B/MYO5C"	3
"GO:0042575"	"Cluster R"	"GO:0042575"	"DNA polymerase complex"	"2/289"	"19/11029"	0.0873569920481939	0.0873569920481939	0.99161604305541	"MAD2L2/PRIM1"	2
"GO:0031904"	"Cluster NR"	"GO:0031904"	"endosome lumen"	"4/383"	"18/11029"	0.00297507601094186	0.00297507601094186	0.991650102640815	"CTSB/CTSH/LRPAP1/NGF"	4
