"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0001227"	"Cluster R"	"GO:0001227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	"15/286"	"291/10818"	0.0104951001737167	0.0104951001737167	0.80447641566872	"ELK3/FEZF2/HAND1/HIVEP1/IRX3/KLF8/PPARA/REST/SOX13/THAP11/ZBTB12/ZGPAT/ZIM2/ZNF560/ZNF705A"	15
"GO:0001217"	"Cluster R"	"GO:0001217"	"DNA-binding transcription repressor activity"	"15/286"	"295/10818"	0.0117894265251597	0.0117894265251597	0.80447641566872	"ELK3/FEZF2/HAND1/HIVEP1/IRX3/KLF8/PPARA/REST/SOX13/THAP11/ZBTB12/ZGPAT/ZIM2/ZNF560/ZNF705A"	15
"GO:0033612"	"Cluster R"	"GO:0033612"	"receptor serine/threonine kinase binding"	"3/286"	"19/10818"	0.0129464571086683	0.0129464571086683	0.80447641566872	"BMP7/OPRD1/SMAD6"	3
"GO:0000146"	"Cluster R"	"GO:0000146"	"microfilament motor activity"	"3/286"	"22/10818"	0.0194135761374883	0.0194135761374883	0.80447641566872	"MYH11/MYO5B/MYO5C"	3
"GO:0004180"	"Cluster R"	"GO:0004180"	"carboxypeptidase activity"	"3/286"	"22/10818"	0.0194135761374883	0.0194135761374883	0.80447641566872	"ACE2/AGBL5/BLMH"	3
"GO:0016776"	"Cluster R"	"GO:0016776"	"phosphotransferase activity, phosphate group as acceptor"	"3/286"	"23/10818"	0.0218984365382211	0.0218984365382211	0.80447641566872	"AK2/IP6K2/MAGI3"	3
"GO:0043539"	"Cluster R"	"GO:0043539"	"protein serine/threonine kinase activator activity"	"4/286"	"44/10818"	0.0283617472479478	0.0283617472479478	0.80447641566872	"MAP2K6/SPRY2/STRADB/TCL1A"	4
"GO:0035064"	"Cluster R"	"GO:0035064"	"methylated histone binding"	"5/286"	"65/10818"	0.0283903439026539	0.0283903439026539	0.80447641566872	"ING1/NCAPG2/SPIN2A/UHRF1/ZZEF1"	5
"GO:0140034"	"Cluster R"	"GO:0140034"	"methylation-dependent protein binding"	"5/286"	"65/10818"	0.0283903439026539	0.0283903439026539	0.80447641566872	"ING1/NCAPG2/SPIN2A/UHRF1/ZZEF1"	5
"GO:0140030"	"Cluster R"	"GO:0140030"	"modification-dependent protein binding"	"8/286"	"137/10818"	0.0288906177823314	0.0288906177823314	0.80447641566872	"AGL/IDE/ING1/NCAPG2/PARP10/SPIN2A/UHRF1/ZZEF1"	8
"GO:0140297"	"Cluster R"	"GO:0140297"	"DNA-binding transcription factor binding"	"18/286"	"420/10818"	0.0299814412978416	0.0299814412978416	0.80447641566872	"CGGBP1/COMMD6/HAND1/LCOR/LMO3/MAD2L2/MYOD1/NCAPG2/NR0B1/PARP10/PBX2/PPARA/REST/SMAD4/SMARCD3/TDG/UHRF2/VDR"	18
"GO:0030983"	"Cluster R"	"GO:0030983"	"mismatched DNA binding"	"2/286"	"12/10818"	0.0385979343647764	0.0385979343647764	0.80447641566872	"MLH1/TDG"	2
"GO:0047555"	"Cluster R"	"GO:0047555"	"3',5'-cyclic-GMP phosphodiesterase activity"	"2/286"	"12/10818"	0.0385979343647764	0.0385979343647764	0.80447641566872	"PDE1C/PDE6B"	2
"GO:0043425"	"Cluster R"	"GO:0043425"	"bHLH transcription factor binding"	"3/286"	"29/10818"	0.0402601687699151	0.0402601687699151	0.80447641566872	"HAND1/MYOD1/NCAPG2"	3
"GO:0050145"	"Cluster R"	"GO:0050145"	"nucleoside monophosphate kinase activity"	"2/286"	"13/10818"	0.0448347747935711	0.0448347747935711	0.80447641566872	"AK2/MAGI3"	2
"GO:0005539"	"Cluster R"	"GO:0005539"	"glycosaminoglycan binding"	"7/286"	"125/10818"	0.0478662557725034	0.0478662557725034	0.80447641566872	"BMP7/EXTL2/FGF1/FSTL1/MDK/PTPRC/VIT"	7
"GO:0001228"	"Cluster R"	"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	"17/286"	"414/10818"	0.0481082785268212	0.0481082785268212	0.80447641566872	"ATF6/DLX5/ELF1/ELK3/FEZF2/HAND1/IRF1/IRX3/LHX2/MYF6/MYOD1/PBX2/PPARA/SALL2/SMAD4/THAP11/ZNF717"	17
"GO:0004860"	"Cluster R"	"GO:0004860"	"protein kinase inhibitor activity"	"4/286"	"53/10818"	0.0509944785017978	0.0509944785017978	0.80447641566872	"GMFB/NCAPG2/RPTOR/SPRY2"	4
"GO:0004181"	"Cluster R"	"GO:0004181"	"metallocarboxypeptidase activity"	"2/286"	"14/10818"	0.0514137611885082	0.0514137611885082	0.80447641566872	"ACE2/AGBL5"	2
