"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:1900746"	"Cluster R"	"GO:1900746"	"regulation of vascular endothelial growth factor signaling pathway"	"4/286"	"12/10733"	0.00020637653666859	0.00020637653666859	0.447439282526203	"CD63/PIK3CB/SEMA6A/SPRY2"	4
"GO:0021542"	"Cluster R"	"GO:0021542"	"dentate gyrus development"	"4/286"	"13/10733"	0.000291873054629045	0.000291873054629045	0.447439282526203	"DRD1/EMX2/FEZF2/MDK"	4
"GO:1902547"	"Cluster R"	"GO:1902547"	"regulation of cellular response to vascular endothelial growth factor stimulus"	"4/286"	"14/10733"	0.000400094738473505	0.000400094738473505	0.447439282526203	"CD63/PIK3CB/SEMA6A/SPRY2"	4
"GO:2000678"	"Cluster R"	"GO:2000678"	"negative regulation of transcription regulatory region DNA binding"	"4/286"	"18/10733"	0.0011243301263613	0.0011243301263613	0.820417505436832	"HAND1/LHX2/MAD2L2/ZNF593"	4
"GO:0060707"	"Cluster R"	"GO:0060707"	"trophoblast giant cell differentiation"	"3/286"	"10/10733"	0.00195508789625409	0.00195508789625409	0.820417505436832	"HAND1/HECTD1/NR2F2"	3
"GO:1902337"	"Cluster R"	"GO:1902337"	"regulation of apoptotic process involved in morphogenesis"	"3/286"	"10/10733"	0.00195508789625409	0.00195508789625409	0.820417505436832	"BMP7/TNFRSF1A/VDR"	3
"GO:1904748"	"Cluster R"	"GO:1904748"	"regulation of apoptotic process involved in development"	"3/286"	"10/10733"	0.00195508789625409	0.00195508789625409	0.820417505436832	"BMP7/TNFRSF1A/VDR"	3
"GO:0070373"	"Cluster R"	"GO:0070373"	"negative regulation of ERK1 and ERK2 cascade"	"6/286"	"50/10733"	0.00201524578226995	0.00201524578226995	0.820417505436832	"ACE2/LMO3/PTPRC/SEMA6A/SMAD4/SPRY2"	6
"GO:0001838"	"Cluster R"	"GO:0001838"	"embryonic epithelial tube formation"	"9/286"	"108/10733"	0.00233127003598631	0.00233127003598631	0.820417505436832	"BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET"	9
"GO:0001959"	"Cluster R"	"GO:0001959"	"regulation of cytokine-mediated signaling pathway"	"9/286"	"109/10733"	0.0024832371062095	0.0024832371062095	0.820417505436832	"AGPAT2/CASP1/ECM1/F2RL1/IRAK2/PTPRC/SIGIRR/TNFRSF1A/USP27X"	9
"GO:0097237"	"Cluster R"	"GO:0097237"	"cellular response to toxic substance"	"7/286"	"73/10733"	0.00321631308159487	0.00321631308159487	0.820417505436832	"ABCG2/BMP7/CLIC2/FANCC/HBQ1/MGST3/OPRD1"	7
"GO:0033138"	"Cluster R"	"GO:0033138"	"positive regulation of peptidyl-serine phosphorylation"	"7/286"	"75/10733"	0.00374571667424372	0.00374571667424372	0.820417505436832	"MAD2L2/NTRK2/OPRD1/RET/RPTOR/SPRY2/TCL1A"	7
"GO:0060759"	"Cluster R"	"GO:0060759"	"regulation of response to cytokine stimulus"	"9/286"	"116/10733"	0.00378001400644589	0.00378001400644589	0.820417505436832	"AGPAT2/CASP1/ECM1/F2RL1/IRAK2/PTPRC/SIGIRR/TNFRSF1A/USP27X"	9
"GO:0007411"	"Cluster R"	"GO:0007411"	"axon guidance"	"11/286"	"162/10733"	0.00403814013632812	0.00403814013632812	0.820417505436832	"ALCAM/BMP7/DLX5/FEZF2/L1CAM/LHX2/NTRK1/RET/SEMA6A/SMAD4/UNC5B"	11
"GO:0097485"	"Cluster R"	"GO:0097485"	"neuron projection guidance"	"11/286"	"162/10733"	0.00403814013632812	0.00403814013632812	0.820417505436832	"ALCAM/BMP7/DLX5/FEZF2/L1CAM/LHX2/NTRK1/RET/SEMA6A/SMAD4/UNC5B"	11
"GO:1904936"	"Cluster R"	"GO:1904936"	"interneuron migration"	"3/286"	"13/10733"	0.0043912951423061	0.0043912951423061	0.820417505436832	"DRD1/FEZF2/NR2F2"	3
"GO:2001224"	"Cluster R"	"GO:2001224"	"positive regulation of neuron migration"	"3/286"	"13/10733"	0.0043912951423061	0.0043912951423061	0.820417505436832	"DRD1/MDK/SEMA6A"	3
"GO:0072175"	"Cluster R"	"GO:0072175"	"epithelial tube formation"	"9/286"	"119/10733"	0.00447651773367169	0.00447651773367169	0.820417505436832	"BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET"	9
"GO:0038084"	"Cluster R"	"GO:0038084"	"vascular endothelial growth factor signaling pathway"	"4/286"	"26/10733"	0.00464617961350218	0.00464617961350218	0.820417505436832	"CD63/PIK3CB/SEMA6A/SPRY2"	4
"GO:0016331"	"Cluster R"	"GO:0016331"	"morphogenesis of embryonic epithelium"	"9/286"	"123/10733"	0.00555634507371473	0.00555634507371473	0.857516976556332	"BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET"	9
"GO:0060562"	"Cluster R"	"GO:0060562"	"epithelial tube morphogenesis"	"15/286"	"270/10733"	0.00581645530039602	0.00581645530039602	0.857516976556332	"BMP7/CLUAP1/FGF1/HAND1/HECTD1/HOXA11/IFT52/IRX3/LHX2/MDK/MTHFD1/RET/SMAD4/SPRY2/VDR"	15
"GO:0001764"	"Cluster R"	"GO:0001764"	"neuron migration"	"9/286"	"124/10733"	0.00585539235163251	0.00585539235163251	0.857516976556332	"DRD1/EMX2/FEZF2/MDK/NR2F2/NTRK2/OLIG3/SEMA6A/SH3RF1"	9
"GO:0003002"	"Cluster R"	"GO:0003002"	"regionalization"	"15/286"	"277/10733"	0.00731116499618927	0.00731116499618927	0.857516976556332	"ACVR2B/CLUAP1/EMX2/FEZF2/FGF1/HOXA11/IFT52/IRX3/LHX2/MYF6/NR2F2/PBX2/SMAD4/SMAD6/SMARCD3"	15
"GO:0043409"	"Cluster R"	"GO:0043409"	"negative regulation of MAPK cascade"	"9/286"	"131/10733"	0.00831078710672031	0.00831078710672031	0.857516976556332	"ACE2/BMP7/F2RL1/LMO3/PIK3CB/PTPRC/SEMA6A/SMAD4/SPRY2"	9
"GO:1990748"	"Cluster R"	"GO:1990748"	"cellular detoxification"	"6/286"	"68/10733"	0.00932873125285597	0.00932873125285597	0.857516976556332	"ABCG2/BMP7/CLIC2/FANCC/HBQ1/MGST3"	6
"GO:0007389"	"Cluster R"	"GO:0007389"	"pattern specification process"	"17/286"	"340/10733"	0.00957456036908246	0.00957456036908246	0.857516976556332	"ACVR2B/BMP7/CLUAP1/EMX2/FEZF2/FGF1/HAND1/HOXA11/IFT52/IRX3/LHX2/MYF6/NR2F2/PBX2/SMAD4/SMAD6/SMARCD3"	17
"GO:0035148"	"Cluster R"	"GO:0035148"	"tube formation"	"9/286"	"134/10733"	0.00957521537617259	0.00957521537617259	0.857516976556332	"BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET"	9
"GO:0000096"	"Cluster R"	"GO:0000096"	"sulfur amino acid metabolic process"	"3/286"	"17/10733"	0.00965059889950783	0.00965059889950783	0.857516976556332	"BLMH/GCLC/MTHFD1"	3
"GO:0021871"	"Cluster R"	"GO:0021871"	"forebrain regionalization"	"3/286"	"18/10733"	0.0113558526541371	0.0113558526541371	0.857516976556332	"EMX2/FEZF2/LHX2"	3
