#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
RBBP7	HDAC1	1857150	1855935	9606.ENSP00000369424	9606.ENSP00000362649	0	0	0	0	0.161	0.999	0.900	0.915	0	0.999
HSP90AB1	STIP1	1850780	1848791	9606.ENSP00000325875	9606.ENSP00000305958	0	0	0	0	0.939	0.993	0	0.912	0	0.999
EIF4EBP1	AKT1	1852358	1846136	9606.ENSP00000340691	9606.ENSP00000270202	0	0	0	0	0	0.889	0.900	0.990	0	0.999
SUGT1	HSP90AA1	1856790	1851814	9606.ENSP00000367208	9606.ENSP00000335153	0	0	0	0	0.959	0.999	0.800	0.976	0	0.999
HSP90AA1	CDC37	1851814	1842879	9606.ENSP00000335153	9606.ENSP00000222005	0	0	0	0	0.071	0.999	0.900	0.968	0	0.999
TP53	CDKN1A	1846083	1843736	9606.ENSP00000269305	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0.981	0	0.999
RICTOR	AKT1	1853522	1846136	9606.ENSP00000349959	9606.ENSP00000270202	0	0	0	0	0	0.997	0.900	0.986	0	0.999
RICTOR	EIF4EBP1	1853522	1852358	9606.ENSP00000349959	9606.ENSP00000340691	0	0	0	0	0	0.999	0	0.882	0	0.999
MTOR	RICTOR	1854147	1853522	9606.ENSP00000354558	9606.ENSP00000349959	0	0	0	0	0	0.999	0.900	0.997	0	0.999
HSP90AA1	AKT1	1851814	1846136	9606.ENSP00000335153	9606.ENSP00000270202	0	0	0	0	0	0.994	0.900	0.988	0	0.999
EIF4EBP1	MAPKAP1	1852358	1845827	9606.ENSP00000340691	9606.ENSP00000265960	0	0	0	0	0	0.999	0	0.578	0	0.999
EIF4EBP1	RPTOR	1852358	1848942	9606.ENSP00000340691	9606.ENSP00000307272	0	0	0	0	0	0.999	0.900	0.985	0	0.999
MDM2	AKT1	1861282	1846136	9606.ENSP00000417281	9606.ENSP00000270202	0	0	0	0	0	0.999	0.900	0.912	0	0.999
HSP90AA1	PTGES3	1851814	1845046	9606.ENSP00000335153	9606.ENSP00000262033	0	0	0	0	0.562	0.999	0.900	0.981	0	0.999
ATM	TP53	1846577	1846083	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0.974	0	0.999
HSP90AB1	AHSA1	1850780	1842603	9606.ENSP00000325875	9606.ENSP00000216479	0	0	0	0	0.754	0.993	0	0.846	0	0.999
MLST8	EIF4EBP1	1858459	1852358	9606.ENSP00000380313	9606.ENSP00000340691	0	0	0	0	0	0.999	0.900	0.789	0	0.999
BRCA1	TP53	1861387	1846083	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0.974	0	0.999
MTOR	RPS6KB1	1854147	1843035	9606.ENSP00000354558	9606.ENSP00000225577	0	0	0	0	0	0.999	0.900	0.996	0	0.999
HSP90AA1	STIP1	1851814	1848791	9606.ENSP00000335153	9606.ENSP00000305958	0	0	0	0	0.939	0.999	0	0.990	0	0.999
RICTOR	RPS6KB1	1853522	1843035	9606.ENSP00000349959	9606.ENSP00000225577	0	0	0	0	0	0.974	0	0.987	0	0.999
MTOR	RPTOR	1854147	1848942	9606.ENSP00000354558	9606.ENSP00000307272	0	0	0	0	0.168	0.999	0.900	0.996	0	0.999
HSP90AA1	AHSA1	1851814	1842603	9606.ENSP00000335153	9606.ENSP00000216479	0	0	0	0	0.754	0.999	0	0.984	0	0.999
FOXO1	AKT1	1857055	1846136	9606.ENSP00000368880	9606.ENSP00000270202	0	0	0	0	0	0.996	0.900	0.993	0	0.999
AKT1	MAPKAP1	1846136	1845827	9606.ENSP00000270202	9606.ENSP00000265960	0	0	0	0	0	0.971	0.900	0.875	0	0.999
HSP90AB1	CDC37	1850780	1842879	9606.ENSP00000325875	9606.ENSP00000222005	0	0	0	0	0.071	0.992	0.800	0.658	0	0.999
