#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
HSP90AA1	ERBB2	1851814	1846101	9606.ENSP00000335153	9606.ENSP00000269571	0	0	0	0	0	0.999	0.900	0.944	0	0.999
SRC	ESR1	1853652	1842435	9606.ENSP00000350941	9606.ENSP00000206249	0	0	0	0	0	0.999	0.900	0.943	0	0.999
LCK	CBL	1852042	1845465	9606.ENSP00000337825	9606.ENSP00000264033	0	0	0	0	0	0.996	0.900	0.723	0	0.999
SRC	PTK2	1853652	1852426	9606.ENSP00000350941	9606.ENSP00000341189	0	0	0	0.758	0	0.999	0.900	0.991	0	0.999
ERBB2	lapatinib	1846101	-208908	9606.ENSP00000269571	-1.CID000208908	0	0	0	0	0	0.890	0.800	0.965	0	0.999
SRC	dasatinib	1853652	-3062316	9606.ENSP00000350941	-1.CID003062316	0	0	0	0	0	0.972	0.800	0.961	0	0.999
GRB2	ERBB2	1852164	1846101	9606.ENSP00000339007	9606.ENSP00000269571	0	0	0	0	0	0.997	0.900	0.978	0	0.999
LCK	dasatinib	1852042	-3062316	9606.ENSP00000337825	-1.CID003062316	0	0	0	0	0	0.994	0.800	0.851	0	0.999
KIT	imatinib	1847112	-5291	9606.ENSP00000288135	-1.CID000005291	0	0	0	0	0	0.928	0.900	0.978	0	0.999
SHC1	EGFR	1860266	1846445	9606.ENSP00000401303	9606.ENSP00000275493	0	0	0	0	0	0.999	0.900	0.989	0	0.999
GRB2	KHDRBS1	1852164	1849655	9606.ENSP00000339007	9606.ENSP00000313829	0	0	0	0	0	0.999	0	0.897	0	0.999
EPS15	EGFR	1855539	1846445	9606.ENSP00000360798	9606.ENSP00000275493	0	0	0	0	0	0.996	0.900	0.977	0	0.999
SRC	EGFR	1853652	1846445	9606.ENSP00000350941	9606.ENSP00000275493	0	0	0	0.703	0	0.999	0.900	0.993	0	0.999
ABL1	imatinib	1855665	-5291	9606.ENSP00000361423	-1.CID000005291	0	0	0	0	0	0.963	0.900	0.983	0	0.999
BCAR1	PTK2	1859585	1852426	9606.ENSP00000391669	9606.ENSP00000341189	0	0	0	0	0	0.999	0.900	0.990	0	0.999
PTPN1	SRC	1855520	1853652	9606.ENSP00000360683	9606.ENSP00000350941	0	0	0	0	0	0.999	0.900	0.961	0	0.999
PTPN11	EGFR	1852389	1846445	9606.ENSP00000340944	9606.ENSP00000275493	0	0	0	0	0	0.957	0.900	0.982	0	0.999
CBL	PLCG1	1845465	1843693	9606.ENSP00000264033	9606.ENSP00000244007	0	0	0	0	0	0.999	0.900	0.471	0	0.999
EGFR	lapatinib	1846445	-208908	9606.ENSP00000275493	-1.CID000208908	0	0	0	0	0	0.897	0.800	0.961	0	0.999
SHC1	GRB2	1860266	1852164	9606.ENSP00000401303	9606.ENSP00000339007	0	0	0	0	0	0.999	0.900	0.995	0	0.999
ABL1	ATM	1855665	1846577	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.992	0.900	0.974	0	0.999
BCAR1	SRC	1859585	1853652	9606.ENSP00000391669	9606.ENSP00000350941	0	0	0	0	0	0.999	0.900	0.986	0	0.999
PTK2	GRB2	1852426	1852164	9606.ENSP00000341189	9606.ENSP00000339007	0	0	0	0	0	0.996	0.900	0.967	0	0.999
PDGFB	PDGFRB	1851250	1844996	9606.ENSP00000330382	9606.ENSP00000261799	0	0	0	0	0	0.998	0.900	0.832	0	0.999
LCK	KHDRBS1	1852042	1849655	9606.ENSP00000337825	9606.ENSP00000313829	0	0	0	0	0	0.992	0	0.895	0	0.999
BCAR1	PTPN1	1859585	1855520	9606.ENSP00000391669	9606.ENSP00000360683	0	0	0	0	0	0.992	0.900	0.918	0	0.999
